Date,Close,Volume
2019-01-01,478.55,1301
2019-01-02,475.05,1650
2019-01-03,468.45,1967
2019-01-04,465.4,2875
2019-01-07,463.7,3796
2019-01-08,459.1,2370
2019-01-09,455.85,3225
2019-01-10,458.3,2695
2019-01-11,468.05,5162
2019-01-14,474.1,3627
2019-01-15,477.0,5044
2019-01-16,479.8,3271
2019-01-17,480.55,7249
2019-01-18,474.55,1442
2019-01-21,468.75,6723
2019-01-22,461.65,2641
2019-01-23,452.9,10071
2019-01-24,466.85,4536
2019-01-25,466.55,4188
2019-01-28,467.3,5326
2019-01-29,483.75,8654
2019-01-30,470.9,3196
2019-01-31,464.3,2389
2019-02-01,451.8,10895
2019-02-04,458.65,1577
2019-02-05,445.85,4370
2019-02-06,433.6,4214
2019-02-07,434.25,4112
2019-02-08,430.55,4215
2019-02-11,412.95,5345
2019-02-12,394.65,9052
2019-02-13,382.9,4633
2019-02-14,387.55,7613
2019-02-15,387.65,1630
2019-02-18,369.65,5565
2019-02-19,370.35,2680
2019-02-20,401.55,114117
2019-02-21,402.85,18937
2019-02-22,408.4,6296
2019-02-25,408.05,5109
2019-02-26,404.65,4211
2019-02-27,403.2,5692
2019-02-28,400.8,2516
2019-03-01,407.95,6121
2019-03-05,433.65,37239
2019-03-06,441.8,20503
2019-03-07,460.1,13424
2019-03-08,458.15,6115
2019-03-11,459.85,4717
2019-03-12,470.85,8033
2019-03-13,467.8,3916
2019-03-14,500.85,24499
2019-03-15,527.9,47731
2019-03-18,520.45,8478
2019-03-19,511.15,7834
2019-03-20,501.8,17596
2019-03-22,484.25,14375
2019-03-25,480.0,4550
2019-03-26,472.1,9118
2019-03-27,516.45,13757
2019-03-28,503.4,7267
2019-03-29,485.35,14164
2019-04-01,495.5,5202
2019-04-02,498.65,1958
2019-04-03,490.9,2409
2019-04-04,489.9,23109
2019-04-05,488.25,23766
2019-04-08,484.0,3012
2019-04-09,487.1,6047
2019-04-10,484.75,3848
2019-04-11,479.05,4899
2019-04-12,482.45,2758
2019-04-15,485.05,3859
2019-04-16,480.7,4128
2019-04-18,475.85,2630
2019-04-22,466.5,4678
2019-04-23,472.8,1689
2019-04-24,468.3,2850
2019-04-25,470.65,1861
2019-04-26,467.3,694
2019-04-30,452.05,3046
2019-05-02,446.8,3530
2019-05-03,437.8,4100
2019-05-06,420.75,5560
2019-05-07,406.75,4846
2019-05-08,419.35,4552
2019-05-09,413.3,2180
2019-05-10,414.5,2671
2019-05-13,397.0,6781
2019-05-14,403.9,2638
2019-05-15,391.75,2863
2019-05-16,397.25,1282
2019-05-17,407.05,3429
2019-05-20,442.75,13007
2019-05-21,435.2,5553
2019-05-22,445.15,16172
2019-05-23,432.25,12391
2019-05-24,466.7,13720
2019-05-27,482.5,7989
2019-05-28,486.65,4654
2019-05-29,467.35,2203
2019-05-30,469.75,3435
2019-05-31,476.75,3157
2019-06-03,475.0,7067
2019-06-04,469.75,5551
2019-06-06,452.5,8646
2019-06-07,454.25,5829
2019-06-10,457.35,2780
2019-06-11,457.25,1806
2019-06-12,449.95,4967
2019-06-13,444.4,1678
2019-06-14,434.7,3177
2019-06-17,431.25,3057
2019-06-18,421.8,4324
2019-06-19,407.3,2512
2019-06-20,408.95,6166
2019-06-21,431.0,8105
2019-06-24,431.6,2407
2019-06-25,426.25,1621
2019-06-26,434.85,2267
2019-06-27,425.95,3278
2019-06-28,417.15,3279
2019-07-01,413.75,4111
2019-07-02,405.55,3548
2019-07-03,386.65,15124
2019-07-04,386.4,9929
2019-07-05,399.8,5546
2019-07-08,384.15,7234
2019-07-09,382.3,4801
2019-07-10,377.2,6471
2019-07-11,374.85,4369
2019-07-12,372.3,2814
2019-07-15,366.75,3908
2019-07-16,359.45,4257
2019-07-17,362.3,2334
2019-07-18,358.4,4036
2019-07-19,353.15,3739
2019-07-22,336.25,7335
2019-07-23,345.55,4639
2019-07-24,325.1,10152
2019-07-25,305.15,21921
2019-07-26,310.75,7096
2019-07-29,300.45,4545
2019-07-30,287.35,6237
2019-07-31,303.55,5472
2019-08-01,242.85,74648
2019-08-02,194.3,246556
2019-08-05,174.9,31230
2019-08-06,161.85,158187
2019-08-07,178.0,115562
2019-08-08,195.8,31451
2019-08-09,198.85,131396
2019-08-13,184.1,16240
2019-08-14,202.05,25114
2019-08-16,203.35,38041
2019-08-19,194.9,24228
2019-08-20,191.1,11914
2019-08-21,189.8,9147
2019-08-22,181.3,12994
2019-08-23,188.3,13111
2019-08-26,192.25,8925
2019-08-27,201.75,26210
2019-08-28,197.45,13406
2019-08-29,202.55,11086
2019-08-30,210.4,10372
2019-09-03,205.15,7677
2019-09-04,201.0,7702
2019-09-05,199.55,20551
2019-09-06,208.65,41361
2019-09-09,214.2,20369
2019-09-11,224.9,13998
2019-09-12,235.95,19483
2019-09-13,244.65,35252
2019-09-16,248.05,33732
2019-09-17,239.9,29321
2019-09-18,239.1,14975
2019-09-19,224.3,9878
2019-09-20,229.8,18081
2019-09-23,226.75,8603
2019-09-24,237.35,14580
2019-09-25,229.5,9030
2019-09-26,232.5,6477
2019-09-27,230.6,2885
2019-09-30,224.45,5074
2019-10-01,213.3,7468
2019-10-03,202.65,5305
2019-10-04,192.55,11283
2019-10-07,193.7,5135
2019-10-09,188.75,4569
2019-10-10,186.25,2756
2019-10-11,189.05,3054
2019-10-14,180.65,7294
2019-10-15,177.5,6909
2019-10-16,179.5,28941
2019-10-17,178.35,3499
2019-10-18,185.1,7103
2019-10-22,180.85,5958
2019-10-23,183.55,6329
2019-10-24,183.35,2983
2019-10-25,182.2,5857
2019-10-27,187.8,1558
2019-10-29,195.95,9348
2019-10-30,194.1,7873
2019-10-31,192.65,6058
2019-11-01,189.25,7506
2019-11-04,188.4,8748
2019-11-05,186.55,4192
2019-11-06,186.85,4317
2019-11-07,188.8,10333
2019-11-08,184.6,10575
2019-11-11,186.15,9895
2019-11-13,176.85,7305
2019-11-14,169.7,17096
2019-11-15,166.3,11866
2019-11-18,160.95,8999
2019-11-19,160.85,9231
2019-11-20,158.45,6235
2019-11-21,157.0,6230
2019-11-22,161.25,17621
2019-11-25,158.25,5041
2019-11-26,161.0,10686
2019-11-27,168.15,11309
2019-11-28,176.55,7531
2019-11-29,184.35,37017
2019-12-02,178.0,16287
2019-12-03,176.7,19007
2019-12-04,172.45,7945
2019-12-05,181.05,20001
2019-12-06,173.85,16352
2019-12-09,172.15,9698
2019-12-10,168.6,9395
2019-12-11,170.0,6788
2019-12-12,168.05,3598
2019-12-13,168.7,3024
2019-12-16,167.2,2382
2019-12-17,167.7,3219
2019-12-18,169.55,3166
2019-12-19,169.7,2190
2019-12-20,167.5,4515
2019-12-23,164.95,3409
2019-12-24,165.15,8288
2019-12-26,165.1,4780
2019-12-27,171.25,10491
2019-12-30,169.85,4542
2019-12-31,172.9,4639
