Date,Close,Volume
2019-01-01,738.8,189588
2019-01-02,733.55,265053
2019-01-03,716.0,372293
2019-01-04,723.65,389940
2019-01-07,735.55,351507
2019-01-08,738.7,343750
2019-01-09,740.75,364350
2019-01-10,755.1,1216790
2019-01-11,755.45,547214
2019-01-14,762.55,390790
2019-01-15,765.4,404380
2019-01-16,767.1,190686
2019-01-17,785.2,1270322
2019-01-18,782.05,395333
2019-01-21,776.7,522569
2019-01-22,781.3,270491
2019-01-23,782.45,283071
2019-01-24,776.4,228537
2019-01-25,766.65,195143
2019-01-28,740.2,365775
2019-01-29,752.4,295747
2019-01-30,751.8,416778
2019-01-31,744.95,320601
2019-02-01,769.6,473123
2019-02-04,772.0,431313
2019-02-05,770.75,331248
2019-02-06,783.4,749787
2019-02-07,783.0,331461
2019-02-08,753.1,457063
2019-02-11,740.45,545367
2019-02-12,740.25,903137
2019-02-13,741.45,236830
2019-02-14,739.6,376413
2019-02-15,740.45,281727
2019-02-18,742.0,377904
2019-02-19,738.3,156946
2019-02-20,724.3,1381382
2019-02-21,735.15,891869
2019-02-22,730.15,383695
2019-02-25,732.1,264694
2019-02-26,729.0,216817
2019-02-27,721.35,484403
2019-02-28,716.9,509730
2019-03-01,726.9,277540
2019-03-05,735.3,282015
2019-03-06,747.05,626767
2019-03-07,742.6,310457
2019-03-08,738.7,171908
2019-03-11,745.1,201174
2019-03-12,746.85,463187
2019-03-13,750.6,1246211
2019-03-14,746.5,367051
2019-03-15,746.55,222911
2019-03-18,734.0,201345
2019-03-19,740.25,411156
2019-03-20,727.05,302054
2019-03-22,716.1,382972
2019-03-25,707.5,262846
2019-03-26,709.7,400268
2019-03-27,721.4,1489075
2019-03-28,717.45,1864739
2019-03-29,719.95,333906
2019-04-01,721.6,604384
2019-04-02,720.75,289489
2019-04-03,672.35,7107893
2019-04-04,676.15,9273076
2019-04-05,681.65,2214824
2019-04-08,679.85,1173892
2019-04-09,675.4,403462
2019-04-10,684.55,866695
2019-04-11,683.05,860761
2019-04-12,692.6,612412
2019-04-15,703.8,742932
2019-04-16,706.25,627377
2019-04-18,693.15,349948
2019-04-22,677.95,493428
2019-04-23,675.4,359382
2019-04-24,674.35,291257
2019-04-25,668.95,217483
2019-04-26,666.55,259356
2019-04-30,662.35,310280
2019-05-02,659.0,214162
2019-05-03,658.5,230646
2019-05-06,643.5,718599
2019-05-07,643.1,269817
2019-05-08,636.0,297982
2019-05-09,635.55,355630
2019-05-10,634.9,266841
2019-05-13,625.85,184387
2019-05-14,632.45,289136
2019-05-15,626.5,768551
2019-05-16,625.75,665306
2019-05-17,630.7,236666
2019-05-20,640.85,703342
2019-05-21,629.1,180047
2019-05-22,616.1,996389
2019-05-23,621.9,337171
2019-05-24,638.6,686239
2019-05-27,640.9,773510
2019-05-28,638.1,755404
2019-05-29,631.3,353464
2019-05-30,642.75,443442
2019-05-31,636.9,537011
2019-06-03,637.45,229484
2019-06-04,636.4,500959
2019-06-06,633.45,261596
2019-06-07,618.55,754053
2019-06-10,632.55,416409
2019-06-11,638.05,368384
2019-06-12,625.0,240785
2019-06-13,619.65,868443
2019-06-14,612.75,227756
2019-06-17,601.0,456798
2019-06-18,599.5,507592
2019-06-19,581.4,446118
2019-06-20,610.65,863359
2019-06-21,607.5,611760
2019-06-24,601.6,386759
2019-06-25,614.75,873777
2019-06-26,618.0,1273601
2019-06-27,620.3,940132
2019-06-28,619.95,584092
2019-07-01,630.9,712791
2019-07-02,628.1,409518
2019-07-03,631.25,321457
2019-07-04,648.2,730879
2019-07-05,644.4,1201333
2019-07-08,636.1,656159
2019-07-09,644.95,372955
2019-07-10,647.55,569964
2019-07-11,650.0,331582
2019-07-12,651.05,641637
2019-07-15,643.65,1085859
2019-07-16,641.5,878682
2019-07-17,650.7,573838
2019-07-18,640.6,251173
2019-07-19,610.65,1537746
2019-07-22,621.0,1918000
2019-07-23,628.0,619659
2019-07-24,633.5,950507
2019-07-25,635.95,330436
2019-07-26,651.0,869534
2019-07-29,649.95,879648
2019-07-30,650.5,435984
2019-07-31,675.8,1846356
2019-08-01,665.6,1827494
2019-08-02,656.95,630800
2019-08-05,646.3,493637
2019-08-06,646.6,795867
2019-08-07,644.65,653959
2019-08-08,645.1,797878
2019-08-09,627.5,1143011
2019-08-13,627.1,750881
2019-08-14,628.4,352421
2019-08-16,618.1,485295
2019-08-19,624.4,444193
2019-08-20,619.8,354204
2019-08-21,612.7,208873
2019-08-22,602.8,606537
2019-08-23,616.6,464658
2019-08-26,619.0,276343
2019-08-27,622.7,243887
2019-08-28,612.6,273656
2019-08-29,609.25,1092223
2019-08-30,620.2,399739
2019-09-03,619.8,967750
2019-09-04,622.7,329620
2019-09-05,621.4,298446
2019-09-06,625.55,265460
2019-09-09,639.55,675194
2019-09-11,657.4,537132
2019-09-12,656.65,365706
2019-09-13,648.55,228490
2019-09-16,650.55,359040
2019-09-17,631.45,337132
2019-09-18,631.95,319386
2019-09-19,624.65,283862
2019-09-20,668.3,590563
2019-09-23,718.0,1441868
2019-09-24,728.15,1035787
2019-09-25,719.55,553899
2019-09-26,737.2,601384
2019-09-27,714.25,519693
2019-09-30,717.6,335965
2019-10-01,703.3,386292
2019-10-03,711.9,246954
2019-10-04,689.35,337873
2019-10-07,684.1,197020
2019-10-09,693.55,343977
2019-10-10,680.0,180484
2019-10-11,680.85,206065
2019-10-14,684.75,175458
