Date,Close,Volume
2019-01-01,130.8,313
2019-01-02,132.35,386
2019-01-03,132.05,938
2019-01-04,129.55,3379
2019-01-07,126.25,2294
2019-01-08,126.85,243
2019-01-09,126.15,274
2019-01-10,129.8,105
2019-01-11,128.75,639
2019-01-14,130.25,1416
2019-01-15,131.05,431
2019-01-16,130.25,423
2019-01-17,131.95,1884
2019-01-18,129.4,1517
2019-01-21,130.0,1128
2019-01-22,126.8,2064
2019-01-23,121.0,4180
2019-01-24,119.1,3515
2019-01-25,114.0,3400
2019-01-28,110.9,2668
2019-01-29,105.7,5483
2019-01-30,107.3,2105
2019-01-31,110.0,1043
2019-02-01,108.55,4169
2019-02-04,110.0,2089
2019-02-05,102.35,2597
2019-02-06,99.6,1517
2019-02-07,104.9,1898
2019-02-08,102.1,3258
2019-02-11,104.5,2334
2019-02-12,105.4,1999
2019-02-13,106.25,180
2019-02-14,102.25,183
2019-02-15,102.45,1980
2019-02-18,98.4,14930
2019-02-19,96.85,7151
2019-02-20,100.8,2683
2019-02-21,102.05,3117
2019-02-22,105.25,693
2019-02-25,103.55,1543
2019-02-26,107.35,2216
2019-02-27,112.35,8011
2019-02-28,114.35,654
2019-03-01,119.9,4220
2019-03-05,130.5,16398
2019-03-06,137.3,10321
2019-03-07,138.45,3891
2019-03-08,134.95,2545
2019-03-11,133.6,4422
2019-03-12,135.4,1804
2019-03-13,130.5,1906
2019-03-14,129.2,434
2019-03-15,127.15,942
2019-03-18,126.95,1448
2019-03-19,126.65,822
2019-03-20,126.6,1805
2019-03-22,125.65,1756
2019-03-25,119.0,2274
2019-03-26,120.0,637
2019-03-27,118.2,6822
2019-03-28,119.9,557
2019-03-29,118.3,8591
2019-04-01,124.05,3454
2019-04-02,129.35,7044
2019-04-03,124.85,548
2019-04-04,126.2,1846
2019-04-05,128.5,2635
2019-04-08,131.05,4039
2019-04-09,130.1,7343
2019-04-10,130.0,472
2019-04-11,132.95,3354
2019-04-12,148.7,39165
2019-04-15,149.75,9508
2019-04-16,142.0,7229
2019-04-18,140.9,2366
2019-04-22,137.5,1813
2019-04-23,137.25,801
2019-04-24,134.95,1619
2019-04-25,143.45,28168
2019-04-26,143.5,4121
2019-04-30,142.1,10252
2019-05-02,137.95,2604
2019-05-03,142.7,1418
2019-05-06,137.75,2575
2019-05-07,129.2,3064
2019-05-08,128.4,1622
2019-05-09,134.35,797
2019-05-10,133.25,468
2019-05-13,123.9,1765
2019-05-14,131.4,4144
2019-05-15,142.95,11825
2019-05-16,149.5,19774
2019-05-17,142.35,1873
2019-05-20,146.25,9032
2019-05-21,146.05,4446
2019-05-22,143.45,1161
2019-05-23,147.45,6966
2019-05-24,154.0,11187
2019-05-27,174.85,33766
2019-05-28,178.3,59238
2019-05-29,176.8,6912
2019-05-30,188.5,21129
2019-05-31,184.3,6635
2019-06-03,187.9,8882
2019-06-04,180.65,27059
2019-06-06,174.45,6468
2019-06-07,171.05,1935
2019-06-10,173.9,2562
2019-06-11,169.85,3763
2019-06-12,165.5,2991
2019-06-13,166.45,5385
2019-06-14,167.55,4392
2019-06-17,166.9,3682
2019-06-18,166.95,2804
2019-06-19,155.9,9309
2019-06-20,160.45,4273
2019-06-21,165.15,3667
2019-06-24,164.85,4206
2019-06-25,165.65,2279
2019-06-26,167.95,1666
2019-06-27,167.25,1847
2019-06-28,167.5,639
2019-07-01,163.9,2487
2019-07-02,167.7,1250
2019-07-03,169.4,1331
2019-07-04,165.4,3185
2019-07-05,163.8,1654
2019-07-08,156.55,1643
2019-07-09,161.65,3512
2019-07-10,161.0,707
2019-07-11,161.5,667
2019-07-12,164.2,3986
2019-07-15,166.45,2883
2019-07-16,162.35,798
2019-07-17,158.3,3156
2019-07-18,157.9,3160
2019-07-19,152.35,4328
2019-07-22,150.0,1338
2019-07-23,157.0,1080
2019-07-24,150.1,8971
2019-07-25,152.2,498
2019-07-26,154.6,1011
2019-07-29,160.35,2201
2019-07-30,150.55,7812
2019-07-31,149.95,3206
2019-08-01,144.0,9420
2019-08-02,148.0,1229
2019-08-05,142.05,2374
2019-08-06,154.1,6996
2019-08-07,151.8,9120
2019-08-08,155.05,837
2019-08-09,158.9,7965
2019-08-13,159.4,15956
2019-08-14,156.65,13758
2019-08-16,152.15,5838
2019-08-19,149.85,3328
2019-08-20,146.65,8140
2019-08-21,142.9,4151
2019-08-22,142.95,3603
2019-08-23,140.8,3866
2019-08-26,145.05,5296
2019-08-27,145.9,8172
2019-08-28,141.3,4575
2019-08-29,141.2,2309
2019-08-30,140.7,2212
2019-09-03,140.15,2037
2019-09-04,138.3,1617
2019-09-05,139.55,709
2019-09-06,143.0,2439
2019-09-09,142.45,2207
2019-09-11,151.0,8536
2019-09-12,144.45,25330
2019-09-13,146.8,1953
2019-09-16,149.2,2293
2019-09-17,144.1,9548
2019-09-18,146.55,1527
2019-09-19,144.5,5521
2019-09-20,147.0,13016
2019-09-23,153.1,4561
2019-09-24,150.2,3566
2019-09-25,148.8,3023
2019-09-26,147.15,2053
2019-09-27,149.05,1180
2019-09-30,148.1,1262
2019-10-01,145.8,5262
2019-10-03,140.0,2985
2019-10-04,141.0,3878
2019-10-07,140.8,534
2019-10-09,142.35,973
2019-10-10,141.0,1111
2019-10-11,141.25,2404
2019-10-14,140.2,2533
2019-10-15,141.4,1595
2019-10-16,144.9,4252
2019-10-17,142.7,644
2019-10-18,142.0,3776
