Date,Close,Volume
2019-01-01,221.45,1018213
2019-01-02,223.9,1282189
2019-01-03,223.0,479157
2019-01-04,220.55,454010
2019-01-07,232.75,2126888
2019-01-08,235.25,849438
2019-01-09,230.7,351405
2019-01-10,226.6,309272
2019-01-11,223.35,176802
2019-01-14,220.4,159742
2019-01-15,224.35,442750
2019-01-16,222.45,227472
2019-01-17,225.8,639024
2019-01-18,213.75,594665
2019-01-21,206.05,420047
2019-01-22,204.85,407100
2019-01-23,205.95,243230
2019-01-24,205.0,264567
2019-01-25,204.05,547579
2019-01-28,195.8,224016
2019-01-29,194.7,170683
2019-01-30,197.05,383429
2019-01-31,200.75,550298
2019-02-01,196.35,242094
2019-02-04,190.6,243519
2019-02-05,186.4,179954
2019-02-06,181.65,201881
2019-02-07,182.45,157355
2019-02-08,173.0,185372
2019-02-11,154.1,496386
2019-02-12,157.2,263600
2019-02-13,155.25,247908
2019-02-14,155.7,291259
2019-02-15,152.85,185931
2019-02-18,149.1,172839
2019-02-19,150.85,231358
2019-02-20,154.6,322220
2019-02-21,178.15,3135905
2019-02-22,175.5,1009085
2019-02-25,180.5,1514496
2019-02-26,176.7,694751
2019-02-27,174.55,727061
2019-02-28,179.75,538405
2019-03-01,181.65,609352
2019-03-05,189.65,1177998
2019-03-06,191.3,766767
2019-03-07,191.65,716556
2019-03-08,192.9,732140
2019-03-11,204.75,2330830
2019-03-12,204.5,529181
2019-03-13,200.9,640406
2019-03-14,199.9,242424
2019-03-15,195.4,643488
2019-03-18,194.9,292327
2019-03-19,199.3,678321
2019-03-20,195.15,279980
2019-03-22,191.35,214229
2019-03-25,186.8,116338
2019-03-26,192.6,403733
2019-03-27,194.2,491056
2019-03-28,194.55,233619
2019-03-29,196.05,327316
2019-04-01,199.4,662295
2019-04-02,202.95,749037
2019-04-03,198.65,817357
2019-04-04,195.05,507027
2019-04-05,198.3,338579
2019-04-08,212.8,2055337
2019-04-09,217.25,2687022
2019-04-10,212.25,811080
2019-04-11,213.2,472305
2019-04-12,212.5,349843
2019-04-15,213.2,403923
2019-04-16,210.9,357592
2019-04-18,201.85,421726
2019-04-22,193.3,212939
2019-04-23,192.65,244492
2019-04-24,194.3,345849
2019-04-25,192.75,440941
2019-04-26,191.75,381233
2019-04-30,184.55,194471
2019-05-02,181.5,217612
2019-05-03,177.5,227574
2019-05-06,171.2,268855
2019-05-07,169.0,422249
2019-05-08,165.2,328602
2019-05-09,162.45,242432
2019-05-10,166.9,432960
2019-05-13,163.45,326839
2019-05-14,162.7,240837
2019-05-15,163.25,222638
2019-05-16,162.35,172136
2019-05-17,162.4,232431
2019-05-20,173.5,592341
2019-05-21,177.55,632908
2019-05-22,181.85,527662
2019-05-23,207.35,2669919
2019-05-24,210.5,1219261
2019-05-27,218.2,1304887
2019-05-28,214.15,493661
2019-05-29,216.7,980378
2019-05-30,213.6,522406
2019-05-31,205.55,449331
2019-06-03,200.75,298908
2019-06-04,202.25,428972
2019-06-06,196.55,190801
2019-06-07,196.15,255792
2019-06-10,192.65,188282
2019-06-11,187.6,198180
2019-06-12,187.6,238959
2019-06-13,186.2,197907
2019-06-14,185.5,207128
2019-06-17,182.95,146707
2019-06-18,179.35,233317
2019-06-19,171.65,340497
2019-06-20,171.95,205068
2019-06-21,179.9,459131
2019-06-24,178.2,201267
2019-06-25,178.65,190553
2019-06-26,182.3,296092
2019-06-27,182.9,238756
2019-06-28,178.0,156652
2019-07-01,179.45,164249
2019-07-02,179.1,109776
2019-07-03,176.7,101507
2019-07-04,178.5,130975
2019-07-05,174.55,107434
2019-07-08,207.45,3598131
2019-07-09,202.65,3131491
2019-07-10,205.4,876425
2019-07-11,214.15,1614484
2019-07-12,206.15,1188208
2019-07-15,205.0,377387
2019-07-16,205.65,443123
2019-07-17,215.25,2989645
2019-07-18,221.1,2104259
2019-07-19,225.2,3982999
2019-07-22,223.9,904002
2019-07-23,225.05,707380
2019-07-24,223.2,2140814
2019-07-25,205.45,877333
2019-07-26,202.1,1327964
2019-07-29,198.85,859002
2019-07-30,181.7,731374
2019-07-31,178.25,905758
