Date,Close,Volume
2019-01-01,510.95,639790
2019-01-02,494.9,1621236
2019-01-03,487.5,1732579
2019-01-04,487.15,2128419
2019-01-07,479.7,4043811
2019-01-08,471.85,2436361
2019-01-09,477.0,1367513
2019-01-10,482.35,1618253
2019-01-11,481.65,944881
2019-01-14,476.5,967635
2019-01-15,486.65,1650630
2019-01-16,489.75,1218694
2019-01-17,489.2,780731
2019-01-18,479.8,1490363
2019-01-21,478.65,1140253
2019-01-22,486.0,1022305
2019-01-23,490.1,1999764
2019-01-24,475.8,1023064
2019-01-25,479.6,1453797
2019-01-28,470.6,738279
2019-01-29,486.05,2091115
2019-01-30,475.3,1008221
2019-01-31,493.0,2264567
2019-02-01,495.45,1723141
2019-02-04,487.65,602203
2019-02-05,487.65,618809
2019-02-06,482.1,1717658
2019-02-07,492.8,772841
2019-02-08,484.55,754438
2019-02-11,479.1,527381
2019-02-12,483.8,580373
2019-02-13,477.85,5975062
2019-02-14,478.45,1816217
2019-02-15,469.0,2152438
2019-02-18,459.0,1031691
2019-02-19,457.6,675042
2019-02-20,473.55,1494861
2019-02-21,480.8,769754
2019-02-22,489.2,837374
2019-02-25,494.55,1746291
2019-02-26,506.25,2879913
2019-02-27,511.2,1930334
2019-02-28,512.9,1574255
2019-03-01,519.75,1154025
2019-03-05,526.1,2469584
2019-03-06,518.55,2106915
2019-03-07,516.35,1324032
2019-03-08,507.35,1200535
2019-03-11,533.85,3216600
2019-03-12,530.1,1476167
2019-03-13,537.5,2937794
2019-03-14,530.35,972792
2019-03-15,535.55,3914300
2019-03-18,517.25,1310619
2019-03-19,516.7,745438
2019-03-20,503.65,1445005
2019-03-22,494.6,1360552
2019-03-25,487.6,1972061
2019-03-26,491.35,917148
2019-03-27,491.05,1356602
2019-03-28,494.65,1597993
2019-03-29,512.4,1489632
2019-04-01,511.6,720664
2019-04-02,514.2,756465
2019-04-03,503.8,1401379
2019-04-04,507.95,750092
2019-04-05,512.35,488412
2019-04-08,503.4,572385
2019-04-09,507.45,414882
2019-04-10,497.9,554070
2019-04-11,496.3,889507
2019-04-12,492.5,1241426
2019-04-15,512.7,1280538
2019-04-16,508.25,1860311
2019-04-18,500.55,506541
2019-04-22,481.7,1062300
2019-04-23,486.25,1279843
2019-04-24,481.1,897465
2019-04-25,480.55,1255289
2019-04-26,476.15,529245
2019-04-30,472.25,618065
2019-05-02,464.2,430595
2019-05-03,486.6,2954245
2019-05-06,470.8,1091676
2019-05-07,465.35,929965
2019-05-08,462.4,1123373
2019-05-09,460.55,712519
2019-05-10,456.4,604441
2019-05-13,450.75,1148539
2019-05-14,456.45,985847
2019-05-15,453.9,817757
2019-05-16,447.7,722258
2019-05-17,454.2,502430
2019-05-20,486.1,5611134
2019-05-21,469.3,2420059
2019-05-22,465.4,935438
2019-05-23,460.3,1242641
2019-05-24,478.2,1755222
2019-05-27,482.35,1008173
2019-05-28,489.75,3540262
2019-05-29,473.8,1403034
2019-05-30,470.15,1292545
2019-05-31,467.35,1142361
2019-06-03,464.5,1286958
2019-06-04,463.0,1066086
2019-06-06,460.35,1527383
2019-06-07,457.4,586486
2019-06-10,461.1,892432
2019-06-11,474.3,1030037
2019-06-12,468.0,647469
2019-06-13,459.65,615365
2019-06-14,454.35,950168
2019-06-17,442.7,1695534
2019-06-18,439.5,878570
2019-06-19,434.5,1740460
