Date,Close,Volume
2019-01-01,265.95,18296
2019-01-02,264.9,28767
2019-01-03,260.65,18443
2019-01-04,259.1,56359
2019-01-07,259.4,7665
2019-01-08,262.95,7321
2019-01-09,261.9,16169
2019-01-10,262.5,17474
2019-01-11,263.6,7901
2019-01-14,262.3,6545
2019-01-15,264.25,6650
2019-01-16,263.0,18862
2019-01-17,261.75,13721
2019-01-18,260.75,7691
2019-01-21,258.6,38254
2019-01-22,254.65,22102
2019-01-23,251.4,29988
2019-01-24,251.7,179378
2019-01-25,249.0,29433
2019-01-28,235.6,44893
2019-01-29,236.2,15369
2019-01-30,239.75,16499
2019-01-31,244.95,17509
2019-02-01,244.2,17393
2019-02-04,239.5,9677
2019-02-05,237.25,5797
2019-02-06,235.8,13588
2019-02-07,236.85,38133
2019-02-08,235.85,25793
2019-02-11,231.9,18573
2019-02-12,224.5,29672
2019-02-13,219.8,31487
2019-02-14,225.3,57687
2019-02-15,219.85,21634
2019-02-18,219.65,8499
2019-02-19,222.15,67803
2019-02-20,231.65,35372
2019-02-21,226.25,47238
2019-02-22,246.35,132345
2019-02-25,243.25,32568
2019-02-26,237.25,27918
2019-02-27,239.95,37699
2019-02-28,240.3,12066
2019-03-01,246.6,20730
2019-03-05,250.2,41945
2019-03-06,256.85,35234
2019-03-07,253.35,19237
2019-03-08,252.2,18686
2019-03-11,264.4,64469
2019-03-12,264.7,22394
2019-03-13,263.65,24438
2019-03-14,262.25,32881
2019-03-15,259.0,17838
2019-03-18,260.15,19752
2019-03-19,263.45,17909
2019-03-20,259.2,10329
2019-03-22,255.6,12743
2019-03-25,247.35,24262
2019-03-26,247.9,23065
2019-03-27,250.15,32625
2019-03-28,247.35,21535
2019-03-29,252.25,18405
2019-04-01,254.95,19243
2019-04-02,250.15,16276
2019-04-03,252.85,12714
2019-04-04,244.8,35718
2019-04-05,240.2,98612
2019-04-08,240.05,69690
2019-04-09,239.7,19594
2019-04-10,239.0,14658
2019-04-11,239.45,4817
2019-04-12,237.8,14593
2019-04-15,245.0,88098
2019-04-16,243.75,7834
2019-04-18,242.05,17555
2019-04-22,235.95,19536
2019-04-23,228.05,50903
2019-04-24,231.2,35296
2019-04-25,230.4,70247
2019-04-26,230.5,10335
2019-04-30,230.85,12475
2019-05-02,230.9,16332
2019-05-03,231.8,43915
2019-05-06,231.75,27476
2019-05-07,227.8,34230
2019-05-08,226.1,8126
2019-05-09,228.65,16966
2019-05-10,226.65,7037
2019-05-13,224.1,4828
2019-05-14,224.05,11112
2019-05-15,224.45,10940
2019-05-16,222.15,10853
2019-05-17,225.25,8103
2019-05-20,235.15,42075
2019-05-21,222.0,261085
2019-05-22,226.05,39820
2019-05-23,220.2,34357
2019-05-24,226.25,24767
2019-05-27,233.75,33755
2019-05-28,229.45,24373
2019-05-29,228.35,12050
2019-05-30,231.05,33605
2019-05-31,226.75,12868
2019-06-03,227.55,8622
2019-06-04,225.25,13112
2019-06-06,220.9,14777
2019-06-07,222.45,16470
2019-06-10,222.95,4247
2019-06-11,221.75,12433
2019-06-12,228.5,36639
2019-06-13,224.65,7493
2019-06-14,223.95,16141
2019-06-17,220.3,14517
2019-06-18,219.9,22099
2019-06-19,217.8,26315
2019-06-20,218.4,17588
2019-06-21,217.2,13114
2019-06-24,219.55,10569
2019-06-25,219.0,9587
2019-06-26,220.8,9833
2019-06-27,223.8,15154
2019-06-28,225.2,38118
2019-07-01,217.0,27078
2019-07-02,220.65,32617
2019-07-03,230.1,369389
2019-07-04,226.15,36436
2019-07-05,217.95,28291
2019-07-08,212.4,29759
2019-07-09,212.55,15560
2019-07-10,210.4,26117
2019-07-11,209.8,15367
2019-07-12,208.45,14928
2019-07-15,207.3,16008
2019-07-16,206.2,9342
2019-07-17,207.0,38358
2019-07-18,202.9,12055
2019-07-19,197.2,22437
2019-07-22,207.45,65749
2019-07-23,207.85,18405
2019-07-24,204.4,12334
2019-07-25,203.1,16701
2019-07-26,201.0,5899
2019-07-29,196.15,7862
2019-07-30,185.0,64094
2019-07-31,184.3,34888
2019-08-01,181.0,10433
2019-08-02,181.5,22156
2019-08-05,177.65,10348
2019-08-06,180.4,7991
2019-08-07,174.65,19906
2019-08-08,178.0,6753
2019-08-09,182.35,22156
2019-08-13,178.3,7088
2019-08-14,180.25,8866
2019-08-16,177.35,13349
2019-08-19,177.45,8582
2019-08-20,174.35,10606
2019-08-21,171.3,18645
2019-08-22,163.25,22050
2019-08-23,170.15,28158
2019-08-26,177.1,17309
2019-08-27,184.5,17025
2019-08-28,183.3,18614
2019-08-29,182.05,10453
2019-08-30,183.45,5433
2019-09-03,180.95,11732
2019-09-04,170.1,67837
2019-09-05,169.2,57819
2019-09-06,165.75,73239
2019-09-09,166.0,115517
2019-09-11,176.5,105298
2019-09-12,181.0,32241
2019-09-13,183.1,14530
2019-09-16,179.15,16121
2019-09-17,183.0,34650
2019-09-18,180.8,6635
2019-09-19,176.55,10134
2019-09-20,185.35,34927
2019-09-23,195.2,57060
2019-09-24,186.5,38197
2019-09-25,186.95,26922
2019-09-26,191.5,22648
2019-09-27,186.0,18545
2019-09-30,182.65,14427
2019-10-01,179.1,18813
2019-10-03,176.55,8570
2019-10-04,173.9,24325
2019-10-07,169.65,20584
2019-10-09,167.1,15291
2019-10-10,167.85,42072
2019-10-11,168.15,3468
2019-10-14,169.65,8788
2019-10-15,168.05,8419
2019-10-16,169.95,10966
2019-10-17,171.2,29598
2019-10-18,175.55,18352
2019-10-22,180.3,20394
2019-10-23,182.65,10150
2019-10-24,178.7,7617
2019-10-25,177.4,12205
2019-10-27,178.6,6955
2019-10-29,180.85,20274
2019-10-30,178.8,17936
2019-10-31,181.45,10328
2019-11-01,183.65,31199
2019-11-04,186.2,48340
2019-11-05,182.55,9940
