Date,Close,Volume
2019-01-01,48.8,13756
2019-01-02,48.7,11751
2019-01-03,48.5,43918
2019-01-04,47.8,7721
2019-01-07,47.85,3038
2019-01-08,48.1,8068
2019-01-09,47.25,16321
2019-01-10,47.05,12471
2019-01-11,46.8,26212
2019-01-14,47.6,6610
2019-01-15,47.95,6816
2019-01-16,47.35,9411
2019-01-17,47.9,48294
2019-01-18,47.35,4529
2019-01-21,46.85,10719
2019-01-22,45.8,16215
2019-01-23,45.6,8190
2019-01-24,44.95,17637
2019-01-25,43.6,27125
2019-01-28,43.75,9309
2019-01-29,43.5,5519
2019-01-30,43.25,9412
2019-01-31,42.85,7883
2019-02-01,43.4,20514
2019-02-04,44.05,28231
2019-02-05,42.35,17764
2019-02-06,41.1,12516
2019-02-07,42.35,9593
2019-02-08,42.85,12760
2019-02-11,41.6,14316
2019-02-12,42.35,6000
2019-02-13,42.95,15014
2019-02-14,42.6,33574
2019-02-15,41.65,2321
2019-02-18,41.5,4703
2019-02-19,42.55,21265
2019-02-20,42.1,4878
2019-02-21,42.25,8071
2019-02-22,43.65,9372
2019-02-25,43.35,2299
2019-02-26,43.25,3388
2019-02-27,43.5,9782
2019-02-28,43.65,2953
2019-03-01,46.05,25338
2019-03-05,47.15,13756
2019-03-06,48.35,16346
2019-03-07,48.1,6507
2019-03-08,47.25,4081
2019-03-11,47.1,9409
2019-03-12,48.8,24853
2019-03-13,49.8,143423
2019-03-14,50.0,17733
2019-03-15,48.05,14375
2019-03-18,47.3,18030
2019-03-19,45.55,32433
2019-03-20,44.85,30542
2019-03-22,44.15,13304
2019-03-25,44.1,12182
2019-03-26,42.75,50683
2019-03-27,44.55,88894
2019-03-28,44.0,22255
2019-03-29,45.1,15464
2019-04-01,45.8,32858
2019-04-02,45.5,8722
2019-04-03,44.7,5109
2019-04-04,44.35,9212
2019-04-05,44.65,22733
2019-04-08,43.5,16496
2019-04-09,43.65,6312
2019-04-10,43.55,6741
2019-04-11,43.7,31957
2019-04-12,45.05,77647
2019-04-15,46.55,130448
2019-04-16,47.5,59218
2019-04-18,46.2,18540
2019-04-22,45.35,9228
2019-04-23,45.45,9163
2019-04-24,44.8,12757
2019-04-25,46.75,99629
2019-04-26,45.5,9918
2019-04-30,43.45,32345
2019-05-02,43.6,11041
2019-05-03,44.15,5580
2019-05-06,42.9,16925
2019-05-07,43.0,11563
2019-05-08,42.3,16331
2019-05-09,43.3,32043
2019-05-10,43.35,2947
2019-05-13,42.55,7133
2019-05-14,42.1,27907
2019-05-15,42.2,5225
2019-05-16,41.55,9328
2019-05-17,41.4,2920
2019-05-20,42.75,12151
2019-05-21,42.0,6929
2019-05-22,43.35,7379
2019-05-23,42.25,9121
2019-05-24,43.8,34941
2019-05-27,45.05,23226
2019-05-28,43.9,16442
2019-05-29,45.45,16323
2019-05-30,47.2,208400
2019-05-31,46.15,12911
2019-06-03,44.8,8056
2019-06-04,44.25,10665
2019-06-06,43.5,9667
2019-06-07,42.8,17224
2019-06-10,42.4,5219
2019-06-11,42.3,5809
2019-06-12,42.8,11438
2019-06-13,41.8,8558
2019-06-14,41.95,2657
2019-06-17,41.4,11955
2019-06-18,40.55,17241
2019-06-19,39.3,12941
2019-06-20,38.7,10991
2019-06-21,38.85,3650
2019-06-24,38.9,2768
2019-06-25,38.9,4847
2019-06-26,38.95,5244
2019-06-27,38.9,10282
2019-06-28,38.1,11683
2019-07-01,37.65,8141
2019-07-02,36.05,12916
2019-07-03,37.05,19747
2019-07-04,37.8,2621
2019-07-05,36.95,4837
2019-07-08,36.0,7190
2019-07-09,35.25,9604
2019-07-10,35.7,3443
2019-07-11,35.2,3399
2019-07-12,35.7,3445
2019-07-15,35.5,10365
2019-07-16,36.2,5748
2019-07-17,34.55,3924
2019-07-18,34.4,4603
2019-07-19,33.55,6763
2019-07-22,31.65,15256
2019-07-23,31.6,11552
2019-07-24,30.65,6406
2019-07-25,30.1,3885
2019-07-26,29.6,10563
2019-07-29,29.35,7190
2019-07-30,28.85,7349
2019-07-31,27.15,44848
2019-08-01,27.1,9958
2019-08-02,25.95,22181
2019-08-05,26.2,9883
2019-08-06,27.35,6747
2019-08-07,26.6,3598
2019-08-08,26.45,2560
2019-08-09,28.55,30166
2019-08-13,28.1,10099
2019-08-14,28.75,1421
2019-08-16,30.2,15047
2019-08-19,30.55,6495
2019-08-20,33.1,37626
2019-08-21,34.9,69420
2019-08-22,34.25,38212
2019-08-23,36.75,58904
2019-08-26,38.3,25325
2019-08-27,38.15,17521
2019-08-28,39.3,47979
2019-08-29,37.85,5930
2019-08-30,36.95,5024
2019-09-03,35.9,31316
2019-09-04,36.05,7557
2019-09-05,36.0,1532
2019-09-06,36.2,4388
2019-09-09,34.55,6096
2019-09-11,35.2,5843
2019-09-12,36.4,23046
2019-09-13,37.45,66800
