Date,Close,Volume
2019-01-01,22.4,19821
2019-01-02,22.1,14694
2019-01-03,21.9,16411
2019-01-04,21.95,16887
2019-01-07,22.15,8465
2019-01-08,22.1,24881
2019-01-09,21.95,8099
2019-01-10,22.0,67909
2019-01-11,22.0,5085
2019-01-14,21.55,34862
2019-01-15,21.55,27914
2019-01-16,22.0,31906
2019-01-17,21.6,27638
2019-01-18,21.45,10431
2019-01-21,22.0,23550
2019-01-22,21.55,5063
2019-01-23,21.05,31339
2019-01-24,21.35,14305
2019-01-25,20.75,9038
2019-01-28,20.0,8090
2019-01-29,20.1,7665
2019-01-30,20.3,12825
2019-01-31,19.35,27135
2019-02-01,18.4,42875
2019-02-04,17.7,20032
2019-02-05,16.1,67887
2019-02-06,17.9,32963
2019-02-07,21.3,85997
2019-02-08,19.0,53834
2019-02-11,19.05,9474
2019-02-12,18.5,34850
2019-02-13,18.4,7191
2019-02-14,17.5,37340
2019-02-15,16.9,31639
2019-02-18,16.55,15006
2019-02-19,16.8,10581
2019-02-20,16.15,53715
2019-02-21,15.9,80614
2019-02-22,16.0,83427
2019-02-25,15.95,55045
2019-02-26,16.25,33722
2019-02-27,16.05,138860
2019-02-28,15.8,56579
2019-03-01,16.65,27684
2019-03-05,18.85,341965
2019-03-06,19.05,85007
2019-03-07,18.7,66523
2019-03-08,18.85,30785
2019-03-11,18.95,42807
2019-03-12,18.9,17247
2019-03-13,18.65,9887
2019-03-14,18.1,33654
2019-03-15,17.75,23439
2019-03-18,17.5,7925
2019-03-19,17.55,20896
2019-03-20,17.9,9657
2019-03-22,17.9,12580
2019-03-25,17.4,13372
2019-03-26,16.75,38212
2019-03-27,16.75,229983
2019-03-28,17.35,245051
2019-03-29,17.15,10972
2019-04-01,18.4,153654
2019-04-02,18.8,78304
2019-04-03,18.2,22480
2019-04-04,17.5,30282
2019-04-05,17.75,20338
2019-04-08,17.7,10312
2019-04-09,18.0,11745
2019-04-10,17.7,13735
2019-04-11,17.65,16303
2019-04-12,17.5,5137
2019-04-15,17.5,12851
2019-04-16,17.45,20798
2019-04-18,17.1,98588
2019-04-22,16.7,20422
2019-04-23,16.9,4539
2019-04-24,16.7,70652
2019-04-25,16.6,14326
2019-04-26,16.2,25936
2019-04-30,15.8,548982
2019-05-02,15.45,51821
2019-05-03,15.1,62139
2019-05-06,15.15,31584
2019-05-07,14.9,29021
2019-05-08,13.95,52208
2019-05-09,14.05,69783
2019-05-10,13.9,130825
2019-05-13,13.35,72411
2019-05-14,13.65,57875
2019-05-15,13.5,100587
2019-05-16,13.45,83697
2019-05-17,14.65,203591
2019-05-20,14.25,296202
2019-05-21,13.8,112256
2019-05-22,12.9,192632
2019-05-23,12.75,185215
2019-05-24,13.2,48831
2019-05-27,14.55,219982
2019-05-28,14.45,67718
2019-05-29,14.2,55422
2019-05-30,14.4,34645
2019-05-31,14.3,60446
2019-06-03,13.9,36037
2019-06-04,13.75,36085
2019-06-06,13.7,49193
2019-06-07,13.75,16336
2019-06-10,13.85,15507
2019-06-11,13.75,22250
2019-06-12,13.6,8145
2019-06-13,13.55,21511
2019-06-14,13.65,18470
2019-06-17,13.35,29802
2019-06-18,13.2,12966
2019-06-19,12.85,27599
2019-06-20,12.9,36349
2019-06-21,12.75,23365
2019-06-24,12.85,23993
2019-06-25,12.5,16268
2019-06-26,12.85,29430
2019-06-27,12.9,13373
2019-06-28,12.65,21768
2019-07-01,12.9,13659
2019-07-02,13.1,23657
2019-07-03,12.8,25220
2019-07-04,13.0,12416
2019-07-05,12.8,41868
2019-07-08,12.65,38278
2019-07-09,12.7,33788
2019-07-10,12.7,39584
2019-07-11,12.95,25886
2019-07-12,12.7,25037
2019-07-15,12.95,30308
2019-07-16,13.05,19441
2019-07-17,12.75,22497
2019-07-18,12.7,5265
2019-07-19,12.3,39190
2019-07-22,12.3,13993
2019-07-23,12.5,62906
2019-07-24,12.05,7509
2019-07-25,11.8,9047
2019-07-26,12.0,25148
2019-07-29,12.05,8196
2019-07-30,11.35,19744
2019-07-31,11.5,33864
2019-08-01,11.0,13163
2019-08-02,10.8,14310
2019-08-05,10.55,60305
2019-08-06,10.65,11201
2019-08-07,11.0,50346
2019-08-08,10.95,18327
2019-08-09,10.7,39791
2019-08-13,10.4,24500
2019-08-14,10.2,28273
2019-08-16,10.4,19239
2019-08-19,10.55,38106
2019-08-20,10.5,7519
2019-08-21,10.35,21154
2019-08-22,9.4,137395
2019-08-23,9.5,75514
2019-08-26,9.3,564778
2019-08-27,10.0,342055
2019-08-28,9.25,91218
2019-08-29,8.95,117529
2019-08-30,9.25,60836
2019-09-03,8.8,57833
2019-09-04,8.75,98440
2019-09-05,9.15,63207
2019-09-06,9.05,80857
2019-09-09,9.4,89260
2019-09-11,9.8,84979
2019-09-12,9.75,80494
2019-09-13,9.85,103858
2019-09-16,9.9,248208
2019-09-17,10.25,200866
2019-09-18,9.9,146020
2019-09-19,9.7,303302
2019-09-20,9.9,73941
2019-09-23,10.1,74669
2019-09-24,11.2,170772
2019-09-25,11.25,89162
2019-09-26,10.8,109508
2019-09-27,10.85,48590
2019-09-30,10.6,57705
2019-10-01,10.35,65430
2019-10-03,10.0,61011
2019-10-04,9.75,50757
2019-10-07,9.95,43458
2019-10-09,9.85,47058
2019-10-10,9.85,47594
2019-10-11,9.85,59101
2019-10-14,9.8,86864
2019-10-15,9.65,62324
2019-10-16,9.5,75285
2019-10-17,9.8,51005
2019-10-18,9.7,79770
2019-10-22,9.7,59554
2019-10-23,9.3,130520
2019-10-24,9.55,52295
2019-10-25,9.35,68140
2019-10-27,9.5,27871
2019-10-29,9.8,50010
2019-10-30,9.6,77005
2019-10-31,9.55,49485
2019-11-01,9.3,90423
2019-11-04,9.0,148406
2019-11-05,8.9,71496
2019-11-06,8.65,114647
2019-11-07,8.9,52414
2019-11-08,8.65,121115
2019-11-11,8.75,74927
2019-11-13,9.05,115045
2019-11-14,8.6,62320
2019-11-15,9.7,473960
2019-11-18,9.65,74561
2019-11-19,9.3,208879
2019-11-20,9.25,102777
2019-11-21,9.1,154917
2019-11-22,9.2,133578
2019-11-25,9.35,154389
2019-11-26,9.3,126788
2019-11-27,9.45,166262
2019-11-28,9.1,187762
2019-11-29,9.05,152170
2019-12-02,9.2,174659
2019-12-03,10.15,484645
2019-12-04,9.85,159549
2019-12-05,9.8,74049
2019-12-06,9.7,74627
2019-12-09,9.75,81688
2019-12-10,9.65,163113
2019-12-11,9.7,143050
2019-12-12,9.9,57862
2019-12-13,10.2,87145
2019-12-16,11.3,497419
