Date,Close,Volume
2019-01-01,171.2,14570
2019-01-02,169.9,27900
2019-01-03,167.55,10624
2019-01-04,167.85,31060
2019-01-07,168.1,15353
2019-01-08,169.45,18697
2019-01-09,182.3,1673603
2019-01-10,177.2,212160
2019-01-11,174.35,58529
2019-01-14,176.05,51940
2019-01-15,179.45,85666
2019-01-16,181.0,74723
2019-01-17,177.2,29145
2019-01-18,176.35,13663
2019-01-21,178.25,30706
2019-01-22,179.8,38494
2019-01-23,180.3,409303
2019-01-24,178.1,86377
2019-01-25,174.55,36847
2019-01-28,169.25,38005
2019-01-29,166.9,46949
2019-01-30,169.25,43656
2019-01-31,176.25,30895
2019-02-01,179.1,62644
2019-02-04,179.05,32627
2019-02-05,179.85,27461
2019-02-06,180.0,29602
2019-02-07,178.95,23628
2019-02-08,177.05,27781
2019-02-11,178.65,86644
2019-02-12,176.85,46102
2019-02-13,178.85,29171
2019-02-14,179.15,38601
2019-02-15,178.7,29579
2019-02-18,178.05,12162
2019-02-19,177.25,15335
2019-02-20,180.0,565985
2019-02-21,179.0,311476
2019-02-22,179.05,30309
2019-02-25,179.0,26383
2019-02-26,179.6,99735
2019-02-27,178.75,326193
2019-02-28,178.15,34828
2019-03-01,179.2,15503
2019-03-05,180.1,92631
2019-03-06,193.55,163629
2019-03-07,193.15,53075
2019-03-08,197.6,110945
2019-03-11,199.9,233980
2019-03-12,199.55,105908
2019-03-13,199.65,34438
2019-03-14,203.05,124191
2019-03-15,200.7,91149
2019-03-18,198.1,93367
2019-03-19,195.7,51544
2019-03-20,192.7,242452
2019-03-22,188.7,75037
2019-03-25,191.45,589113
2019-03-26,189.05,131189
2019-03-27,188.25,52427
2019-03-28,188.95,24978
2019-03-29,186.95,215910
2019-04-01,185.85,113526
2019-04-02,185.5,58953
2019-04-03,185.05,38211
2019-04-04,187.55,20998
2019-04-05,196.95,87654
2019-04-08,197.15,64684
2019-04-09,195.7,38874
2019-04-10,196.1,35327
2019-04-11,195.25,26686
2019-04-12,193.8,9002
2019-04-15,194.05,16972
2019-04-16,192.95,15133
2019-04-18,190.0,17092
2019-04-22,185.45,16248
2019-04-23,188.1,15649
2019-04-24,190.35,9026
2019-04-25,189.75,14392
2019-04-26,186.8,10518
2019-04-30,186.35,13092
2019-05-02,185.6,18151
2019-05-03,181.3,15517
2019-05-06,181.65,7847
2019-05-07,184.8,65591
2019-05-08,187.0,31166
2019-05-09,187.8,46804
2019-05-10,188.45,18887
2019-05-13,189.45,50393
2019-05-14,186.85,99917
2019-05-15,185.3,13815
2019-05-16,182.25,352941
2019-05-17,187.15,54451
2019-05-20,197.5,85097
2019-05-21,195.6,49571
2019-05-22,196.7,222823
2019-05-23,198.35,118451
2019-05-24,200.1,95318
2019-05-27,193.65,65590
2019-05-28,195.2,37032
2019-05-29,194.85,42890
2019-05-30,194.95,33989
2019-05-31,196.85,32576
2019-06-03,195.4,341768
2019-06-04,196.3,331807
2019-06-06,196.25,13898
2019-06-07,195.45,14160
2019-06-10,194.35,8175
2019-06-11,197.95,30798
2019-06-12,197.95,29910
2019-06-13,197.65,26712
2019-06-14,196.95,27556
2019-06-17,193.0,44853
2019-06-18,191.35,9659
2019-06-19,190.35,19154
2019-06-20,193.0,13535
2019-06-21,193.15,15446
2019-06-24,193.2,11205
2019-06-25,195.15,268941
2019-06-26,188.15,32273
2019-06-27,192.5,10355
2019-06-28,192.2,159252
2019-07-01,191.75,78964
2019-07-02,191.3,25693
2019-07-03,195.55,117268
2019-07-04,192.25,19102
2019-07-05,194.9,107228
2019-07-08,189.55,13597
2019-07-09,187.95,16883
2019-07-10,190.55,139452
2019-07-11,188.15,15998
2019-07-12,186.0,26491
2019-07-15,182.6,12515
2019-07-16,175.75,36052
2019-07-17,171.3,39639
2019-07-18,176.3,298569
2019-07-19,165.95,683305
2019-07-22,164.35,95603
2019-07-23,169.0,203953
2019-07-24,165.25,13862
2019-07-25,164.15,14490
2019-07-26,164.7,320243
2019-07-29,161.55,24573
2019-07-30,162.55,72046
2019-07-31,161.15,125931
2019-08-01,155.35,227242
2019-08-02,147.95,56468
2019-08-05,150.2,177499
2019-08-06,153.3,15245
2019-08-07,154.3,14084
2019-08-08,157.1,116704
2019-08-09,157.6,299507
2019-08-13,157.35,514421
2019-08-14,156.1,5493
2019-08-16,157.2,10954
2019-08-19,153.6,46891
2019-08-20,154.85,10684
2019-08-21,148.9,22154
2019-08-22,139.1,135301
2019-08-23,136.85,193878
2019-08-26,139.35,33819
2019-08-27,138.7,92271
2019-08-28,136.4,22149
2019-08-29,135.85,38109
2019-08-30,135.65,28210
2019-09-03,132.55,36426
2019-09-04,133.2,27284
2019-09-05,134.15,13222
2019-09-06,136.55,21055
2019-09-09,134.75,40472
2019-09-11,137.5,90557
2019-09-12,138.6,87774
2019-09-13,139.75,36530
2019-09-16,140.1,39279
2019-09-17,137.85,39646
2019-09-18,136.2,17751
2019-09-19,135.8,23368
2019-09-20,138.65,453323
2019-09-23,140.25,53324
2019-09-24,143.7,326311
2019-09-25,146.15,34076
2019-09-26,148.2,373887
2019-09-27,145.85,25116
2019-09-30,144.0,12166
2019-10-01,140.3,14913
2019-10-03,139.0,15753
2019-10-04,140.6,18638
2019-10-07,143.45,19923
2019-10-09,141.65,25075
2019-10-10,142.9,386828
2019-10-11,140.05,33439
2019-10-14,144.85,36509
2019-10-15,146.8,45068
2019-10-16,152.75,464694
2019-10-17,156.1,155779
2019-10-18,155.85,90439
2019-10-22,155.45,61619
2019-10-23,154.95,34784
2019-10-24,156.5,71667
2019-10-25,160.05,71749
2019-10-27,161.8,15149
2019-10-29,152.7,48473
2019-10-30,147.85,80785
2019-10-31,145.65,45315
2019-11-01,147.2,21312
2019-11-04,146.35,50157
2019-11-05,146.45,35589
2019-11-06,146.05,14226
2019-11-07,148.2,17290
2019-11-08,146.55,11878
2019-11-11,144.9,29759
2019-11-13,143.35,19719
2019-11-14,143.1,18903
2019-11-15,141.6,11827
2019-11-18,142.25,13940
2019-11-19,143.25,12340
2019-11-20,141.75,28361
2019-11-21,140.35,10073
2019-11-22,141.95,16779
2019-11-25,141.8,382754
2019-11-26,141.25,43414
2019-11-27,141.3,16427
2019-11-28,139.5,15080
2019-11-29,138.3,25038
2019-12-02,138.9,37333
2019-12-03,139.05,23959
2019-12-04,140.6,12810
2019-12-05,141.55,9216
2019-12-06,137.95,9639
2019-12-09,136.85,16904
2019-12-10,136.0,12168
2019-12-11,133.45,20662
2019-12-12,134.25,17632
2019-12-13,134.1,28305
2019-12-16,134.3,33896
2019-12-17,133.7,14246
2019-12-18,132.95,16998
2019-12-19,133.1,9680
2019-12-20,132.9,21753
2019-12-23,131.85,800051
2019-12-24,131.2,34284
2019-12-26,132.25,21233
2019-12-27,132.9,16643
2019-12-30,133.95,45568
2019-12-31,134.15,121386
