Date,Close,Volume
2019-01-01,394.25,566813
2019-01-02,401.9,1169995
2019-01-03,392.95,673089
2019-01-04,394.05,261745
2019-01-07,387.95,231567
2019-01-08,385.2,263581
2019-01-09,387.0,247618
2019-01-10,384.0,293336
2019-01-11,384.55,160111
2019-01-14,387.7,255196
2019-01-15,389.1,2995917
2019-01-16,378.55,604653
2019-01-17,376.25,348693
2019-01-18,371.2,214283
2019-01-21,370.05,219526
2019-01-22,363.3,281346
2019-01-23,361.4,279977
2019-01-24,361.35,174283
2019-01-25,349.4,392975
2019-01-28,316.15,1145767
2019-01-29,316.7,1482402
2019-01-30,317.85,767850
2019-01-31,340.25,1091123
2019-02-01,353.7,1329833
2019-02-04,334.6,839169
2019-02-05,322.55,662883
2019-02-06,320.8,427399
2019-02-07,315.3,618345
2019-02-08,302.05,522497
2019-02-11,273.75,1309055
2019-02-12,277.0,521855
2019-02-13,277.7,347905
2019-02-14,297.6,679425
2019-02-15,289.9,442654
2019-02-18,270.7,417336
2019-02-19,261.7,735619
2019-02-20,268.8,443355
2019-02-21,297.7,1828381
2019-02-22,302.95,1784889
2019-02-25,297.25,516207
2019-02-26,287.05,694618
2019-02-27,280.95,965451
2019-02-28,279.6,466321
2019-03-01,281.35,637021
2019-03-05,295.15,1407063
2019-03-06,290.7,853737
2019-03-07,286.6,447440
2019-03-08,283.3,274745
2019-03-11,287.4,407412
2019-03-12,287.85,890043
2019-03-13,281.9,586031
2019-03-14,281.75,346341
2019-03-15,279.45,703873
2019-03-18,274.15,356866
2019-03-19,272.25,321031
2019-03-20,280.8,2195752
2019-03-22,283.05,957747
2019-03-25,273.3,514082
2019-03-26,272.35,447032
2019-03-27,283.0,1786415
2019-03-28,314.5,3940935
2019-03-29,326.15,4910510
2019-04-01,343.05,3430821
2019-04-02,340.85,1297621
2019-04-03,336.8,2140558
2019-04-04,328.3,1562052
2019-04-05,348.45,2500598
2019-04-08,343.05,2643812
2019-04-09,338.05,972628
2019-04-10,345.8,2717091
2019-04-11,349.5,1323587
2019-04-12,337.5,763968
2019-04-15,331.2,750053
2019-04-16,325.9,692744
2019-04-18,310.6,982011
2019-04-22,294.65,851343
2019-04-23,299.4,969538
2019-04-24,304.25,899143
2019-04-25,319.9,2822948
2019-04-26,320.05,1471194
2019-04-30,296.8,1618462
2019-05-02,304.7,2163395
2019-05-03,296.15,833025
2019-05-06,277.45,1138213
2019-05-07,263.95,1173357
2019-05-08,257.75,835171
2019-05-09,261.0,924039
2019-05-10,263.75,538191
2019-05-13,245.25,717487
2019-05-14,253.3,1177076
2019-05-15,245.2,636415
2019-05-16,251.45,610357
2019-05-17,298.65,2842952
2019-05-20,347.45,4279264
2019-05-21,333.5,2947086
2019-05-22,320.2,733292
2019-05-23,320.9,973776
2019-05-24,319.0,953998
2019-05-27,304.15,671117
2019-05-28,309.45,975234
2019-05-29,304.85,383495
2019-05-30,311.6,1452739
2019-05-31,296.55,977407
2019-06-03,312.45,1413657
2019-06-04,306.95,532574
2019-06-06,292.7,681557
2019-06-07,298.05,706841
2019-06-10,288.65,811285
2019-06-11,279.95,2687199
2019-06-12,261.3,1821158
2019-06-13,293.45,3272986
2019-06-14,286.75,1399377
2019-06-17,273.45,758655
2019-06-18,260.65,806827
2019-06-19,252.8,4767849
2019-06-20,265.3,1578448
2019-06-21,277.15,1531617
2019-06-24,269.05,1307326
2019-06-25,267.0,818675
2019-06-26,267.1,481217
2019-06-27,277.85,1264921
2019-06-28,274.35,938073
2019-07-01,274.15,306997
2019-07-02,277.7,713168
2019-07-03,304.25,3029086
2019-07-04,322.95,4196158
2019-07-05,336.7,3285517
2019-07-08,301.8,1577185
2019-07-09,301.15,1102358
2019-07-10,292.1,716921
2019-07-11,304.85,1126397
2019-07-12,299.05,709994
2019-07-15,287.9,752404
2019-07-16,289.1,669095
2019-07-17,290.5,814171
2019-07-18,290.5,581520
2019-07-19,276.2,534115
2019-07-22,277.7,718439
2019-07-23,273.4,342614
2019-07-24,270.25,452214
2019-07-25,268.8,408992
2019-07-26,270.35,490866
2019-07-29,257.65,2233247
2019-07-30,236.85,1458187
2019-07-31,239.9,2268311
2019-08-01,220.05,3668346
2019-08-02,205.1,3227064
2019-08-05,194.2,11032890
2019-08-06,204.5,2373008
2019-08-07,191.65,2784442
2019-08-08,202.95,2216739
2019-08-09,206.45,2202414
2019-08-13,204.45,2998271
2019-08-14,206.55,1270702
2019-08-16,204.0,1214504
2019-08-19,205.3,718407
2019-08-20,201.5,552814
2019-08-21,197.75,673299
2019-08-22,190.25,1634197
2019-08-23,188.85,838753
2019-08-26,191.6,1097144
2019-08-27,187.7,675029
2019-08-28,182.5,1030634
2019-08-29,175.95,1968527
2019-08-30,178.6,1289615
2019-09-03,174.15,992515
2019-09-04,168.85,690084
2019-09-05,165.75,776100
2019-09-06,157.2,10871157
2019-09-09,153.4,1583965
2019-09-11,151.35,2256771
2019-09-12,158.1,2235352
2019-09-13,161.95,1481216
2019-09-16,171.8,4138776
2019-09-17,173.25,2345622
2019-09-18,166.8,2002597
2019-09-19,160.0,901681
2019-09-20,177.6,7482030
2019-09-23,186.15,3396594
2019-09-24,183.45,1086612
2019-09-25,175.9,813144
2019-09-26,186.4,2319793
2019-09-27,154.8,6877045
2019-09-30,123.85,2371578
2019-10-01,111.5,1358747
2019-10-03,115.65,2876319
2019-10-04,111.2,1522227
2019-10-07,100.1,2086288
2019-10-09,108.95,3753018
2019-10-10,99.75,3646247
2019-10-11,104.0,4575860
2019-10-14,100.65,1126404
2019-10-15,90.6,1193035
2019-10-16,81.55,2282257
2019-10-17,85.6,3613534
2019-10-18,89.85,1158312
2019-10-22,93.75,1947893
2019-10-23,94.65,1431301
2019-10-24,94.6,631671
2019-10-25,96.8,848354
2019-10-27,95.2,123712
2019-10-29,97.85,1363545
2019-10-30,96.05,756662
2019-10-31,100.85,882234
2019-11-01,105.85,259644
2019-11-04,111.1,71796
2019-11-05,116.65,42350
2019-11-06,122.45,87326
2019-11-07,128.55,38130
2019-11-08,134.95,1437967
2019-11-11,141.65,1025276
2019-11-13,147.6,1612798
2019-11-14,148.7,1530515
2019-11-15,149.15,1092110
2019-11-18,145.15,603901
2019-11-19,144.95,336249
2019-11-20,143.55,214566
2019-11-21,149.8,1410482
2019-11-22,151.35,879001
2019-11-25,155.65,915491
2019-11-26,161.75,1587124
2019-11-27,169.55,874578
2019-11-28,178.0,1149371
2019-11-29,171.25,2737920
2019-12-02,169.15,1090186
2019-12-03,168.05,2708506
2019-12-04,166.1,332635
2019-12-05,164.35,359849
2019-12-06,156.15,824052
2019-12-09,148.5,654500
2019-12-10,153.85,1553650
2019-12-11,154.7,2126997
2019-12-12,159.15,2377475
2019-12-13,166.95,1693710
2019-12-16,164.15,2661852
2019-12-17,161.5,4713753
2019-12-18,163.05,2175513
2019-12-19,168.9,2805282
2019-12-20,177.3,2478915
2019-12-23,178.15,2825757
2019-12-24,180.95,2177951
2019-12-26,186.6,2198147
2019-12-27,194.45,1852575
2019-12-30,204.15,1466996
2019-12-31,214.35,1408405
