Date,Close,Volume
2019-01-01,151.2,1943
2019-01-02,148.5,3366
2019-01-03,150.95,6376
2019-01-04,150.1,3281
2019-01-07,148.85,3152
2019-01-08,149.5,1165
2019-01-09,150.4,1826
2019-01-10,148.3,1669
2019-01-11,147.2,3232
2019-01-14,148.35,12606
2019-01-15,148.55,2455
2019-01-16,150.05,38487
2019-01-17,153.15,39231
2019-01-18,147.75,9973
2019-01-21,149.2,44683
2019-01-22,149.85,7270
2019-01-23,146.25,3899
2019-01-24,146.1,3030
2019-01-25,146.4,6534
2019-01-28,146.4,11148
2019-01-29,142.75,3438
2019-01-30,147.2,5112
2019-01-31,149.1,2547
2019-02-01,148.5,5462
2019-02-04,144.55,1917
2019-02-05,139.3,15257
2019-02-06,138.35,16815
2019-02-07,137.9,7552
2019-02-08,136.7,4539
2019-02-11,135.25,10227
2019-02-12,135.75,8377
2019-02-13,133.9,5655
2019-02-14,160.65,119974
2019-02-15,171.25,254660
2019-02-18,166.2,42923
2019-02-19,156.3,28963
2019-02-20,159.05,11569
2019-02-21,171.35,30176
2019-02-22,165.45,28977
2019-02-25,167.7,13188
2019-02-26,163.55,8241
2019-02-27,158.65,15657
2019-02-28,168.95,49276
2019-03-01,170.9,68905
2019-03-05,180.85,41126
2019-03-06,179.75,22634
2019-03-07,176.45,28781
2019-03-08,190.9,70313
2019-03-11,199.1,114463
2019-03-12,196.1,26329
2019-03-13,189.6,25629
2019-03-14,193.9,24136
2019-03-15,194.95,37042
2019-03-18,197.15,13508
2019-03-19,199.4,37849
2019-03-20,190.85,19829
2019-03-22,182.0,39947
2019-03-25,180.0,30413
2019-03-26,180.0,11345
2019-03-27,176.85,8541
2019-03-28,183.45,51937
2019-03-29,180.75,6109
2019-04-01,187.85,26859
2019-04-02,183.8,1686
2019-04-03,185.05,11862
2019-04-04,181.0,7325
2019-04-05,181.8,12670
2019-04-08,185.4,12875
2019-04-09,183.9,2667
2019-04-10,193.85,151215
2019-04-11,200.25,69217
2019-04-12,207.2,61658
2019-04-15,212.0,30816
2019-04-16,254.4,219718
2019-04-18,300.2,895571
2019-04-22,276.25,220528
2019-04-23,278.25,125022
2019-04-24,268.05,36228
2019-04-25,246.25,42562
2019-04-26,270.85,26129
2019-04-30,250.8,93048
2019-05-02,275.85,52502
2019-05-03,271.65,113676
2019-05-06,273.75,37554
2019-05-07,270.85,14888
2019-05-08,258.35,15476
2019-05-09,255.75,9225
2019-05-10,247.4,33572
2019-05-13,231.1,11886
2019-05-14,254.2,41865
2019-05-15,262.4,98613
2019-05-16,262.8,32261
2019-05-17,273.6,56671
2019-05-20,293.55,70231
2019-05-21,286.3,46066
2019-05-22,296.5,45959
2019-05-23,290.85,57718
2019-05-24,319.6,95306
2019-05-27,351.55,127270
2019-05-28,362.0,125169
2019-05-29,354.85,160163
2019-05-30,337.15,52777
2019-05-31,320.3,29951
2019-06-03,304.3,9623
2019-06-04,289.1,40649
2019-06-06,274.65,13886
2019-06-07,266.9,162965
2019-06-10,279.55,124355
2019-06-11,288.1,93766
2019-06-12,280.75,62537
2019-06-13,281.15,15734
2019-06-14,270.8,16831
2019-06-17,259.8,16569
2019-06-18,246.85,18271
2019-06-19,234.8,29027
2019-06-20,245.9,98031
2019-06-21,253.5,75792
2019-06-24,262.9,64913
2019-06-25,263.1,65778
2019-06-26,253.7,62008
2019-06-27,248.2,35850
2019-06-28,243.0,35670
2019-07-01,240.8,10020
2019-07-02,239.65,6712
2019-07-03,249.1,17681
2019-07-04,239.65,13144
2019-07-05,241.8,11523
2019-07-08,229.75,13234
2019-07-09,218.3,18024
2019-07-10,207.65,19864
2019-07-11,209.25,14736
2019-07-12,209.8,21483
2019-07-15,201.05,8285
2019-07-16,194.0,10091
2019-07-17,196.1,10171
2019-07-18,190.1,7774
2019-07-19,180.95,8141
2019-07-22,189.7,20340
2019-07-23,199.15,37175
2019-07-24,192.85,16518
2019-07-25,191.65,6258
2019-07-26,187.55,12261
2019-07-29,196.9,24214
2019-07-30,188.55,13641
2019-07-31,183.75,6563
2019-08-01,186.3,9658
2019-08-02,177.6,18188
2019-08-05,168.75,5207
2019-08-06,166.55,48745
2019-08-07,164.4,46721
2019-08-08,163.5,19479
2019-08-09,164.8,13996
2019-08-13,153.95,11224
2019-08-14,154.7,8133
2019-08-16,159.3,23409
2019-08-19,151.1,18156
2019-08-20,146.3,18388
2019-08-21,133.55,30524
2019-08-22,120.2,27473
2019-08-23,126.2,36784
2019-08-26,132.5,29991
2019-08-27,139.1,14995
2019-08-28,146.05,15054
2019-08-29,152.75,45228
2019-08-30,156.85,37603
2019-09-03,149.95,25373
2019-09-04,142.6,9054
2019-09-05,143.2,5246
2019-09-06,141.2,5418
2019-09-09,144.45,4174
2019-09-11,147.1,12582
2019-09-12,148.25,14583
2019-09-13,147.95,13971
2019-09-16,146.85,5859
2019-09-17,145.3,44687
2019-09-18,149.0,10545
2019-09-19,152.4,15184
2019-09-20,151.75,7752
2019-09-23,155.3,9392
2019-09-24,157.95,10222
2019-09-25,150.1,7692
2019-09-26,143.0,44321
2019-09-27,136.45,48038
2019-09-30,129.65,7264
2019-10-01,127.7,5669
2019-10-03,126.1,6345
2019-10-04,126.85,34846
2019-10-07,128.5,44649
2019-10-09,129.3,48436
2019-10-10,127.6,65245
2019-10-11,130.0,62932
2019-10-14,132.7,12966
2019-10-15,129.95,37635
2019-10-16,129.5,3652
2019-10-17,127.0,29587
2019-10-18,127.9,30402
2019-10-22,128.85,32060
2019-10-23,133.85,14646
2019-10-24,132.95,22730
2019-10-25,137.15,57814
2019-10-27,139.85,5250
2019-10-29,137.1,34187
2019-10-30,139.45,3601
2019-10-31,139.0,19989
2019-11-01,140.45,31516
2019-11-04,142.35,5020
2019-11-05,145.45,72494
2019-11-06,143.75,4199
2019-11-07,140.1,17528
2019-11-08,140.3,18245
2019-11-11,140.65,2581
2019-11-13,142.35,41651
2019-11-14,138.15,9773
2019-11-15,141.1,4823
2019-11-18,139.55,3683
2019-11-19,138.15,3287
2019-11-20,132.6,39627
2019-11-21,129.75,4507
2019-11-22,131.2,1448
2019-11-25,129.85,4235
2019-11-26,129.85,35550
2019-11-27,131.4,2418
2019-11-28,134.6,71203
2019-11-29,129.3,8134
2019-12-02,129.0,4808
2019-12-03,129.7,2849
2019-12-04,128.05,2947
2019-12-05,130.05,40274
2019-12-06,126.55,52203
2019-12-09,124.45,3207
2019-12-10,122.7,7095
2019-12-11,120.25,7120
2019-12-12,122.45,4119
2019-12-13,128.8,7419
2019-12-16,126.3,4923
2019-12-17,131.7,14594
2019-12-18,127.85,4376
2019-12-19,124.0,9004
2019-12-20,125.45,16754
2019-12-23,122.6,12129
2019-12-24,121.2,44372
2019-12-26,123.95,3767
2019-12-27,120.0,6573
2019-12-30,119.95,4532
2019-12-31,120.45,6324
