Date,Close,Volume
2019-01-01,109.4,289955
2019-01-02,110.8,444140
2019-01-03,107.2,240016
2019-01-04,107.95,243259
2019-01-07,107.0,70252
2019-01-08,107.6,26012
2019-01-09,108.05,24297
2019-01-10,107.55,25554
2019-01-11,107.9,522735
2019-01-14,106.7,222888
2019-01-15,108.25,111894
2019-01-16,109.85,133529
2019-01-17,110.3,36016
2019-01-18,113.8,431825
2019-01-21,118.4,177445
2019-01-22,114.35,172716
2019-01-23,116.7,292846
2019-01-24,116.9,121553
2019-01-25,96.15,946512
2019-01-28,108.3,1876479
2019-01-29,108.0,2035824
2019-01-30,108.1,708917
2019-01-31,108.75,164736
2019-02-01,108.2,144406
2019-02-04,105.0,123661
2019-02-05,108.1,318519
2019-02-06,111.6,125184
2019-02-07,112.15,93568
2019-02-08,108.85,72982
2019-02-11,107.05,95999
2019-02-12,108.35,140011
2019-02-13,106.05,58043
2019-02-14,108.4,36534
2019-02-15,105.6,66770
2019-02-18,110.3,230763
2019-02-19,110.35,52622
2019-02-20,109.95,311995
2019-02-21,110.1,43878
2019-02-22,106.65,363088
2019-02-25,109.25,75998
2019-02-26,111.25,98930
2019-02-27,109.6,66417
2019-02-28,112.35,21731
2019-03-01,113.8,67055
2019-03-05,113.45,65593
2019-03-06,113.55,51122
2019-03-07,113.3,30468
2019-03-08,113.0,25548
2019-03-11,111.6,39591
2019-03-12,111.4,27839
2019-03-13,109.25,28388
2019-03-14,117.3,379818
2019-03-15,119.1,261672
2019-03-18,117.6,56134
2019-03-19,117.8,37051
2019-03-20,117.2,84765
2019-03-22,116.25,56603
2019-03-25,114.25,111648
2019-03-26,114.55,21877
2019-03-27,115.05,43093
2019-03-28,114.05,55716
2019-03-29,116.65,43597
2019-04-01,117.85,169238
2019-04-02,122.5,239676
2019-04-03,113.3,410614
2019-04-04,114.6,276567
2019-04-05,119.45,116180
2019-04-08,118.0,104191
2019-04-09,118.2,98903
2019-04-10,116.8,112175
2019-04-11,122.85,187389
2019-04-12,128.65,1041091
2019-04-15,130.95,624694
2019-04-16,131.55,334860
2019-04-18,131.7,171439
2019-04-22,132.55,279956
2019-04-23,133.65,1156749
2019-04-24,134.15,555447
2019-04-25,134.95,388223
2019-04-26,137.8,729340
2019-04-30,136.45,175180
2019-05-02,135.35,354263
2019-05-03,134.3,161673
2019-05-06,133.3,183185
2019-05-07,133.5,131700
2019-05-08,133.0,331637
2019-05-09,133.0,252695
2019-05-10,132.85,408585
2019-05-13,132.9,268145
2019-05-14,132.7,161813
2019-05-15,131.6,823615
2019-05-16,132.95,203928
2019-05-17,133.0,286771
2019-05-20,133.8,276274
2019-05-21,132.55,1638220
2019-05-22,132.55,1319568
2019-05-23,132.0,678579
2019-05-24,131.8,1337582
2019-05-27,131.3,298245
2019-05-28,130.85,1259601
2019-05-29,129.5,491263
2019-05-30,130.0,240996
2019-05-31,130.0,240732
2019-06-03,129.85,281134
2019-06-04,130.25,287971
2019-06-06,129.7,245405
2019-06-07,130.05,274528
2019-06-10,130.05,450302
2019-06-11,129.4,134577
2019-06-12,130.95,428949
2019-06-13,129.4,114286
2019-06-14,129.65,85436
2019-06-17,129.8,48876
2019-06-18,129.9,50185
2019-06-19,129.3,121777
2019-06-20,129.45,49852
2019-06-21,130.2,101404
2019-06-24,129.6,50264
2019-06-25,129.4,92135
2019-06-26,129.4,40060
2019-06-27,129.55,69729
2019-06-28,130.3,56049
2019-07-01,130.05,111545
2019-07-02,130.05,23305
2019-07-03,130.0,33449
2019-07-04,130.8,40026
2019-07-05,130.65,74064
2019-07-08,130.7,71023
2019-07-09,130.45,85641
2019-07-10,130.0,104173
2019-07-11,130.45,98090
2019-07-12,130.35,944215
2019-07-15,130.1,411048
2019-07-16,130.1,186795
2019-07-17,130.0,251282
2019-07-18,129.95,149043
2019-07-19,130.0,220644
2019-07-22,132.2,257278
2019-07-23,132.65,290387
2019-07-24,132.5,236952
2019-07-25,132.55,1507045
2019-07-26,132.95,388241
2019-07-29,133.2,119788
2019-07-30,133.1,584479
2019-07-31,132.9,505955
2019-08-01,132.8,411257
2019-08-02,133.0,264578
2019-08-05,127.1,704999
2019-08-06,130.1,3494776
2019-08-07,130.3,184966
2019-08-08,126.25,48658
2019-08-09,119.75,129354
2019-08-13,113.55,52182
2019-08-14,104.35,118656
2019-08-16,99.75,402057
2019-08-19,94.85,229350
2019-08-20,87.9,404218
2019-08-21,83.75,671136
