Date,Close,Volume
2019-01-01,45.9,680837
2019-01-02,45.35,676148
2019-01-03,44.75,702088
2019-01-04,44.4,1149134
2019-01-07,44.25,860611
2019-01-08,44.25,667846
2019-01-09,43.25,997973
2019-01-10,42.9,1270425
2019-01-11,44.0,1932351
2019-01-14,43.55,1381486
2019-01-15,43.45,1691200
2019-01-16,43.45,1076783
2019-01-17,42.8,617360
2019-01-18,42.0,1728601
2019-01-21,41.9,1250497
2019-01-22,41.2,735710
2019-01-23,40.5,1018950
2019-01-24,40.05,745512
2019-01-25,39.6,1232268
2019-01-28,39.8,1579631
2019-01-29,39.25,1061786
2019-01-30,40.0,1694457
2019-01-31,41.55,1522657
2019-02-01,43.55,2524217
2019-02-04,46.25,4243358
2019-02-05,43.85,2122956
2019-02-06,42.6,1705850
2019-02-07,42.85,1556868
2019-02-08,42.15,933241
2019-02-11,43.25,1304985
2019-02-12,42.75,1811485
2019-02-13,42.8,1107472
2019-02-14,43.25,1645314
2019-02-15,42.75,2253610
2019-02-18,43.85,3285954
2019-02-19,44.35,3849535
2019-02-20,45.3,3047205
2019-02-21,46.2,2710181
2019-02-22,46.1,1035009
2019-02-25,45.0,889678
2019-02-26,45.95,2394245
2019-02-27,45.7,2089900
2019-02-28,46.4,2423013
2019-03-01,47.45,1975859
2019-03-05,48.25,2956520
2019-03-06,49.55,3193671
2019-03-07,50.1,3573806
2019-03-08,50.7,3616692
2019-03-11,51.2,1486787
2019-03-12,49.6,2135169
2019-03-13,46.1,3916783
2019-03-14,46.05,2308258
2019-03-15,44.8,12468223
2019-03-18,44.3,1871335
2019-03-19,46.05,2818865
2019-03-20,45.25,1493212
2019-03-22,45.0,1108364
2019-03-25,44.3,1106473
2019-03-26,44.85,1186079
2019-03-27,44.85,2240964
2019-03-28,44.9,854237
2019-03-29,44.85,824737
2019-04-01,45.05,1334468
2019-04-02,44.6,950558
2019-04-03,44.25,956321
2019-04-04,44.1,1058749
2019-04-05,44.5,700815
2019-04-08,45.0,2249260
2019-04-09,44.1,1123341
2019-04-10,43.25,1761041
2019-04-11,43.1,939981
2019-04-12,44.4,3374723
2019-04-15,45.15,1501636
2019-04-16,44.85,887215
2019-04-18,44.1,787061
2019-04-22,42.8,804697
2019-04-23,43.05,911779
2019-04-24,43.4,544919
2019-04-25,43.75,878733
2019-04-26,43.4,819862
2019-04-30,42.75,886463
2019-05-02,42.65,653915
2019-05-03,42.6,564227
2019-05-06,41.95,403319
2019-05-07,41.5,804156
2019-05-08,40.8,546259
2019-05-09,40.45,656422
2019-05-10,40.15,520424
2019-05-13,38.7,979849
2019-05-14,39.3,925637
2019-05-15,38.8,762738
2019-05-16,39.1,527340
2019-05-17,38.75,602710
2019-05-20,40.7,1041894
2019-05-21,40.25,650941
2019-05-22,42.0,1575169
2019-05-23,40.85,1911069
2019-05-24,42.5,1333015
2019-05-27,44.55,2697173
2019-05-28,47.2,5096584
2019-05-29,45.45,1105894
2019-05-30,44.45,694366
2019-05-31,42.85,987259
2019-06-03,42.7,1020758
2019-06-04,42.75,705284
2019-06-06,41.9,978839
2019-06-07,41.45,821889
2019-06-10,41.75,998821
2019-06-11,42.45,931019
2019-06-12,40.95,772378
2019-06-13,40.15,788255
2019-06-14,40.4,578887
2019-06-17,39.0,902801
2019-06-18,38.85,794560
2019-06-19,37.9,1143533
2019-06-20,38.7,1312764
2019-06-21,39.35,862946
2019-06-24,39.4,669690
2019-06-25,39.15,1250191
2019-06-26,40.45,1162683
2019-06-27,40.55,794097
2019-06-28,40.95,919742
2019-07-01,41.0,571414
2019-07-02,40.9,387060
2019-07-03,41.05,612966
2019-07-04,41.5,977235
2019-07-05,41.25,699094
2019-07-08,39.95,913184
2019-07-09,40.35,600084
2019-07-10,39.8,496651
2019-07-11,39.75,369528
2019-07-12,39.4,610766
2019-07-15,37.75,1648972
2019-07-16,36.8,1482091
2019-07-17,36.9,942638
2019-07-18,36.1,644941
2019-07-19,35.7,1109952
2019-07-22,34.9,964223
2019-07-23,34.4,682925
2019-07-24,33.05,1083877
2019-07-25,29.15,4863577
2019-07-26,30.15,3130745
2019-07-29,29.6,1257918
2019-07-30,28.05,1599149
2019-07-31,28.15,1744688
2019-08-01,28.25,881419
2019-08-02,27.75,941419
2019-08-05,25.35,1440662
2019-08-06,27.1,1158588
2019-08-07,28.1,1659186
2019-08-08,28.15,495448
2019-08-09,31.85,2125022
2019-08-13,32.95,2172931
2019-08-14,33.65,1280602
2019-08-16,33.1,416507
2019-08-19,32.35,391847
2019-08-20,31.45,569022
2019-08-21,30.8,1022920
2019-08-22,29.95,977899
2019-08-23,29.0,2061608
2019-08-26,28.1,1519901
2019-08-27,28.25,697041
2019-08-28,28.85,874156
2019-08-29,27.5,1177438
2019-08-30,27.85,1119151
2019-09-03,26.9,773166
2019-09-04,26.45,433501
2019-09-05,26.65,419603
2019-09-06,26.3,755381
2019-09-09,27.0,634850
2019-09-11,29.0,1918775
2019-09-12,29.6,980808
2019-09-13,29.35,553551
2019-09-16,30.55,1495210
2019-09-17,29.15,1002971
2019-09-18,28.7,3637654
2019-09-19,27.55,506807
2019-09-20,29.0,1827517
2019-09-23,30.75,2129995
2019-09-24,30.45,2188143
2019-09-25,29.4,640949
2019-09-26,29.15,771051
2019-09-27,28.15,858006
2019-09-30,26.9,714785
2019-10-01,25.8,854977
2019-10-03,25.45,1929381
2019-10-04,25.1,827875
2019-10-07,24.15,1116272
2019-10-09,23.25,1490282
2019-10-10,23.9,994628
2019-10-11,24.15,670258
2019-10-14,23.75,670613
2019-10-15,24.65,864153
2019-10-16,24.5,601945
2019-10-17,23.8,1379418
2019-10-18,24.5,814618
2019-10-22,24.2,727485
2019-10-23,23.95,885649
2019-10-24,23.45,516719
2019-10-25,22.85,1548922
2019-10-27,23.7,417443
2019-10-29,24.75,1132835
2019-10-30,24.5,1011742
2019-10-31,26.55,2003544
2019-11-01,27.5,1572453
2019-11-04,26.55,1195785
2019-11-05,26.65,1663977
2019-11-06,26.2,625462
2019-11-07,25.65,711368
2019-11-08,25.2,771339
2019-11-11,25.2,552086
2019-11-13,24.05,1028025
2019-11-14,23.55,1375467
2019-11-15,23.15,1976608
2019-11-18,22.9,635611
2019-11-19,23.0,755536
2019-11-20,23.0,652856
2019-11-21,22.75,1133996
2019-11-22,22.45,690566
2019-11-25,23.1,935851
2019-11-26,25.65,3358234
2019-11-27,26.7,2930525
2019-11-28,25.3,1700188
2019-11-29,27.65,5687294
2019-12-02,26.8,1282914
2019-12-03,26.55,1230494
2019-12-04,26.75,1000438
2019-12-05,25.65,822364
2019-12-06,24.9,985114
2019-12-09,24.5,505268
2019-12-10,24.1,741046
2019-12-11,23.85,1005912
2019-12-12,24.0,373467
2019-12-13,23.9,578022
2019-12-16,24.05,1028760
2019-12-17,24.05,664153
2019-12-18,23.8,358002
2019-12-19,23.55,339860
2019-12-20,22.6,2778593
2019-12-23,23.15,917292
2019-12-24,23.25,945680
2019-12-26,23.0,576597
2019-12-27,23.35,1406899
2019-12-30,22.95,1132039
2019-12-31,22.45,1627950
