Date,Close,Volume
2019-01-01,261.55,54804
2019-01-02,258.5,54526
2019-01-03,254.8,36873
2019-01-04,257.75,29329
2019-01-07,255.0,27785
2019-01-08,265.75,181831
2019-01-09,265.15,91059
2019-01-10,265.35,121787
2019-01-11,264.95,29809
2019-01-14,265.15,38901
2019-01-15,265.75,24123
2019-01-16,264.85,24587
2019-01-17,264.5,1107630
2019-01-18,262.9,148290
2019-01-21,256.4,21455
2019-01-22,250.45,55977
2019-01-23,246.7,34832
2019-01-24,235.5,60647
2019-01-25,232.45,44081
2019-01-28,229.0,33920
2019-01-29,226.9,26816
2019-01-30,235.7,73056
2019-01-31,238.8,172324
2019-02-01,245.25,80539
2019-02-04,228.15,281705
2019-02-05,220.8,157528
2019-02-06,218.55,45027
2019-02-07,226.3,154592
2019-02-08,222.0,35355
2019-02-11,216.2,37735
2019-02-12,218.4,51983
2019-02-13,226.85,100110
2019-02-14,233.6,111300
2019-02-15,229.35,44350
2019-02-18,230.1,59565
2019-02-19,229.65,82495
2019-02-20,230.6,100286
2019-02-21,237.15,105187
2019-02-22,240.7,79429
2019-02-25,243.15,80098
2019-02-26,238.2,63473
2019-02-27,234.9,52038
2019-02-28,234.15,17238
2019-03-01,241.95,54228
2019-03-05,249.15,134005
2019-03-06,252.6,91282
2019-03-07,249.65,47327
2019-03-08,248.8,18881
2019-03-11,251.5,79550
2019-03-12,267.2,661050
2019-03-13,264.35,123028
2019-03-14,262.75,68750
2019-03-15,256.85,56864
2019-03-18,254.0,43653
2019-03-19,256.55,68410
2019-03-20,251.65,70012
2019-03-22,255.65,58070
2019-03-25,247.85,45943
2019-03-26,252.85,44384
2019-03-27,273.5,514793
2019-03-28,272.45,154318
2019-03-29,269.65,145950
2019-04-01,274.0,165432
2019-04-02,272.2,51134
2019-04-03,272.7,135244
2019-04-04,262.6,131504
2019-04-05,266.95,77610
2019-04-08,265.7,62182
2019-04-09,263.7,27753
2019-04-10,263.8,42412
2019-04-11,261.1,101876
2019-04-12,263.75,64827
2019-04-15,262.85,27620
2019-04-16,259.9,49027
2019-04-18,257.4,48656
2019-04-22,253.75,44277
2019-04-23,255.5,27097
2019-04-24,254.6,28745
2019-04-25,258.25,67089
2019-04-26,260.55,80329
2019-04-30,258.15,121060
2019-05-02,259.6,29244
2019-05-03,258.35,26167
2019-05-06,259.7,39617
2019-05-07,255.4,37382
2019-05-08,242.45,53210
2019-05-09,241.05,24579
2019-05-10,237.9,27141
2019-05-13,235.2,21816
2019-05-14,236.7,34787
2019-05-15,240.15,34953
2019-05-16,238.65,18042
2019-05-17,245.5,54177
2019-05-20,255.45,63019
2019-05-21,256.55,60902
2019-05-22,258.75,44410
2019-05-23,261.15,51538
2019-05-24,264.25,47191
2019-05-27,264.5,66058
2019-05-28,265.6,26162
2019-05-29,270.55,101100
2019-05-30,268.8,46406
2019-05-31,261.0,38270
2019-06-03,265.85,32949
2019-06-04,262.4,16614
2019-06-06,253.85,37131
2019-06-07,252.8,21592
2019-06-10,245.9,22280
2019-06-11,246.35,18322
2019-06-12,247.85,37270
2019-06-13,247.4,32200
2019-06-14,244.65,13654
2019-06-17,242.3,26515
2019-06-18,244.05,55077
2019-06-19,241.7,63291
2019-06-20,245.05,41922
2019-06-21,245.2,15734
2019-06-24,242.65,20067
2019-06-25,242.25,27844
2019-06-26,244.85,21241
2019-06-27,247.35,32094
2019-06-28,247.1,22246
2019-07-01,250.5,31704
2019-07-02,252.55,28614
2019-07-03,255.8,27462
2019-07-04,255.2,22889
2019-07-05,259.45,739997
2019-07-08,254.5,70420
2019-07-09,257.95,64299
2019-07-10,259.2,73558
2019-07-11,258.5,19517
2019-07-12,261.2,34206
2019-07-15,256.9,25689
2019-07-16,260.8,50899
2019-07-17,255.8,28612
2019-07-18,248.85,48212
2019-07-19,245.0,28027
2019-07-22,242.1,66550
2019-07-23,245.0,21831
2019-07-24,242.4,37815
2019-07-25,241.0,71755
2019-07-26,244.3,27613
2019-07-29,240.85,27778
2019-07-30,242.7,141843
2019-07-31,242.95,172934
2019-08-01,240.05,51586
2019-08-02,240.55,131288
2019-08-05,240.6,71270
2019-08-06,240.3,25166
2019-08-07,241.0,26486
2019-08-08,239.8,17609
2019-08-09,242.6,25188
2019-08-13,240.0,33685
2019-08-14,214.1,243738
2019-08-16,195.8,205281
2019-08-19,187.7,145013
2019-08-20,187.7,54259
2019-08-21,172.2,110721
2019-08-22,161.85,133059
2019-08-23,165.8,103140
2019-08-26,175.85,104539
2019-08-27,181.15,82139
2019-08-28,180.6,33331
2019-08-29,175.6,41001
2019-08-30,171.55,39057
2019-09-03,166.7,36972
2019-09-04,169.2,38882
2019-09-05,170.05,31606
2019-09-06,169.75,34599
2019-09-09,174.0,33772
2019-09-11,187.05,541433
2019-09-12,183.3,87336
2019-09-13,178.5,56707
2019-09-16,180.75,53228
2019-09-17,175.05,36836
2019-09-18,175.5,23516
2019-09-19,167.4,44806
2019-09-20,164.4,284840
2019-09-23,162.7,173800
2019-09-24,162.6,92112
2019-09-25,152.9,142118
2019-09-26,154.1,129404
2019-09-27,149.75,131946
2019-09-30,142.8,64187
2019-10-01,133.2,153288
2019-10-03,138.8,179968
2019-10-04,137.3,58408
2019-10-07,134.5,40096
2019-10-09,137.25,55949
2019-10-10,135.25,33106
2019-10-11,133.85,45794
2019-10-14,133.05,34125
