Date,Close,Volume
2019-01-01,694.8,413338
2019-01-02,691.8,1228486
2019-01-03,681.4,914499
2019-01-04,678.55,1257221
2019-01-07,693.55,657814
2019-01-08,669.7,1686230
2019-01-09,681.75,877124
2019-01-10,688.05,985376
2019-01-11,688.05,526760
2019-01-14,688.55,515604
2019-01-15,681.1,1044052
2019-01-16,683.45,676883
2019-01-17,676.15,969498
2019-01-18,677.5,1299538
2019-01-21,677.7,813364
2019-01-22,711.85,5956684
2019-01-23,696.2,2677472
2019-01-24,702.6,1172488
2019-01-25,708.15,1994088
2019-01-28,698.7,1425427
2019-01-29,700.95,962384
2019-01-30,703.35,861622
2019-01-31,713.45,1699328
2019-02-01,737.15,1938051
2019-02-04,735.55,2228722
2019-02-05,730.8,892725
2019-02-06,737.5,1638747
2019-02-07,748.15,1593897
2019-02-08,743.3,1323737
2019-02-11,723.35,968286
2019-02-12,708.5,1247494
2019-02-13,703.45,1014353
2019-02-14,694.15,904847
2019-02-15,688.65,1123000
2019-02-18,686.6,1636609
2019-02-19,676.95,1187555
2019-02-20,695.15,1043449
2019-02-21,698.75,983594
2019-02-22,696.1,1011651
2019-02-25,702.8,699539
2019-02-26,694.3,985971
2019-02-27,693.2,1294927
2019-02-28,715.35,2100249
2019-03-01,707.55,1371695
2019-03-05,720.85,1216645
2019-03-06,713.7,1222862
2019-03-07,718.45,1070777
2019-03-08,727.85,1194157
2019-03-11,742.6,2084294
2019-03-12,765.45,2541763
2019-03-13,766.6,2013665
2019-03-14,747.2,1976430
2019-03-15,745.1,1682674
2019-03-18,748.3,882292
2019-03-19,765.1,979551
2019-03-20,757.3,809288
2019-03-22,758.05,806218
2019-03-25,738.95,946512
2019-03-26,757.8,963589
2019-03-27,749.3,687539
2019-03-28,760.55,1180707
2019-03-29,772.5,1446734
2019-04-01,775.65,1053695
2019-04-02,764.45,831461
2019-04-03,770.55,1148881
2019-04-04,766.95,727448
2019-04-05,759.8,1167646
2019-04-08,764.1,783699
2019-04-09,760.5,917598
2019-04-10,757.5,898792
2019-04-11,752.8,558868
2019-04-12,742.6,1726304
2019-04-15,751.85,785742
2019-04-16,758.15,1088041
2019-04-18,757.7,1341325
2019-04-22,761.45,784837
2019-04-23,761.5,648985
2019-04-24,774.05,1637003
2019-04-25,772.9,1084251
2019-04-26,766.8,334371
2019-04-30,774.65,827106
2019-05-02,771.0,1287836
2019-05-03,770.3,814205
2019-05-06,751.0,928783
2019-05-07,739.1,1054648
2019-05-08,734.15,1053351
2019-05-09,741.7,769103
2019-05-10,739.0,1193585
2019-05-13,732.25,504109
2019-05-14,723.5,1345068
2019-05-15,721.15,1162137
2019-05-16,725.2,1334637
2019-05-17,734.55,2154835
2019-05-20,755.55,1914254
2019-05-21,757.9,1326127
2019-05-22,755.55,1314488
2019-05-23,751.5,2408480
2019-05-24,743.55,1289373
2019-05-27,733.9,1366286
2019-05-28,723.75,2310127
2019-05-29,730.95,5535514
2019-05-30,720.4,3946788
2019-05-31,747.95,2684803
2019-06-03,769.95,1983755
2019-06-04,779.9,1967107
2019-06-06,781.25,1696697
2019-06-07,788.65,1545527
2019-06-10,792.05,1193650
2019-06-11,792.75,900879
2019-06-12,781.9,1322564
2019-06-13,783.5,762234
2019-06-14,777.75,833824
2019-06-17,771.05,709196
2019-06-18,774.45,769415
2019-06-19,784.0,871474
2019-06-20,785.75,776309
2019-06-21,786.15,1056822
2019-06-24,785.4,770379
2019-06-25,783.95,847570
2019-06-26,788.15,894834
2019-06-27,794.4,1279424
2019-06-28,786.15,2058566
2019-07-01,787.05,1283928
2019-07-02,791.0,649068
2019-07-03,790.45,644218
2019-07-04,783.8,924125
2019-07-05,765.55,1832108
2019-07-08,746.55,2175311
2019-07-09,738.85,1790858
2019-07-10,726.55,1930823
2019-07-11,719.1,3290480
2019-07-12,710.45,1494283
2019-07-15,719.15,894955
2019-07-16,736.2,1572980
2019-07-17,729.85,864861
2019-07-18,717.55,1120030
2019-07-19,717.05,1223141
2019-07-22,722.7,687666
2019-07-23,713.85,1130636
2019-07-24,695.8,1865065
2019-07-25,691.45,990859
2019-07-26,698.25,1731276
2019-07-29,665.35,5803699
2019-07-30,636.35,3626875
2019-07-31,645.3,1430832
2019-08-01,647.75,1742201
2019-08-02,646.1,1138191
2019-08-05,634.65,1746630
2019-08-06,646.85,1476032
2019-08-07,644.55,899989
2019-08-08,656.3,1157834
2019-08-09,656.95,1126655
2019-08-13,647.9,543712
2019-08-14,654.55,735271
2019-08-16,651.35,932235
2019-08-19,663.7,1048662
2019-08-20,677.2,3208690
2019-08-21,650.65,2521998
2019-08-22,657.2,1541113
2019-08-23,647.2,1669934
2019-08-26,652.75,1858199
2019-08-27,660.45,1768474
2019-08-28,666.2,999474
2019-08-29,664.55,1777130
2019-08-30,679.05,1109302
2019-09-03,652.6,890541
2019-09-04,636.0,1741506
2019-09-05,651.9,982353
2019-09-06,659.85,751108
2019-09-09,660.8,898804
2019-09-11,665.1,1408705
2019-09-12,669.3,747885
2019-09-13,673.1,1295505
2019-09-16,671.8,530491
2019-09-17,648.95,1119997
2019-09-18,650.0,910391
2019-09-19,645.05,1249922
2019-09-20,727.65,3990259
2019-09-23,731.6,1177558
2019-09-24,757.0,2202687
2019-09-25,730.4,1311185
2019-09-26,719.75,2030386
2019-09-27,713.8,1081624
2019-09-30,718.3,979643
2019-10-01,709.55,1603395
2019-10-03,702.0,965453
2019-10-04,679.2,854195
2019-10-07,662.75,1111458
2019-10-09,671.45,785908
2019-10-10,662.65,1133005
2019-10-11,660.7,884947
2019-10-14,653.9,1102177
2019-10-15,666.9,1402183
2019-10-16,671.65,742871
2019-10-17,685.8,1607024
2019-10-18,689.6,1104118
2019-10-22,678.2,976609
2019-10-23,673.15,4148758
2019-10-24,669.9,3271591
2019-10-25,664.8,931283
2019-10-27,667.75,140511
2019-10-29,668.2,1035190
2019-10-30,689.65,2432177
2019-10-31,691.85,1425499
2019-11-01,688.35,540561
2019-11-04,693.7,830617
2019-11-05,687.05,829450
2019-11-06,689.25,828409
2019-11-07,710.0,2760947
2019-11-08,707.5,1129079
2019-11-11,692.65,791314
2019-11-13,674.3,1229427
2019-11-14,672.2,975688
2019-11-15,672.85,549025
2019-11-18,667.35,874088
2019-11-19,665.75,717667
2019-11-20,671.65,1111197
2019-11-21,653.7,1467627
2019-11-22,638.55,1606769
2019-11-25,665.1,2178172
2019-11-26,670.7,2521989
2019-11-27,677.6,1306539
2019-11-28,673.6,1328679
2019-11-29,667.45,823893
2019-12-02,671.35,779145
2019-12-03,670.0,657306
2019-12-04,672.8,869810
2019-12-05,670.4,717262
2019-12-06,661.4,993467
2019-12-09,658.4,557229
2019-12-10,647.4,808226
