Date,Close,Volume
2019-01-01,156.4,86147
2019-01-02,156.45,139658
2019-01-03,151.2,430967
2019-01-04,151.4,103500
2019-01-07,151.0,72660
2019-01-08,153.7,98276
2019-01-09,153.15,82059
2019-01-10,156.1,127255
2019-01-11,157.7,110920
2019-01-14,162.35,242408
2019-01-15,161.85,176434
2019-01-16,160.7,228384
2019-01-17,159.35,149136
2019-01-18,157.15,73674
2019-01-21,156.05,90178
2019-01-22,152.95,185089
2019-01-23,153.25,56969
2019-01-24,151.15,73318
2019-01-25,149.65,96338
2019-01-28,146.6,124010
2019-01-29,148.05,71235
2019-01-30,148.55,57950
2019-01-31,153.2,126170
2019-02-01,151.25,108262
2019-02-04,150.6,75707
2019-02-05,144.1,194226
2019-02-06,145.1,84787
2019-02-07,145.0,48412
2019-02-08,146.9,120355
2019-02-11,144.0,118805
2019-02-12,146.65,111355
2019-02-13,150.2,133299
2019-02-14,151.5,73574
2019-02-15,148.5,354240
2019-02-18,144.0,76498
2019-02-19,144.55,38494
2019-02-20,146.85,50988
2019-02-21,148.15,48424
2019-02-22,146.25,105838
2019-02-25,152.1,157004
2019-02-26,154.05,202752
2019-02-27,156.25,195102
2019-02-28,161.55,213794
2019-03-01,165.3,332015
2019-03-05,168.45,271674
2019-03-06,166.4,168902
2019-03-07,166.75,279718
2019-03-08,169.95,574702
2019-03-11,170.05,254350
2019-03-12,169.5,262348
2019-03-13,166.7,184580
2019-03-14,163.9,122113
2019-03-15,168.45,319444
2019-03-18,165.6,108230
2019-03-19,165.45,121106
2019-03-20,167.05,156314
2019-03-22,165.1,90632
2019-03-25,163.25,130121
2019-03-26,163.65,144382
2019-03-27,170.8,321873
2019-03-28,172.2,273873
2019-03-29,173.65,166075
2019-04-01,181.75,928631
2019-04-02,182.65,348164
2019-04-03,179.1,299643
2019-04-04,179.1,197028
2019-04-05,182.45,173309
2019-04-08,180.5,130674
2019-04-09,176.85,210809
2019-04-10,172.6,456923
2019-04-11,171.4,291818
2019-04-12,175.35,382701
2019-04-15,183.75,670244
2019-04-16,182.85,272740
2019-04-18,177.65,235717
2019-04-22,172.8,138016
2019-04-23,173.7,112565
2019-04-24,175.9,83968
2019-04-25,179.95,283241
2019-04-26,180.95,194070
2019-04-30,176.8,128386
2019-05-02,175.5,111857
2019-05-03,174.2,79386
2019-05-06,170.05,88721
2019-05-07,167.95,99182
2019-05-08,169.25,125875
2019-05-09,170.0,121070
2019-05-10,175.55,309212
2019-05-13,171.8,1032951
2019-05-14,171.25,175436
2019-05-15,169.95,130868
2019-05-16,167.9,130477
2019-05-17,167.7,115887
2019-05-20,171.8,238910
2019-05-21,169.1,162173
2019-05-22,169.15,109917
2019-05-23,168.0,139980
2019-05-24,174.0,256478
2019-05-27,178.0,456365
2019-05-28,174.95,132761
2019-05-29,173.8,109019
2019-05-30,173.0,87714
2019-05-31,170.0,147178
2019-06-03,170.1,88925
2019-06-04,168.55,96884
2019-06-06,165.4,94830
2019-06-07,168.6,115836
2019-06-10,168.35,34516
2019-06-11,167.0,46030
2019-06-12,165.65,56943
2019-06-13,164.55,44825
2019-06-14,165.85,35803
2019-06-17,165.9,72319
2019-06-18,166.1,42417
2019-06-19,163.45,72731
2019-06-20,168.7,80785
2019-06-21,169.1,72505
2019-06-24,163.8,97188
2019-06-25,165.0,67372
2019-06-26,167.05,72547
2019-06-27,166.3,47996
2019-06-28,168.6,104857
2019-07-01,169.55,51742
2019-07-02,173.75,115102
2019-07-03,176.8,200734
2019-07-04,174.4,70797
2019-07-05,169.35,86143
2019-07-08,164.55,107023
2019-07-09,164.8,104010
2019-07-10,164.3,38486
2019-07-11,163.35,50933
2019-07-12,164.5,51256
2019-07-15,165.2,68504
