Date,Close,Volume
2019-01-01,282.7,2490548
2019-01-02,280.6,9934187
2019-01-03,278.85,6114946
2019-01-04,280.95,7805148
2019-01-07,281.65,9757529
2019-01-08,284.25,7480522
2019-01-09,290.4,12182118
2019-01-10,289.6,10288580
2019-01-11,295.35,16773035
2019-01-14,294.3,6400147
2019-01-15,296.55,7213165
2019-01-16,294.05,7784035
2019-01-17,293.95,10601100
2019-01-18,291.45,10994807
2019-01-21,289.9,8203333
2019-01-22,289.75,10329563
2019-01-23,277.3,40188183
2019-01-24,278.9,28026449
2019-01-25,279.2,8897906
2019-01-28,274.75,8992136
2019-01-29,278.45,6998389
2019-01-30,275.5,10449713
2019-01-31,278.65,15346406
2019-02-01,280.85,18353829
2019-02-04,277.1,6056619
2019-02-05,274.15,9827060
2019-02-06,277.7,8097580
2019-02-07,280.3,5947966
2019-02-08,275.5,4405887
2019-02-11,277.1,9952322
2019-02-12,275.3,7341352
2019-02-13,276.85,15344186
2019-02-14,277.9,9993785
2019-02-15,280.1,37552143
2019-02-18,274.7,40666405
2019-02-19,275.9,34451117
2019-02-20,275.85,5977880
2019-02-21,275.05,6995026
2019-02-22,274.3,8763445
2019-02-25,276.7,30047503
2019-02-26,275.5,11779606
2019-02-27,275.1,13128412
2019-02-28,276.05,43208896
2019-03-01,278.2,8830848
2019-03-05,282.55,13580306
2019-03-06,285.75,20045621
2019-03-07,290.1,14287507
2019-03-08,292.0,12681454
2019-03-11,292.95,14720968
2019-03-12,294.5,14142103
2019-03-13,294.9,11070294
2019-03-14,295.5,10113962
2019-03-15,290.8,21395473
2019-03-18,293.75,9166882
2019-03-19,299.45,15756420
2019-03-20,298.9,15619922
2019-03-22,298.2,8067384
2019-03-25,295.05,8015871
2019-03-26,293.4,10763629
2019-03-27,293.1,8432517
2019-03-28,300.0,17752380
2019-03-29,297.25,11913335
2019-04-01,297.25,6203276
2019-04-02,297.9,9849417
2019-04-03,296.15,9064767
2019-04-04,294.8,6965053
2019-04-05,294.55,7806991
2019-04-08,292.75,5288853
2019-04-09,296.3,6175672
2019-04-10,294.7,5334642
2019-04-11,296.4,10764968
2019-04-12,305.75,21818291
2019-04-15,305.5,12612414
2019-04-16,307.2,9746168
2019-04-18,304.4,8838122
2019-04-22,301.8,6672456
2019-04-23,303.4,7496038
2019-04-24,306.45,11447878
2019-04-25,304.15,23240675
2019-04-26,304.55,4654775
2019-04-30,301.35,11163210
2019-05-02,305.0,7493271
2019-05-03,304.25,5885895
2019-05-06,307.0,6737627
2019-05-07,301.9,8655871
2019-05-08,300.65,7876031
2019-05-09,299.85,10223616
2019-05-10,297.75,6904657
2019-05-13,289.3,35880558
2019-05-14,294.35,21145245
2019-05-15,297.05,17894032
2019-05-16,294.75,7354375
2019-05-17,301.4,11194900
2019-05-20,307.0,11013451
2019-05-21,305.9,10518883
2019-05-22,299.75,13737694
2019-05-23,288.2,31380501
2019-05-24,290.45,10879657
2019-05-27,290.85,9024193
2019-05-28,288.9,15598601
2019-05-29,288.1,7255516
2019-05-30,288.65,8656311
2019-05-31,278.55,26281811
2019-06-03,278.55,19569620
2019-06-04,279.25,13850737
2019-06-06,275.75,10660963
2019-06-07,275.25,7699206
2019-06-10,279.4,8615348
2019-06-11,279.85,8461371
2019-06-12,279.95,8247867
2019-06-13,280.6,7198584
2019-06-14,278.05,7908039
2019-06-17,275.0,10013278
2019-06-18,275.1,13845733
2019-06-19,277.2,9046515
2019-06-20,277.0,10566110
2019-06-21,274.25,18595809
2019-06-24,276.25,8935066
2019-06-25,278.5,12379897
2019-06-26,277.4,7421269
2019-06-27,273.5,23308215
2019-06-28,273.85,8449727
2019-07-01,274.95,5042447
2019-07-02,273.85,9976439
2019-07-03,276.7,18120809
2019-07-04,277.65,9697597
2019-07-05,279.45,37047327
2019-07-08,277.45,12169249
2019-07-09,273.1,7706490
2019-07-10,273.15,8162744
2019-07-11,275.65,8403695
2019-07-12,275.05,10468936
2019-07-15,270.95,8536705
2019-07-16,271.95,6357525
2019-07-17,272.9,6294203
2019-07-18,273.0,9096757
2019-07-19,268.3,7986847
2019-07-22,264.4,13516960
2019-07-23,270.65,14396986
2019-07-24,270.85,12072603
2019-07-25,267.85,17669912
2019-07-26,270.4,4788040
2019-07-29,267.75,5525308
2019-07-30,268.9,13233351
2019-07-31,270.2,13649764
2019-08-01,267.55,5925611
2019-08-02,264.5,8890911
2019-08-05,259.8,11556743
2019-08-06,258.9,9408544
2019-08-07,253.65,8489812
2019-08-08,257.75,6370866
2019-08-09,254.2,9927337
2019-08-13,246.3,20992894
2019-08-14,248.75,13809031
2019-08-16,253.0,10337358
2019-08-19,251.55,12524627
2019-08-20,246.5,15000271
2019-08-21,241.45,14736226
2019-08-22,240.05,10513066
2019-08-23,236.1,16440329
2019-08-26,242.5,12857092
2019-08-27,245.5,14529777
2019-08-28,245.95,8894489
2019-08-29,241.2,11105245
2019-08-30,245.65,11772247
2019-09-03,241.55,9546229
2019-09-04,243.25,7032392
2019-09-05,244.25,8451611
2019-09-06,243.9,8704669
2019-09-09,245.5,9085228
2019-09-11,243.75,8968683
2019-09-12,240.75,8083759
2019-09-13,239.9,14031943
2019-09-16,239.4,7084644
2019-09-17,237.2,10672279
2019-09-18,239.25,19956339
2019-09-19,236.7,8483309
2019-09-20,238.05,63568127
2019-09-23,254.85,52040316
2019-09-24,256.0,17167257
2019-09-25,247.55,20597095
2019-09-26,250.4,17847616
2019-09-27,252.95,17535666
2019-09-30,259.85,20588289
2019-10-01,255.9,15440899
2019-10-03,261.65,12356337
2019-10-04,257.25,18085064
2019-10-07,251.9,21263568
2019-10-09,247.1,21503869
2019-10-10,243.2,24294966
2019-10-11,243.95,25072193
2019-10-14,244.1,14713799
2019-10-15,247.6,9989191
2019-10-16,243.65,16063295
2019-10-17,245.85,13649598
2019-10-18,246.5,12833554
2019-10-22,248.9,18275636
2019-10-23,251.05,12831461
2019-10-24,249.05,16791340
2019-10-25,247.7,32591192
2019-10-27,250.4,3132126
2019-10-29,253.25,11937562
2019-10-30,259.4,34291157
2019-10-31,257.65,16654994
2019-11-01,261.3,12571588
2019-11-04,260.75,7895272
2019-11-05,262.9,10278362
2019-11-06,261.35,8857419
2019-11-07,265.85,14782434
2019-11-08,260.5,11899353
2019-11-11,259.45,7245151
2019-11-13,253.85,10269356
2019-11-14,253.9,8880734
2019-11-15,250.65,16741465
2019-11-18,250.75,7864919
2019-11-19,249.3,12152981
2019-11-20,250.7,9978073
2019-11-21,245.7,10393219
2019-11-22,247.65,16370384
2019-11-25,247.75,10586688
2019-11-26,249.15,19778030
2019-11-27,246.95,8841620
2019-11-28,246.7,10992718
2019-11-29,246.4,9807979
2019-12-02,244.95,9972664
2019-12-03,244.05,8129241
2019-12-04,243.15,11946661
2019-12-05,246.95,11265857
2019-12-06,243.35,10374270
2019-12-09,241.45,6722758
2019-12-10,235.6,15380232
2019-12-11,237.6,13799825
2019-12-12,238.55,10307052
2019-12-13,241.6,8205457
2019-12-16,236.9,12014269
2019-12-17,241.05,15921196
2019-12-18,245.15,17134732
2019-12-19,244.35,9339714
2019-12-20,241.15,13958336
2019-12-23,238.9,19082124
2019-12-24,238.75,7896150
2019-12-26,236.8,14460325
2019-12-27,236.9,8712539
2019-12-30,238.2,13173134
2019-12-31,237.7,7142051
