Date,Close,Volume
2019-01-01,5.45,12135
2019-01-02,4.9,20418
2019-01-03,4.95,2710
2019-01-04,5.1,5352
2019-01-07,5.05,1600
2019-01-08,4.9,4304
2019-01-09,4.95,2987
2019-01-10,5.0,290
2019-01-11,5.0,2567
2019-01-14,5.2,13464
2019-01-15,4.9,4418
2019-01-16,5.1,771
2019-01-17,4.85,1686
2019-01-18,4.85,60
2019-01-21,4.85,2737
2019-01-22,4.8,322
2019-01-23,4.8,1151
2019-01-24,4.9,104
2019-01-25,4.75,169
2019-01-28,4.65,3057
2019-01-29,4.5,617
2019-01-30,4.75,25
2019-01-31,4.55,331
2019-02-01,4.75,3322
2019-02-04,4.7,160
2019-02-05,4.6,330
2019-02-06,4.6,1312
2019-02-07,4.7,1828
2019-02-08,4.8,834
2019-02-11,4.5,3113
2019-02-12,4.2,2108
2019-02-13,4.3,943
2019-02-14,4.6,1210
2019-02-15,4.55,611
2019-02-18,4.55,300
2019-02-19,4.2,3017
2019-02-20,4.55,967
2019-02-21,4.5,806
2019-02-22,4.65,626
2019-02-25,4.15,2400
2019-02-26,4.85,13816
2019-02-27,4.55,11981
2019-02-28,4.7,1350
2019-03-01,4.6,1229
2019-03-05,4.65,1274
2019-03-06,4.75,1464
2019-03-07,4.75,2116
2019-03-08,5.4,22628
2019-03-11,6.45,52460
2019-03-12,7.4,164450
2019-03-13,6.85,46026
2019-03-14,6.6,11854
2019-03-15,6.35,16881
2019-03-18,6.15,11353
2019-03-19,5.55,42869
2019-03-20,5.45,3139
2019-03-22,5.5,18362
2019-03-25,5.3,7762
2019-03-26,5.55,14154
2019-03-27,5.5,4810
2019-03-28,5.55,5079
2019-03-29,5.45,425
2019-04-01,5.45,2895
2019-04-02,5.25,2624
2019-04-03,5.0,2875
2019-04-04,5.0,5078
2019-04-05,5.25,1124
2019-04-08,5.4,527
2019-04-09,5.3,3251
2019-04-10,5.25,5812
2019-04-11,5.1,549
2019-04-12,5.0,2638
2019-04-15,5.2,119
2019-04-16,5.0,9428
2019-04-18,5.0,848
2019-04-22,4.95,3230
2019-04-23,5.1,1934
2019-04-24,5.15,7750
2019-04-25,5.15,3200
2019-04-26,5.0,6594
2019-04-30,4.75,4465
2019-05-02,4.75,6255
2019-05-03,4.8,1982
2019-05-06,4.65,1610
2019-05-07,4.45,4799
2019-05-08,4.65,379
2019-05-09,4.7,3471
2019-05-10,4.85,3175
2019-05-13,4.65,665
2019-05-14,4.75,710
2019-05-15,4.7,2078
2019-05-16,4.7,2960
2019-05-17,4.8,4384
2019-05-20,4.85,360
2019-05-21,4.7,270
2019-05-22,4.75,1370
2019-05-23,4.85,4997
2019-05-24,4.75,1283
2019-05-27,4.75,51
2019-05-28,4.95,250
2019-05-29,5.1,2593
2019-05-30,4.9,200
2019-05-31,4.9,3517
2019-06-03,4.7,2140
2019-06-04,4.7,447
2019-06-06,4.7,4945
2019-06-07,4.5,920
2019-06-10,4.1,3395
2019-06-11,4.4,2273
2019-06-12,4.4,1171
2019-06-13,4.15,613
2019-06-14,4.45,1120
2019-06-17,4.1,594
2019-06-18,4.45,850
2019-06-19,4.45,3037
2019-06-20,4.7,25
2019-06-21,4.5,15930
2019-06-24,4.1,525
2019-06-25,3.9,699
2019-06-26,3.6,5514
2019-06-27,3.9,982
2019-06-28,3.75,1048
2019-07-01,3.75,1101
2019-07-02,3.65,1080
2019-07-03,3.8,2129
2019-07-04,3.95,2750
2019-07-05,4.0,10
2019-07-08,4.1,555
2019-07-09,4.15,560
2019-07-10,4.15,1500
2019-07-11,4.05,50
2019-07-12,4.0,146
2019-07-15,4.0,110
2019-07-16,3.95,1033
2019-07-17,4.0,363
2019-07-18,3.95,360
2019-07-19,3.9,3510
2019-07-22,3.95,2777
2019-07-24,3.8,325
2019-07-25,3.8,1374
2019-07-26,3.65,218
2019-07-29,3.65,391
2019-07-30,3.6,200
2019-07-31,3.6,1571
2019-08-01,3.6,255
2019-08-02,3.75,1643
2019-08-05,3.85,200
2019-08-06,3.7,411
2019-08-07,3.7,2346
2019-08-08,4.0,114
2019-08-09,4.0,2855
2019-08-13,4.1,2089
2019-08-14,3.75,3976
2019-08-16,3.55,7747
2019-08-19,3.7,3394
2019-08-20,3.45,512
2019-08-21,3.7,1106
2019-08-22,3.35,357
2019-08-23,3.6,276
2019-08-26,3.45,364
2019-08-27,3.5,1050
2019-08-28,3.5,10306
2019-08-29,3.6,983
2019-08-30,3.5,1290
2019-09-03,3.45,361
2019-09-04,3.15,958
2019-09-05,3.25,1290
2019-09-06,3.15,204
2019-09-09,3.45,2657
2019-09-11,3.6,3000
2019-09-12,3.35,2982
2019-09-13,3.2,1453
2019-09-16,3.45,2177
2019-09-17,3.45,2177
2019-09-18,3.55,240
2019-09-19,3.45,2767
2019-09-20,3.45,360
2019-09-23,3.45,195
2019-09-24,3.5,647
2019-09-25,3.35,210
2019-09-26,3.2,500
2019-09-27,3.25,5946
2019-09-30,2.95,3040
2019-10-01,2.85,6158
2019-10-03,3.0,1187
2019-10-04,3.2,7367
2019-10-07,3.3,92
2019-10-09,3.0,1175
2019-10-10,3.0,1055
2019-10-11,2.75,1467
2019-10-14,2.95,1555
2019-10-15,2.9,760
2019-10-16,2.7,5230
2019-10-17,2.7,4366
2019-10-18,2.75,407
2019-10-22,2.9,1195
2019-10-23,2.95,6509
2019-10-24,2.9,290
2019-10-25,2.65,3751
2019-10-29,2.6,380
2019-10-30,2.65,712
2019-10-31,2.85,2561
2019-11-01,2.9,5371
2019-11-04,2.8,601
2019-11-05,3.05,2290
2019-11-06,2.75,2571
2019-11-07,2.95,1505
2019-11-08,2.75,7001
2019-11-11,2.65,2442
2019-11-13,2.65,5
2019-11-14,2.9,4286
2019-11-15,2.95,9743
2019-11-18,3.15,800
2019-11-19,3.0,4830
2019-11-20,3.1,1789
2019-11-21,2.9,4651
2019-11-22,3.05,3385
2019-11-25,2.95,2206
2019-11-26,3.05,1288
2019-11-27,2.8,1876
2019-11-28,3.05,7676
2019-11-29,3.1,1378
2019-12-02,2.85,1368
2019-12-03,2.8,918
2019-12-04,3.05,5078
2019-12-05,3.1,5776
2019-12-06,3.2,18084
2019-12-09,3.25,19526
2019-12-10,3.2,25136
2019-12-11,3.15,2772
2019-12-12,3.1,30326
2019-12-13,3.2,587
2019-12-16,3.3,13034
2019-12-17,3.6,40522
2019-12-18,3.35,4436
2019-12-19,3.4,2698
2019-12-20,3.25,9600
2019-12-23,3.4,3085
2019-12-24,3.4,21299
2019-12-26,3.4,23236
2019-12-27,3.75,35476
2019-12-30,4.1,30929
2019-12-31,4.8,60140
