Date,Close,Volume
2019-01-01,361.15,65383
2019-01-02,358.45,78989
2019-01-03,356.95,316985
2019-01-04,356.35,59346
2019-01-07,356.6,110900
2019-01-08,355.65,111738
2019-01-09,360.65,104889
2019-01-10,359.6,191290
2019-01-11,356.0,119697
2019-01-14,352.65,194250
2019-01-15,359.4,62085
2019-01-16,357.8,452361
2019-01-17,355.1,73518
2019-01-18,355.85,16483
2019-01-21,354.55,26474
2019-01-22,361.55,89044
2019-01-23,361.85,151991
2019-01-24,353.8,131512
2019-01-25,347.95,501145
2019-01-28,348.2,111012
2019-01-29,347.75,63011
2019-01-30,361.3,165427
2019-01-31,360.6,69728
2019-02-01,366.5,118137
2019-02-04,371.9,128413
2019-02-05,369.85,284662
2019-02-06,366.6,87200
2019-02-07,365.95,88797
2019-02-08,359.85,112871
2019-02-11,348.85,62069
2019-02-12,346.4,158902
2019-02-13,339.65,41158
2019-02-14,340.95,33336
2019-02-15,327.75,73994
2019-02-18,312.5,92819
2019-02-19,310.0,59808
2019-02-20,322.0,330352
2019-02-21,323.65,129594
2019-02-22,319.5,149217
2019-02-25,328.55,145029
2019-02-26,326.55,68534
2019-02-27,322.3,92775
2019-02-28,342.1,663305
2019-03-01,352.25,565107
2019-03-05,376.05,250144
2019-03-06,391.05,421356
2019-03-07,391.0,148011
2019-03-08,389.05,54843
2019-03-11,397.4,207003
2019-03-12,433.3,769989
2019-03-13,418.9,200099
2019-03-14,427.5,375463
2019-03-15,405.3,244986
2019-03-18,398.35,128515
2019-03-19,398.85,99336
2019-03-20,392.7,70210
2019-03-22,404.2,178961
2019-03-25,406.75,237925
2019-03-26,409.65,99012
2019-03-27,426.25,431075
2019-03-28,422.0,165467
2019-03-29,425.45,95631
2019-04-01,421.1,66966
2019-04-02,421.35,70627
2019-04-03,418.15,178872
2019-04-04,412.1,68026
2019-04-05,409.65,54316
2019-04-08,410.55,55365
2019-04-09,404.85,64605
2019-04-10,398.9,69583
2019-04-11,398.0,110459
2019-04-12,406.6,63585
2019-04-15,415.6,180890
2019-04-16,420.85,285850
2019-04-18,422.5,123954
2019-04-22,409.95,92385
2019-04-23,413.6,31123
2019-04-24,420.8,106227
2019-04-25,420.9,76946
2019-04-26,414.55,54462
2019-04-30,407.95,57108
2019-05-02,411.9,61932
2019-05-03,404.2,40303
2019-05-06,393.9,76023
2019-05-07,394.05,79594
2019-05-08,372.6,66962
2019-05-09,366.95,105898
2019-05-10,376.9,58863
2019-05-13,368.4,166250
2019-05-14,374.9,42631
2019-05-15,385.7,60208
2019-05-16,388.95,67872
2019-05-17,388.0,113107
2019-05-20,409.45,114763
2019-05-21,416.65,120355
2019-05-22,445.75,810846
2019-05-23,468.4,851383
2019-05-24,492.3,1401761
2019-05-27,488.85,260321
2019-05-28,504.5,487989
2019-05-29,528.5,875418
2019-05-30,517.15,317247
2019-05-31,525.7,462206
2019-06-03,510.45,200074
2019-06-04,500.0,104687
2019-06-06,483.3,121744
2019-06-07,485.9,86845
2019-06-10,480.2,69734
2019-06-11,474.3,96372
2019-06-12,468.5,282467
2019-06-13,455.2,176976
2019-06-14,465.8,185140
2019-06-17,444.5,86717
2019-06-18,446.75,225336
2019-06-19,440.4,126706
2019-06-20,445.9,98854
2019-06-21,469.4,308064
2019-06-24,470.3,97316
2019-06-25,472.05,72595
2019-06-26,476.1,100263
2019-06-27,479.8,69204
2019-06-28,480.1,67525
2019-07-01,482.65,113450
2019-07-02,476.55,59659
2019-07-03,478.0,57124
2019-07-04,475.75,43437
2019-07-05,472.55,70775
2019-07-08,453.9,104650
2019-07-09,466.2,95674
2019-07-10,459.7,65934
2019-07-11,466.15,59632
2019-07-12,469.8,52629
2019-07-15,473.15,46236
2019-07-16,465.3,38660
2019-07-17,466.1,73624
2019-07-18,458.2,53504
2019-07-19,471.3,87354
2019-07-22,465.85,52322
2019-07-23,462.6,33461
2019-07-24,459.85,40765
2019-07-25,451.45,28789
2019-07-26,460.85,40861
2019-07-29,467.65,62172
2019-07-30,454.75,40897
2019-07-31,438.55,133258
2019-08-01,439.85,94463
2019-08-02,420.1,106791
2019-08-05,411.0,121885
2019-08-06,440.4,412677
2019-08-07,465.2,219194
2019-08-08,470.8,88018
2019-08-09,488.85,165591
2019-08-13,481.05,74195
2019-08-14,468.55,57255
2019-08-16,468.2,86109
2019-08-19,464.8,36257
2019-08-20,454.35,82275
2019-08-21,460.1,76082
2019-08-22,415.95,154792
2019-08-23,450.95,204604
2019-08-26,472.4,184191
2019-08-27,477.7,115438
2019-08-28,472.05,74936
2019-08-29,466.55,30239
2019-08-30,470.5,42005
2019-09-03,474.15,133950
2019-09-04,472.35,31451
2019-09-05,473.45,35728
2019-09-06,470.75,264207
2019-09-09,460.15,105400
2019-09-11,474.0,94912
2019-09-12,468.0,82348
2019-09-13,471.85,26780
2019-09-16,469.4,47183
2019-09-17,467.7,56678
2019-09-18,465.15,35604
2019-09-19,455.4,45364
2019-09-20,503.35,244133
2019-09-23,527.95,690467
2019-09-24,531.45,327224
2019-09-25,519.75,140163
2019-09-26,525.9,115174
2019-09-27,545.45,265736
2019-09-30,543.4,213877
2019-10-01,513.7,179960
2019-10-03,526.45,130170
2019-10-04,532.2,88734
2019-10-07,529.35,100266
2019-10-09,529.1,85380
2019-10-10,533.45,64818
2019-10-11,534.95,45600
2019-10-14,534.7,122923
2019-10-15,543.05,135188
2019-10-16,546.6,80312
2019-10-17,543.15,64086
2019-10-18,544.85,115907
2019-10-22,532.35,117623
2019-10-23,539.6,107561
2019-10-24,539.25,99960
2019-10-25,541.55,115557
2019-10-27,546.85,26657
2019-10-29,575.25,361117
2019-10-30,593.95,660436
2019-10-31,590.45,117143
2019-11-01,582.95,125324
2019-11-04,568.05,85198
2019-11-05,546.15,213890
2019-11-06,525.5,180141
2019-11-07,540.8,190836
2019-11-08,570.75,289328
2019-11-11,551.35,312746
2019-11-13,540.65,297200
2019-11-14,536.2,101644
2019-11-15,531.1,82328
2019-11-18,525.95,97843
2019-11-19,530.8,129187
2019-11-20,532.85,105930
2019-11-21,520.1,105742
2019-11-22,510.95,111237
2019-11-25,531.45,154897
2019-11-26,542.55,174376
2019-11-27,537.15,75212
2019-11-28,524.95,66197
2019-11-29,519.05,78559
2019-12-02,515.05,75189
2019-12-03,514.75,90680
2019-12-04,511.75,70794
2019-12-05,503.2,131824
2019-12-06,495.45,123135
2019-12-09,475.1,152276
2019-12-10,471.95,224248
2019-12-11,476.05,160804
2019-12-12,458.75,156031
2019-12-13,445.25,260575
2019-12-16,437.15,174160
2019-12-17,443.4,414782
2019-12-18,443.25,254560
2019-12-19,433.5,149850
2019-12-20,437.05,561948
2019-12-23,447.95,224328
2019-12-24,449.7,169364
2019-12-26,465.35,461882
2019-12-27,477.9,307785
2019-12-30,468.45,154564
2019-12-31,458.25,309565
