Date,Close,Volume
2019-01-01,1290.2,119
2019-01-02,1238.45,505
2019-01-03,1230.05,53
2019-01-04,1220.85,463
2019-01-07,1213.0,123
2019-01-08,1212.95,99
2019-01-09,1211.45,69
2019-01-10,1207.95,60
2019-01-11,1224.1,117
2019-01-14,1208.4,130
2019-01-15,1224.95,90
2019-01-16,1228.3,186
2019-01-17,1245.85,146
2019-01-18,1244.35,218
2019-01-21,1224.55,92
2019-01-22,1175.4,1385
2019-01-23,1152.1,2573
2019-01-24,1208.35,1583
2019-01-25,1206.95,472
2019-01-28,1169.85,387
2019-01-29,1201.75,723
2019-01-30,1200.25,180
2019-01-31,1202.2,274
2019-02-01,1192.0,221
2019-02-04,1184.3,158
2019-02-05,1197.8,322
2019-02-06,1166.2,169
2019-02-07,1165.35,169
2019-02-08,1151.0,72
2019-02-11,1206.35,278
2019-02-12,1196.8,256
2019-02-13,1161.0,313
2019-02-14,1175.0,276
2019-02-15,1175.0,715
2019-02-18,1170.35,282
2019-02-19,1170.4,169
2019-02-20,1185.3,414
2019-02-21,1194.5,372
2019-02-22,1181.95,127
2019-02-25,1162.3,570
2019-02-26,1154.0,79
2019-02-27,1140.8,261
2019-02-28,1177.3,220
2019-03-01,1181.8,262
2019-03-05,1218.25,1399
2019-03-06,1220.05,479
2019-03-07,1246.8,2294
2019-03-08,1295.6,663
2019-03-11,1309.6,437
2019-03-12,1319.9,6983
2019-03-13,1315.5,174
2019-03-14,1292.1,334
2019-03-15,1278.25,476
2019-03-18,1269.5,128
2019-03-19,1265.0,326
2019-03-20,1258.0,255
2019-03-22,1277.0,333
2019-03-25,1251.05,286
2019-03-26,1263.9,334
2019-03-27,1305.4,1108
2019-03-28,1300.1,156
2019-03-29,1300.35,825
2019-04-01,1295.4,130
2019-04-02,1290.05,301
2019-04-03,1285.05,333
2019-04-04,1278.85,81
2019-04-05,1284.0,134
2019-04-08,1265.05,291
2019-04-09,1239.0,792
2019-04-10,1246.35,270
2019-04-11,1277.5,215
2019-04-12,1276.2,182
2019-04-15,1261.85,433
2019-04-16,1275.0,173
2019-04-18,1259.2,99
2019-04-22,1269.95,257
2019-04-23,1328.7,4499
2019-04-24,1339.35,1371
2019-04-25,1337.75,713
2019-04-26,1328.9,1135
2019-04-30,1327.75,414
2019-05-02,1315.45,429
2019-05-03,1311.55,143
2019-05-06,1309.0,2651
2019-05-07,1283.6,408
2019-05-08,1287.85,1090
2019-05-09,1276.7,268
2019-05-10,1266.05,222
2019-05-13,1290.05,435
2019-05-14,1269.9,287
2019-05-15,1261.85,402
2019-05-16,1282.05,1225
2019-05-17,1278.95,375
2019-05-20,1276.55,3257
2019-05-21,1283.9,327
2019-05-22,1281.6,80
2019-05-23,1267.55,119
2019-05-24,1242.6,5484
2019-05-27,1279.25,249
2019-05-28,1288.3,460
2019-05-29,1278.35,370
2019-05-30,1260.95,257
2019-05-31,1285.0,326
2019-06-03,1274.5,240
2019-06-04,1234.85,1965
2019-06-06,1275.35,518
2019-06-07,1264.5,296
2019-06-10,1253.45,350
2019-06-11,1246.0,474
