Date,Close,Volume
2019-01-08,10.6,19788
2019-01-09,10.35,15808
2019-01-10,10.25,24105
2019-01-11,10.25,1921
2019-01-14,10.05,7206
2019-01-15,10.15,4309
2019-01-16,10.3,10146
2019-01-17,10.15,1221
2019-01-18,9.95,9286
2019-01-21,9.85,15353
2019-01-22,9.85,12153
2019-01-23,9.75,1907
2019-01-24,9.65,9773
2019-01-25,9.5,2980
2019-01-28,9.2,11972
2019-01-29,9.05,3905
2019-01-30,9.2,24098
2019-01-31,9.05,25837
2019-02-01,9.05,5630
2019-02-04,9.0,25771
2019-02-05,8.85,7652
2019-02-06,9.25,41052
2019-02-07,8.85,19894
2019-02-08,8.9,5664
2019-02-11,8.85,4681
2019-02-12,8.7,9536
2019-02-13,8.75,7849
2019-02-14,8.45,6460
2019-02-15,8.5,2093
2019-02-18,8.35,9933
2019-02-19,8.55,5998
2019-02-20,8.55,3161
2019-02-21,8.75,10022
2019-02-22,8.9,16661
2019-02-25,9.75,36441
2019-02-26,9.5,13466
2019-02-27,9.1,16457
2019-02-28,9.25,9850
2019-03-01,9.9,11564
2019-03-05,9.95,35259
2019-03-06,10.25,47963
2019-03-07,10.0,46014
2019-03-08,10.35,23091
2019-03-11,9.85,17943
2019-03-12,10.1,6332
2019-03-13,10.0,10511
2019-03-14,9.8,6830
2019-03-15,9.8,5290
2019-03-18,10.2,27921
2019-03-19,9.75,4929
2019-03-20,9.75,15303
2019-03-22,10.15,7188
2019-03-25,9.7,24020
2019-03-26,9.95,9500
2019-03-27,9.5,12724
2019-03-28,9.8,6782
2019-03-29,9.5,15967
2019-04-01,10.15,13428
2019-04-02,10.35,7180
2019-04-03,10.25,7822
2019-04-04,9.8,2935
2019-04-05,11.0,99806
2019-04-08,10.4,20777
2019-04-09,10.4,7160
2019-04-10,10.4,4543
2019-04-11,10.55,27405
2019-04-12,10.1,29956
2019-04-15,10.3,13308
2019-04-16,10.2,7838
2019-04-18,9.85,20149
2019-04-22,9.85,7964
2019-04-23,9.75,5251
2019-04-24,9.8,6713
2019-04-25,9.85,46464
2019-04-26,9.95,1401
2019-04-30,9.4,21429
2019-05-02,9.45,22661
2019-05-03,9.15,28230
2019-05-06,9.05,17156
2019-05-07,8.5,36130
2019-05-08,9.95,139522
2019-05-09,9.65,8219
2019-05-10,9.2,3675
2019-05-13,9.8,11604
2019-05-14,9.25,5883
2019-05-15,9.1,5263
2019-05-16,8.8,120217
2019-05-17,9.05,49989
2019-05-20,9.55,40967
2019-05-21,9.85,76275
2019-05-22,10.6,56360
2019-05-23,10.35,26988
2019-05-24,11.5,140198
2019-05-27,11.65,87748
2019-05-28,11.65,41857
2019-05-29,11.65,14463
2019-05-30,11.1,31961
2019-05-31,10.7,24120
2019-06-03,11.0,67886
2019-06-04,11.3,57965
2019-06-06,11.1,43796
2019-06-07,10.5,27929
2019-06-10,10.7,5213
2019-06-11,10.3,5367
2019-06-12,9.95,36694
2019-06-13,9.6,35999
2019-06-14,9.9,18757
2019-06-17,9.75,16327
2019-06-18,9.9,13838
2019-06-19,9.35,11062
2019-06-20,9.55,43808
2019-06-21,9.95,26585
2019-06-24,9.65,24000
2019-06-25,9.8,4602
2019-06-26,9.75,11788
2019-06-27,10.0,12444
2019-06-28,10.0,7385
2019-07-01,10.25,13916
2019-07-02,10.25,9093
2019-07-03,10.1,4611
2019-07-04,10.2,8238
2019-07-05,10.0,4224
2019-07-08,9.8,3867
2019-07-09,9.6,870
2019-07-10,9.6,2371
2019-07-11,9.5,7623
2019-07-12,10.45,83919
2019-07-15,9.9,21401
2019-07-16,10.35,52732
2019-07-17,10.3,19118
2019-07-18,9.8,13735
2019-07-19,9.8,8645
2019-07-22,9.55,9436
2019-07-23,9.55,22856
2019-07-24,9.5,5088
2019-07-25,9.45,8936
2019-07-26,9.8,2643
2019-07-29,9.8,4309
2019-07-30,9.2,7007
2019-07-31,8.55,12366
2019-08-01,9.25,37831
2019-08-02,8.85,10153
2019-08-05,8.55,5570
2019-08-06,8.85,16242
2019-08-07,8.7,6160
2019-08-08,10.4,152564
2019-08-09,10.0,99286
2019-08-13,9.65,43798
2019-08-14,9.85,26124
2019-08-16,9.7,16385
