Date,Close,Volume
2019-01-01,223.05,18356
2019-01-02,221.65,19022
2019-01-03,219.15,12821
2019-01-04,218.95,22322
2019-01-07,219.5,24105
2019-01-08,217.3,28935
2019-01-09,216.3,15820
2019-01-10,216.35,8036
2019-01-11,214.2,20362
2019-01-14,214.35,15681
2019-01-15,216.0,15297
2019-01-16,213.8,17388
2019-01-17,211.6,21503
2019-01-18,217.25,130188
2019-01-21,213.45,18927
2019-01-22,212.4,14171
2019-01-23,214.35,20593
2019-01-24,209.2,29354
2019-01-25,207.85,25683
2019-01-28,200.7,37931
2019-01-29,197.3,23382
2019-01-30,198.55,23247
2019-01-31,200.75,17729
2019-02-01,199.9,26100
2019-02-04,196.1,18973
2019-02-05,192.7,24791
2019-02-06,190.0,29578
2019-02-07,193.8,30146
2019-02-08,196.0,85859
2019-02-11,192.8,20674
2019-02-12,190.4,33067
2019-02-13,188.9,26543
2019-02-14,189.55,16083
2019-02-15,187.2,13359
2019-02-18,184.05,27398
2019-02-19,177.0,62217
2019-02-20,178.5,43730
2019-02-21,184.1,58519
2019-02-22,186.8,47878
2019-02-25,190.75,43724
2019-02-26,186.55,39840
2019-02-27,191.5,54962
2019-02-28,192.05,21681
2019-03-01,197.75,44947
2019-03-05,208.7,76243
2019-03-06,213.65,51903
2019-03-07,211.55,35306
2019-03-08,208.75,25582
2019-03-11,210.7,30679
2019-03-12,224.45,225413
2019-03-13,224.35,57213
2019-03-14,225.7,42207
2019-03-15,227.0,94363
2019-03-18,221.65,49108
2019-03-19,219.55,34203
2019-03-20,216.35,58701
2019-03-22,212.4,31034
2019-03-25,207.9,27962
2019-03-26,205.85,47530
2019-03-27,207.75,38669
2019-03-28,209.0,20273
2019-03-29,214.7,65055
2019-04-01,218.55,69807
2019-04-02,217.4,21992
2019-04-03,217.15,42828
2019-04-04,213.9,32551
2019-04-05,214.8,40583
2019-04-08,214.25,31044
2019-04-09,214.1,16002
2019-04-10,213.1,29543
2019-04-11,212.7,16449
2019-04-12,212.85,14338
2019-04-15,214.5,36870
2019-04-16,213.75,22306
2019-04-18,212.6,16850
2019-04-22,205.0,45348
2019-04-23,204.0,12980
2019-04-24,202.55,21931
2019-04-25,202.85,17779
2019-04-26,202.9,59706
2019-04-30,197.2,56475
2019-05-02,198.55,41301
2019-05-03,195.5,19959
2019-05-06,193.0,22972
2019-05-07,190.5,28234
2019-05-08,186.6,20812
2019-05-09,187.15,18379
2019-05-10,190.4,21910
2019-05-13,180.75,39903
2019-05-14,183.25,21351
2019-05-15,181.5,19016
2019-05-16,182.4,15987
2019-05-17,185.35,23135
2019-05-20,201.95,90366
2019-05-21,218.75,512096
2019-05-22,222.85,88153
2019-05-23,220.15,74923
2019-05-24,225.5,85946
2019-05-27,239.9,304958
2019-05-28,240.25,82782
2019-05-29,233.3,58490
2019-05-30,224.9,56937
2019-05-31,222.1,44828
2019-06-03,223.3,39469
2019-06-04,224.7,28644
2019-06-06,220.4,34368
2019-06-07,220.65,25660
2019-06-10,220.85,15699
2019-06-11,222.0,21333
2019-06-12,226.05,89745
2019-06-13,222.45,19736
2019-06-14,220.15,24611
2019-06-17,218.8,34185
2019-06-18,218.05,19372
2019-06-19,215.4,48247
2019-06-20,215.95,20272
2019-06-21,211.05,26841
2019-06-24,211.8,18455
2019-06-25,208.5,35816
2019-06-26,215.55,42131
2019-06-27,212.8,23437
2019-06-28,210.0,13546
2019-07-01,210.35,17170
2019-07-02,208.05,15805
2019-07-03,209.75,21216
2019-07-04,206.25,20142
2019-07-05,203.3,18646
2019-07-08,200.65,27579
2019-07-09,198.85,15507
2019-07-10,198.05,21984
2019-07-11,204.0,33547
2019-07-12,201.35,15836
2019-07-15,198.2,11841
2019-07-16,198.65,13812
2019-07-17,195.85,22799
2019-07-18,192.8,23257
2019-07-19,187.8,30698
2019-07-22,186.45,28331
2019-07-23,187.2,21578
