Date,Close,Volume
2019-01-01,45.4,6496
2019-01-02,45.5,568
2019-01-03,45.9,601
2019-01-04,44.7,1861
2019-01-07,43.75,9453
2019-01-08,42.8,3323
2019-01-09,44.2,2638
2019-01-10,44.0,2597
2019-01-11,43.3,1125
2019-01-14,43.9,2382
2019-01-15,44.4,1693
2019-01-16,44.0,2376
2019-01-17,44.35,4540
2019-01-18,44.75,3027
2019-01-21,44.15,1546
2019-01-22,43.5,8200
2019-01-23,43.5,996
2019-01-24,44.45,691
2019-01-25,43.5,2312
2019-01-28,42.2,4188
2019-01-29,42.0,1319
2019-01-30,43.95,570
2019-01-31,43.6,1322
2019-02-01,42.7,303
2019-02-04,41.55,1170
2019-02-05,40.85,4340
2019-02-06,39.5,662
2019-02-07,39.5,4009
2019-02-08,40.4,634
2019-02-11,39.9,1577
2019-02-12,39.1,10610
2019-02-13,40.05,6359
2019-02-14,40.1,2345
2019-02-15,40.0,1564
2019-02-18,40.0,2588
2019-02-19,39.2,853
2019-02-20,39.4,1198
2019-02-21,39.05,975
2019-02-22,40.45,805
2019-02-25,40.5,1770
2019-02-26,40.9,6002
2019-02-27,42.25,5748
2019-02-28,43.65,4553
2019-03-01,44.0,7419
2019-03-05,44.85,7771
2019-03-06,47.4,13344
2019-03-07,47.45,9083
2019-03-08,46.25,6181
2019-03-11,46.6,3052
2019-03-12,45.95,4196
2019-03-13,45.4,5431
2019-03-14,45.95,794
2019-03-15,44.85,4823
2019-03-18,44.6,558
2019-03-19,43.65,1421
2019-03-20,44.15,5279
2019-03-22,42.15,4807
2019-03-25,42.15,2094
2019-03-26,42.25,2864
2019-03-27,40.35,18598
2019-03-28,42.05,3338
2019-03-29,41.9,2006
2019-04-01,43.95,2362
2019-04-02,43.5,13231
2019-04-03,42.3,2001
2019-04-04,42.0,2162
2019-04-05,41.95,2600
2019-04-08,42.8,1445
2019-04-09,42.8,192
2019-04-10,42.45,402
2019-04-11,42.75,1211
2019-04-12,41.6,1915
2019-04-15,41.5,1258
2019-04-16,41.95,1564
2019-04-18,42.65,1684
2019-04-22,40.95,3351
2019-04-23,40.45,1593
2019-04-24,41.2,947
2019-04-25,41.2,56
2019-04-26,40.9,1306
2019-04-30,39.95,2613
2019-05-02,40.2,1363
2019-05-03,39.5,2631
2019-05-06,39.5,2120
2019-05-07,39.8,2377
2019-05-08,39.85,809
2019-05-09,38.1,2817
2019-05-10,37.1,914
2019-05-13,36.3,1379
2019-05-14,37.85,5459
2019-05-15,37.0,644
2019-05-16,37.45,361
2019-05-17,37.4,1066
2019-05-20,39.0,11518
2019-05-21,39.8,2282
2019-05-22,39.95,470
2019-05-23,39.55,1522
2019-05-24,40.2,1933
2019-05-27,39.2,21990
2019-05-28,39.9,1868
2019-05-29,39.75,4815
2019-05-30,39.8,2659
2019-05-31,38.05,3345
2019-06-03,38.4,3781
2019-06-04,39.6,1259
2019-06-06,38.25,1814
2019-06-07,37.75,4513
2019-06-10,39.0,3952
2019-06-11,38.2,707
2019-06-12,37.1,2126
2019-06-13,36.85,903
2019-06-14,36.35,1306
2019-06-17,35.6,932
2019-06-18,34.2,2930
2019-06-19,32.55,1631
2019-06-20,33.9,1158
2019-06-21,35.15,3342
2019-06-24,35.05,2423
2019-06-25,35.6,800
2019-06-26,34.75,1968
2019-06-27,35.2,4035
2019-06-28,35.65,2250
2019-07-01,35.35,1540
2019-07-02,35.35,2294
2019-07-03,35.95,3677
2019-07-04,35.75,745
2019-07-05,35.0,20
2019-07-08,35.35,1152
2019-07-09,35.9,124
2019-07-10,34.25,1158
2019-07-11,34.8,2310
2019-07-12,33.85,1678
2019-07-15,32.65,1859
2019-07-16,34.45,1974
2019-07-17,34.3,949
2019-07-18,34.35,1017
2019-07-19,29.95,10277
2019-07-22,29.85,6421
2019-07-23,28.25,3632
2019-07-24,28.15,1055
2019-07-25,27.85,10630
2019-07-26,27.6,2694
2019-07-29,27.0,2183
2019-07-30,23.65,7914
2019-07-31,22.1,10150
2019-08-01,22.05,1569
2019-08-02,23.85,4679
2019-08-05,23.35,686
2019-08-06,24.45,322
2019-08-07,24.65,831
2019-08-08,25.7,1002
2019-08-09,27.7,3000
2019-08-13,25.1,7086
2019-08-14,25.5,2123
2019-08-16,25.75,2726
2019-08-19,26.0,2423
2019-08-20,24.15,1765
2019-08-21,23.45,323
2019-08-22,22.3,2021
2019-08-23,22.65,2348
2019-08-26,23.3,1266
2019-08-27,25.65,6029
2019-08-28,26.8,5176
2019-08-29,26.95,2388
2019-08-30,27.15,5154
2019-09-03,25.65,2440
2019-09-04,25.45,618
2019-09-05,25.95,2198
2019-09-06,25.5,1473
2019-09-09,25.6,893
2019-09-11,26.45,1158
2019-09-12,27.55,1694
2019-09-13,29.15,8095
2019-09-16,29.4,1573
2019-09-17,30.4,6735
2019-09-18,29.7,1151
2019-09-19,29.6,1848
2019-09-20,29.85,3446
2019-09-23,29.8,2385
2019-09-24,28.5,2890
2019-09-25,28.6,4575
2019-09-26,27.4,5008
2019-09-27,26.3,547
2019-09-30,25.25,2866
2019-10-01,25.15,1500
2019-10-03,24.95,428
2019-10-04,26.1,4417
2019-10-07,24.7,1245
2019-10-09,24.5,3237
2019-10-10,24.3,4039
2019-10-11,23.45,7150
2019-10-14,23.0,1665
2019-10-15,23.5,800
2019-10-16,23.7,521
2019-10-17,24.45,1047
2019-10-18,24.1,876
2019-10-22,25.05,2549
2019-10-23,23.8,660
2019-10-24,23.8,886
2019-10-25,23.1,1876
2019-10-27,23.55,236
2019-10-29,23.4,1179
2019-10-30,23.75,1068
2019-10-31,23.6,1362
2019-11-01,23.95,2047
2019-11-04,24.8,568
2019-11-05,24.2,9258
2019-11-06,23.3,8116
2019-11-07,23.9,2137
2019-11-08,23.4,3556
2019-11-11,23.35,2950
2019-11-13,23.5,3685
2019-11-14,23.95,3214
2019-11-15,23.35,6254
2019-11-18,23.45,599
2019-11-19,23.0,2598
2019-11-20,23.1,721
2019-11-21,23.3,1603
2019-11-22,23.6,2262
2019-11-25,23.5,309
2019-11-26,24.2,1177
2019-11-27,24.35,1358
2019-11-28,24.75,6766
2019-11-29,24.5,5808
2019-12-02,25.05,662
2019-12-03,24.6,1856
2019-12-04,24.9,1247
2019-12-05,24.85,773
2019-12-06,24.3,1290
2019-12-09,24.6,339
2019-12-10,23.75,131
2019-12-11,23.85,1291
2019-12-12,24.2,454
2019-12-13,25.0,1319
2019-12-16,25.25,2113
2019-12-17,25.6,3500
2019-12-18,25.95,858
2019-12-19,26.95,4730
2019-12-20,25.9,203
2019-12-23,25.8,345
2019-12-24,27.35,3052
2019-12-26,27.5,2383
2019-12-27,28.65,7870
2019-12-30,29.3,4012
2019-12-31,30.5,8950
