Date,Close,Volume
2019-01-01,27.55,2657
2019-01-02,27.7,8926
2019-01-03,27.55,1236
2019-01-04,28.0,7144
2019-01-07,29.3,40325
2019-01-08,28.8,430
2019-01-09,28.85,7779
2019-01-10,28.85,6732
2019-01-11,28.5,12425
2019-01-14,28.5,20806
2019-01-15,29.8,8000
2019-01-16,28.6,9798
2019-01-17,29.35,6939
2019-01-18,28.6,2053
2019-01-21,28.5,3382
2019-01-22,27.85,4734
2019-01-23,28.25,14559
2019-01-24,28.2,36025
2019-01-25,27.7,8669
2019-01-28,27.35,19488
2019-01-29,27.45,1544
2019-01-30,27.2,6301
2019-01-31,27.25,5200
2019-02-01,27.35,8669
2019-02-04,27.4,2427
2019-02-05,26.35,4532
2019-02-06,26.05,6045
2019-02-07,26.0,2108
2019-02-08,25.7,2384
2019-02-11,24.65,11353
2019-02-12,25.35,6830
2019-02-13,24.4,2962
2019-02-14,24.95,573
2019-02-15,24.15,1302
2019-02-18,23.75,2649
2019-02-19,24.65,570
2019-02-20,25.0,3810
2019-02-21,24.9,4719
2019-02-22,25.55,5753
2019-02-25,26.1,5702
2019-02-26,24.2,6524
2019-02-27,24.0,4948
2019-02-28,24.45,2506
2019-03-01,25.95,13873
2019-03-05,27.65,12500
2019-03-06,28.0,9102
2019-03-07,28.25,11252
2019-03-08,28.05,7267
2019-03-11,28.55,6959
2019-03-12,28.0,8431
2019-03-13,27.9,733
2019-03-14,27.9,3581
2019-03-15,27.75,2380
2019-03-18,27.65,1901
2019-03-19,27.45,6627
2019-03-20,27.65,4181
2019-03-22,27.0,7084
2019-03-25,25.6,48371
2019-03-26,25.85,3729
2019-03-27,25.5,1683
2019-03-28,26.25,1782
2019-03-29,25.95,7839
2019-04-01,26.5,4377
2019-04-02,26.2,2364
2019-04-03,26.3,7361
2019-04-05,26.3,8631
2019-04-08,26.05,5218
2019-04-09,25.95,8899
2019-04-10,25.85,4832
2019-04-11,26.1,2007
2019-04-12,26.0,9108
2019-04-15,26.45,11411
2019-04-16,26.55,1791
2019-04-18,26.35,4103
2019-04-22,25.8,3358
2019-04-23,25.85,582
2019-04-24,26.2,4837
2019-04-25,26.0,2341
2019-04-26,26.25,4154
2019-04-30,25.4,1742
2019-05-02,24.8,2610
2019-05-03,25.4,2211
2019-05-06,25.7,4442
2019-05-07,25.5,6876
2019-05-08,24.05,17390
2019-05-09,24.05,3328
2019-05-10,24.15,3548
2019-05-13,23.5,3432
2019-05-14,23.15,4009
2019-05-15,23.35,3021
2019-05-16,22.9,2114
2019-05-17,23.45,4235
2019-05-20,24.6,7203
2019-05-21,23.9,1160
2019-05-22,24.7,1389
2019-05-23,24.3,8692
2019-05-24,25.1,12949
2019-05-27,26.35,16892
2019-05-28,25.35,16212
2019-05-29,24.9,2061
2019-05-30,25.6,3625
2019-05-31,24.75,7771
2019-06-03,24.65,11356
2019-06-04,24.1,1291
2019-06-06,23.65,3694
2019-06-07,23.1,8867
2019-06-10,22.6,7138
2019-06-11,22.75,18734
2019-06-12,22.95,1535
2019-06-13,22.9,10390
2019-06-14,22.8,2285
2019-06-17,22.75,1491
2019-06-18,22.75,901
2019-06-19,22.5,5894
2019-06-20,22.4,7766
2019-06-21,22.15,591
2019-06-24,21.5,1966
2019-06-25,21.65,1034
2019-06-26,22.4,4353
2019-06-27,22.25,5248
2019-06-28,21.8,3308
2019-07-01,21.75,2026
2019-07-02,20.95,7248
2019-07-03,20.9,2610
2019-07-04,20.75,6235
2019-07-05,20.55,4054
2019-07-08,19.9,2603
2019-07-09,19.8,2242
2019-07-10,19.15,3493
2019-07-11,19.05,1723
2019-07-12,18.8,2056
2019-07-15,18.85,32974
2019-07-16,18.75,19770
2019-07-17,18.75,5621
2019-07-18,18.5,29218
2019-07-19,17.4,2603
2019-07-22,17.7,1429
2019-07-23,17.1,1403
2019-07-24,17.8,3048
2019-07-25,16.95,373
2019-07-26,17.0,407
2019-07-29,17.5,7320
2019-07-30,16.2,4250
2019-07-31,16.9,9912
2019-08-01,16.9,1155
2019-08-02,17.05,4915
2019-08-05,16.5,227
2019-08-06,16.85,967
2019-08-07,17.15,3665
2019-08-08,17.15,1053
2019-08-09,17.5,1331
2019-08-13,17.55,7756
2019-08-14,16.85,1699
2019-08-16,17.25,2275
2019-08-19,16.6,11184
2019-08-20,16.35,221
2019-08-21,16.4,3547
2019-08-22,15.25,5659
2019-08-23,15.6,1591
2019-08-26,16.65,987
2019-08-27,17.55,2182
2019-08-28,17.65,6343
2019-08-29,16.35,651
2019-08-30,15.9,2412
2019-09-03,15.1,12796
2019-09-04,16.55,7766
2019-09-05,16.85,1910
2019-09-06,16.7,6840
2019-09-09,16.2,6464
2019-09-11,18.0,7950
2019-09-12,18.75,4997
2019-09-13,19.1,2153
2019-09-16,20.45,43188
2019-09-17,20.55,14124
2019-09-18,20.0,3508
2019-09-19,18.3,635
2019-09-20,19.45,2705
2019-09-23,19.6,5997
2019-09-24,19.8,5529
2019-09-25,18.8,2479
2019-09-26,18.0,4497
2019-09-27,18.4,935
2019-09-30,17.7,2157
2019-10-01,16.8,5100
2019-10-03,17.45,1660
2019-10-04,16.65,4817
2019-10-07,18.65,8113
2019-10-09,16.95,19204
2019-10-10,16.85,16180
2019-10-11,16.2,14931
2019-10-14,16.9,2721
2019-10-15,17.1,14575
2019-10-16,17.95,11346
2019-10-17,17.5,2718
2019-10-18,18.35,6140
2019-10-22,19.85,12734
2019-10-23,20.55,29282
2019-10-24,19.7,29279
2019-10-25,20.2,8914
2019-10-27,20.3,2568
2019-10-29,21.75,12109
2019-10-30,23.75,21417
2019-10-31,23.15,25166
2019-11-01,24.4,45087
2019-11-04,26.75,61809
2019-11-05,25.35,24081
2019-11-06,22.85,25566
2019-11-07,20.6,15264
2019-11-08,19.6,11017
2019-11-11,18.65,7262
2019-11-13,19.0,3571
2019-11-14,18.05,6122
2019-11-15,17.15,6939
2019-11-18,16.3,23405
2019-11-19,15.5,14248
2019-11-20,14.75,9373
2019-11-21,14.55,27881
2019-11-22,15.25,5151
2019-11-25,15.35,21279
2019-11-26,15.25,33327
2019-11-27,15.5,11123
2019-11-28,15.0,4875
2019-11-29,15.0,1767
2019-12-02,15.2,3376
2019-12-03,14.85,10974
2019-12-04,14.75,2060
2019-12-05,14.75,3991
2019-12-06,14.4,3382
2019-12-09,14.3,219
2019-12-10,13.8,4169
2019-12-11,14.2,3125
2019-12-12,14.55,11631
2019-12-13,14.5,1549
2019-12-16,14.7,3386
2019-12-17,14.2,8682
2019-12-18,14.7,8390
2019-12-19,15.0,5956
2019-12-20,14.5,5138
2019-12-23,14.95,2602
2019-12-24,14.75,2332
2019-12-26,14.5,2951
2019-12-27,14.9,647
2019-12-30,14.6,1408
2019-12-31,14.5,2800
