Date,Close,Volume
2019-01-01,455.05,10002
2019-01-02,453.15,12484
2019-01-03,438.75,40521
2019-01-04,433.2,27137
2019-01-07,438.4,40071
2019-01-08,435.2,8736
2019-01-09,426.7,21391
2019-01-10,429.2,19027
2019-01-11,413.75,39272
2019-01-14,411.15,26790
2019-01-15,421.95,153559
2019-01-16,428.85,66267
2019-01-17,429.9,344989
2019-01-18,420.95,77930
2019-01-21,419.45,46225
2019-01-22,417.55,28204
2019-01-23,412.7,24334
2019-01-24,422.5,618320
2019-01-25,410.15,63385
2019-01-28,401.8,38452
2019-01-29,402.1,25979
2019-01-30,413.9,67103
2019-01-31,411.45,42544
2019-02-01,416.0,273440
2019-02-04,411.5,42016
2019-02-05,405.55,37255
2019-02-06,402.5,67891
2019-02-07,395.35,109153
2019-02-08,394.85,49133
2019-02-11,391.85,58272
2019-02-12,391.6,26646
2019-02-13,379.55,45318
2019-02-14,379.2,32369
2019-02-15,379.15,114708
2019-02-18,372.65,25465
2019-02-19,373.8,28229
2019-02-20,370.2,40001
2019-02-21,374.65,39029
2019-02-22,372.7,191287
2019-02-25,373.05,53372
2019-02-26,369.65,89262
2019-02-27,368.8,91196
2019-02-28,371.9,54144
2019-03-01,386.0,83219
2019-03-05,411.4,153447
2019-03-06,425.8,266069
2019-03-07,425.2,39075
2019-03-08,419.95,46656
2019-03-11,422.0,43154
2019-03-12,416.2,41092
2019-03-13,459.55,719758
2019-03-14,463.6,228618
2019-03-15,449.65,122203
2019-03-18,441.95,78888
2019-03-19,442.75,70524
2019-03-20,436.35,47860
2019-03-22,427.2,48537
2019-03-25,417.05,43098
2019-03-26,421.1,141324
2019-03-27,425.35,129459
2019-03-28,438.85,138192
2019-03-29,443.45,89966
2019-04-01,471.15,212317
2019-04-02,476.05,314279
2019-04-03,473.25,80816
2019-04-04,478.45,120499
2019-04-05,477.45,143605
2019-04-08,480.1,70086
2019-04-09,463.15,206714
2019-04-10,457.35,79382
2019-04-11,446.1,77453
2019-04-12,449.9,233630
2019-04-15,462.0,171259
2019-04-16,467.65,462643
2019-04-18,463.85,205060
2019-04-22,471.85,316058
2019-04-23,469.6,162160
2019-04-24,470.6,56212
2019-04-25,461.95,56656
2019-04-26,480.45,119207
2019-04-30,482.7,97367
2019-05-02,473.6,52867
2019-05-03,467.35,23442
2019-05-06,458.75,49012
2019-05-07,465.7,76430
2019-05-08,458.15,54658
2019-05-09,459.3,20089
2019-05-10,458.1,20302
2019-05-13,456.15,55559
2019-05-14,459.55,24592
2019-05-15,457.15,31381
2019-05-16,459.3,46540
2019-05-17,459.0,18852
2019-05-20,470.0,80172
2019-05-21,470.4,55164
2019-05-22,478.0,52633
2019-05-23,468.05,45398
2019-05-24,477.1,44684
2019-05-27,499.2,148598
2019-05-28,490.95,47314
2019-05-29,479.9,48419
