Date,Close,Volume
2019-01-01,423.7,11048
2019-01-02,419.55,11241
2019-01-03,414.6,10300
2019-01-04,421.9,32474
2019-01-07,415.3,10487
2019-01-08,427.65,31484
2019-01-09,420.25,10516
2019-01-10,415.9,7323
2019-01-11,423.85,11274
2019-01-14,416.35,4831
2019-01-15,417.55,10886
2019-01-16,424.65,24629
2019-01-17,426.5,13606
2019-01-18,421.8,6371
2019-01-21,420.05,4505
2019-01-22,414.7,7200
2019-01-23,410.65,9524
2019-01-24,405.75,4455
2019-01-25,392.55,9379
2019-01-28,382.5,6174
2019-01-29,374.8,7182
2019-01-30,384.2,4278
2019-01-31,387.3,5548
2019-02-01,380.2,5229
2019-02-04,368.4,10459
2019-02-05,355.85,8339
2019-02-06,353.9,23901
2019-02-07,362.05,6531
2019-02-08,347.75,7000
2019-02-11,339.55,14239
2019-02-12,344.8,10284
2019-02-13,340.05,7377
2019-02-14,369.3,27900
2019-02-15,386.55,52569
2019-02-18,390.4,16188
2019-02-19,381.45,13671
2019-02-20,404.65,34841
2019-02-21,401.75,5376
2019-02-22,417.4,14617
2019-02-25,406.8,6988
2019-02-26,390.55,13163
2019-02-27,385.3,8654
2019-02-28,381.3,5188
2019-03-01,399.65,7940
2019-03-05,408.8,23114
2019-03-06,401.25,9559
2019-03-07,399.7,12157
2019-03-08,399.9,6586
2019-03-11,403.2,9578
2019-03-12,402.1,10567
2019-03-13,394.1,149187
2019-03-14,408.35,21111
2019-03-15,411.45,20654
2019-03-18,418.9,20701
2019-03-19,419.7,12968
2019-03-20,415.85,6984
2019-03-22,414.25,5487
2019-03-25,408.55,14729
2019-03-26,413.95,8013
2019-03-27,410.6,10133
2019-03-28,431.65,29926
2019-03-29,460.85,123915
2019-04-01,473.75,45036
2019-04-02,468.3,13233
2019-04-03,462.05,7376
2019-04-04,446.9,12047
2019-04-05,474.5,30747
2019-04-08,479.75,37476
2019-04-09,471.55,7582
2019-04-10,469.5,26921
2019-04-11,469.05,7531
2019-04-12,467.4,9463
2019-04-15,473.45,21002
2019-04-16,469.2,16133
2019-04-18,465.85,11090
2019-04-22,472.6,13073
2019-04-23,469.55,10904
2019-04-24,469.85,74458
2019-04-25,462.5,3415
2019-04-26,463.4,5383
2019-04-30,461.8,7682
2019-05-02,468.5,8745
2019-05-03,464.3,1163
2019-05-06,458.7,6717
2019-05-07,438.25,12053
2019-05-08,423.55,10657
2019-05-09,429.45,9360
2019-05-10,421.15,22605
2019-05-13,401.65,15042
2019-05-14,387.35,16357
2019-05-15,394.45,6160
2019-05-16,396.15,5422
2019-05-17,405.9,7867
2019-05-20,438.1,16273
2019-05-21,426.15,3985
2019-05-22,431.15,5721
2019-05-23,432.35,5575
2019-05-24,450.1,14216
2019-05-27,464.05,24872
2019-05-28,462.45,7054
2019-05-29,451.35,5561
2019-05-30,462.25,10437
2019-05-31,450.5,7273
2019-06-03,448.9,7538
2019-06-04,444.35,6214
2019-06-06,443.95,24807
2019-06-07,443.9,4511
2019-06-10,435.1,27689
2019-06-11,427.3,4293
2019-06-12,432.3,1716
2019-06-13,430.15,8560
2019-06-14,428.2,6950
2019-06-17,418.65,5295
2019-06-18,408.15,7771
2019-06-19,404.15,7366
2019-06-20,413.5,4418
2019-06-21,414.55,4312
2019-06-24,415.45,6659
2019-06-25,414.2,4220
2019-06-26,420.15,3104
2019-06-27,419.6,4681
2019-06-28,417.5,956
2019-07-01,418.95,3473
2019-07-02,415.35,3514
2019-07-03,422.3,5364
2019-07-04,423.6,6209
2019-07-05,416.9,3833
2019-07-08,408.05,10161
2019-07-09,406.0,9731
2019-07-10,402.0,4213
2019-07-11,403.8,3997
2019-07-12,400.1,9505
