Date,Close,Volume
2008-08-01,22.6,5793081
2008-08-04,21.4,713473
2008-08-05,21.55,397272
2008-08-06,19.1,280224
2008-08-07,16.7,298505
2008-08-08,15.75,291282
2008-08-11,15.9,157921
2008-08-12,14.55,257705
2008-08-13,14.25,150139
2008-08-14,16.55,1328146
2008-08-18,16.85,513766
2008-08-19,15.75,164088
2008-08-20,15.9,248587
2008-08-21,15.35,107448
2008-08-22,15.05,153477
2008-08-25,14.65,76993
2008-08-26,14.2,98820
2008-08-27,14.35,186211
2008-08-28,14.1,70873
2008-08-29,14.35,169017
2008-09-01,13.65,96310
2008-09-02,13.65,67305
2008-09-04,13.7,54563
2008-09-05,13.3,71223
2008-09-08,12.8,64385
2008-09-09,12.85,44725
2008-09-10,12.15,56314
2008-09-11,12.2,47090
2008-09-12,11.85,42374
2008-09-15,10.5,72428
2008-09-16,9.9,34671
2008-09-17,10.1,60650
2008-09-18,9.4,36589
2008-09-19,9.9,26240
2008-09-22,10.0,26039
2008-09-23,9.6,14879
2008-09-24,9.9,34373
2008-09-25,9.95,34987
2008-09-26,9.05,36352
2008-09-29,8.0,36096
2008-09-30,7.5,35583
2008-10-01,7.55,45185
2008-10-03,6.95,43461
2008-10-06,5.95,56549
2008-10-07,5.45,58157
2008-10-08,4.4,170789
2008-10-10,4.15,67206
2008-10-13,4.6,36586
2008-10-14,5.1,25903
2008-10-15,5.65,54204
2008-10-16,5.45,54546
2008-10-17,4.9,22113
2008-10-20,4.8,38770
2008-10-21,4.7,21908
2008-10-22,4.55,7018
2008-10-23,4.45,9253
2008-10-24,4.05,35001
2008-10-27,4.2,44360
2008-10-28,4.2,6678
2008-10-29,4.2,17320
2008-10-31,4.6,25777
2008-11-03,5.1,24836
2008-11-04,5.55,23745
2008-11-05,5.4,34634
2008-11-06,5.15,4098
2008-11-07,4.95,17514
2008-11-10,5.0,30904
2008-11-11,4.9,21147
2008-11-12,4.7,21884
2008-11-14,4.5,23432
2008-11-17,4.3,16593
2008-11-18,4.15,15534
2008-11-19,4.0,27665
2008-11-20,3.8,12387
2008-11-21,3.7,16770
2008-11-24,3.9,16442
2008-11-25,4.0,14512
2008-11-26,3.9,18394
2008-11-28,3.85,9732
2008-12-01,3.75,4402
2008-12-02,3.9,7862
2008-12-03,3.8,511943
2008-12-04,3.9,409763
2008-12-05,3.9,8369
2008-12-08,4.0,10916
