Date,Close,Volume
2019-01-01,232.2,67438
2019-01-02,241.5,407306
2019-01-03,241.75,132336
2019-01-04,241.75,154117
2019-01-07,242.8,57099
2019-01-08,237.15,50656
2019-01-09,233.75,49589
2019-01-10,226.0,44163
2019-01-11,228.05,54315
2019-01-14,232.05,32593
2019-01-15,232.1,25799
2019-01-16,244.15,185928
2019-01-17,239.9,57749
2019-01-18,237.3,42732
2019-01-21,232.7,34226
2019-01-22,238.1,65128
2019-01-23,233.15,23186
2019-01-24,237.5,51029
2019-01-25,223.55,41654
2019-01-28,221.2,40087
2019-01-29,226.9,440435
2019-01-30,226.95,60937
2019-01-31,225.65,20928
2019-02-01,220.25,132585
2019-02-04,204.7,61441
2019-02-05,201.35,43527
2019-02-06,197.15,43740
2019-02-07,200.15,34509
2019-02-08,196.6,44074
2019-02-11,198.9,28792
2019-02-12,199.25,24286
2019-02-13,196.85,34539
2019-02-14,198.7,36236
2019-02-15,204.8,71960
2019-02-18,197.25,53065
2019-02-19,199.7,17355
2019-02-20,204.4,22412
2019-02-21,208.55,40533
2019-02-22,208.7,18506
2019-02-25,210.65,47116
2019-02-26,204.0,93486
2019-02-27,204.1,49528
2019-02-28,227.85,428856
2019-03-01,237.1,224234
2019-03-05,253.9,280473
2019-03-06,247.65,139380
2019-03-07,247.35,114643
2019-03-08,247.2,41684
2019-03-11,258.15,239067
2019-03-12,254.05,105917
2019-03-13,258.1,107397
2019-03-14,250.65,154319
2019-03-15,252.45,78067
2019-03-18,250.45,67680
2019-03-19,251.5,72337
2019-03-20,251.0,77095
2019-03-22,263.5,138128
2019-03-25,265.65,120988
2019-03-26,258.0,61260
2019-03-27,252.65,61755
2019-03-28,253.45,28601
2019-03-29,244.25,71369
2019-04-01,250.5,134835
2019-04-02,249.8,19788
2019-04-03,246.4,17783
2019-04-04,245.2,21255
2019-04-05,248.0,17599
2019-04-08,241.9,25201
2019-04-09,239.7,41728
2019-04-10,235.45,25293
2019-04-11,235.0,23662
2019-04-12,235.05,14248
2019-04-15,234.7,17066
2019-04-16,233.4,18685
2019-04-18,222.3,34797
2019-04-22,221.35,68249
2019-04-23,216.0,38733
2019-04-24,219.65,14109
2019-04-25,221.6,21909
2019-04-26,219.35,10167
2019-04-30,209.9,26308
2019-05-02,227.2,246585
2019-05-03,223.6,48347
2019-05-06,223.4,45821
2019-05-07,220.8,29838
2019-05-08,225.65,116396
2019-05-09,221.75,15514
2019-05-10,216.5,20650
2019-05-13,208.05,24525
2019-05-14,212.0,20493
2019-05-15,209.35,10200
2019-05-16,202.8,73412
2019-05-17,206.8,14084
2019-05-20,225.6,54793
2019-05-21,214.05,24984
2019-05-22,213.35,33838
2019-05-23,214.7,38187
2019-05-24,220.05,66587
2019-05-27,217.25,26515
2019-05-28,217.7,11794
2019-05-29,217.3,12120
2019-05-30,211.9,20474
2019-05-31,210.2,25421
2019-06-03,209.15,28332
2019-06-04,204.25,176757
2019-06-06,208.4,40747
2019-06-07,211.85,99893
2019-06-10,205.55,43946
2019-06-11,207.45,155934
2019-06-12,204.25,38578
2019-06-13,205.05,77216
2019-06-14,201.7,15828
2019-06-17,198.85,36739
