Date,Close,Volume
2019-01-01,120.65,1684
2019-01-02,121.0,1451
2019-01-03,118.3,1199
2019-01-04,118.45,894
2019-01-07,116.95,9126
2019-01-08,122.35,5166
2019-01-09,122.65,1720
2019-01-10,121.0,3147
2019-01-11,123.1,1467
2019-01-14,122.5,358
2019-01-15,121.05,2517
2019-01-16,118.7,3305
2019-01-17,117.45,525
2019-01-18,116.4,13863
2019-01-21,114.6,2743
2019-01-22,112.95,1708
2019-01-23,111.7,702
2019-01-24,110.9,1066
2019-01-25,108.35,1580
2019-01-28,110.9,1648
2019-01-29,108.1,2922
2019-01-30,111.0,1357
2019-01-31,112.0,781
2019-02-01,110.0,540
2019-02-04,110.0,515
2019-02-05,106.95,23359
2019-02-06,102.0,19669
2019-02-07,102.45,3349
2019-02-08,100.25,1858
2019-02-11,99.55,11288
2019-02-12,100.0,7055
2019-02-13,94.6,3803
2019-02-14,92.55,940
2019-02-15,88.9,1147
2019-02-18,91.15,2244
2019-02-19,94.6,2195
2019-02-20,88.95,6331
2019-02-21,87.15,4980
2019-02-22,87.4,13870
2019-02-25,91.0,3580
2019-02-26,93.1,409
2019-02-27,90.0,3199
2019-02-28,92.0,1612
2019-03-01,93.0,2558
2019-03-05,97.8,5487
2019-03-06,109.45,22558
2019-03-07,104.45,7830
2019-03-08,100.05,1982
2019-03-11,106.55,14509
2019-03-12,115.55,19558
2019-03-13,125.05,23345
2019-03-14,121.75,6459
2019-03-15,98.25,240160
2019-03-18,112.5,114704
2019-03-19,114.0,96045
2019-03-20,104.45,37588
2019-03-22,107.1,13953
2019-03-25,103.7,7281
2019-03-26,103.25,3626
2019-03-27,102.85,7038
2019-03-28,105.1,9785
2019-03-29,105.0,7917
2019-04-01,108.85,15483
2019-04-02,112.5,25821
2019-04-03,112.45,4963
2019-04-04,113.2,3066
2019-04-05,114.45,13380
2019-04-08,114.95,17923
2019-04-09,115.25,3986
2019-04-10,114.75,3428
2019-04-11,115.5,6636
2019-04-12,115.0,7413
2019-04-15,115.0,9722
2019-04-16,115.0,5796
2019-04-18,115.0,4938
2019-04-22,115.0,9352
2019-04-23,115.1,23416
2019-04-24,115.55,4005
2019-04-25,115.9,221
2019-04-26,115.15,1623
2019-04-30,115.05,2750
2019-05-02,115.65,4270
2019-05-03,115.0,10996
2019-05-06,114.75,1649
2019-05-07,115.2,6852
2019-05-08,115.0,7951
2019-05-09,113.45,1949
2019-05-10,114.85,8001
2019-05-13,118.05,8915
2019-05-14,116.0,8614
2019-05-15,115.0,6566
2019-05-16,115.0,6706
2019-05-17,115.35,2618
2019-05-20,116.7,6173
2019-05-21,114.5,13424
2019-05-22,115.05,6258
2019-05-23,115.0,5424
2019-05-24,115.0,5886
2019-05-27,115.0,8663
2019-05-28,115.0,2202
2019-05-29,117.35,11948
2019-05-30,115.5,11191
2019-05-31,115.1,3131
2019-06-03,116.2,9859
2019-06-04,115.0,1719
2019-06-06,115.0,6299
2019-06-07,115.0,3545
2019-06-10,115.5,7192
2019-06-11,115.05,14388
2019-06-12,114.7,4435
2019-06-13,115.0,1940
2019-06-14,115.75,2036
2019-06-17,114.95,2672
2019-06-18,116.0,3198
2019-06-19,117.0,42950
2019-06-20,115.8,7010
2019-06-21,117.6,2855
2019-06-24,115.6,217
2019-06-25,115.55,386
2019-06-26,115.35,3402
2019-06-27,117.4,18969
2019-06-28,115.75,765
2019-07-01,119.9,15333
2019-07-02,120.05,4563
2019-07-03,120.2,2038
2019-07-04,119.9,2029
2019-07-05,119.25,338
2019-07-08,116.25,10439
2019-07-09,113.45,989
2019-07-10,111.35,5113
2019-07-11,110.8,2032
2019-07-12,109.9,2884
2019-07-15,110.9,3224
2019-07-16,110.2,4828
2019-07-17,109.9,949
2019-07-18,110.45,2027
2019-07-19,109.8,1937
2019-07-22,110.2,28498
2019-07-23,112.95,14517
2019-07-24,110.0,2149
2019-07-25,109.85,1916
2019-07-26,110.0,3802
2019-07-29,109.75,5257
2019-07-30,109.55,21505
2019-07-31,105.1,6181
2019-08-01,102.55,1103
2019-08-02,101.75,7279
2019-08-05,99.05,2574
2019-08-06,99.55,3580
2019-08-07,105.0,2510
2019-08-08,101.25,540
2019-08-09,103.05,325
2019-08-13,99.85,4262
2019-08-14,110.05,6568
2019-08-16,112.05,75288
2019-08-19,112.5,28226
2019-08-20,116.0,61875
2019-08-21,117.3,13265
2019-08-22,109.05,1418
2019-08-23,99.0,6703
2019-08-26,99.3,1287
2019-08-27,106.75,5583
2019-08-28,109.9,5246
2019-08-29,110.0,1238
2019-08-30,110.2,3663
2019-09-03,110.2,2895
2019-09-04,115.05,100621
2019-09-05,108.95,1622
2019-09-06,111.75,907
2019-09-09,107.75,2356
2019-09-11,108.0,1914
2019-09-12,107.7,1542
2019-09-13,106.95,2361
2019-09-16,105.3,975
2019-09-17,107.5,1438
2019-09-18,108.8,1398
2019-09-19,105.85,2159
2019-09-20,105.9,3325
2019-09-23,105.25,2172
2019-09-24,105.05,1455
2019-09-25,103.4,1522
2019-09-26,103.9,1883
2019-09-27,105.25,616
2019-09-30,97.5,5253
2019-10-01,95.6,2053
2019-10-03,89.9,7238
2019-10-04,90.25,4241
2019-10-07,87.35,2727
2019-10-09,88.0,1931
2019-10-10,86.05,27284
2019-10-11,85.0,1636
2019-10-14,85.5,25067
2019-10-15,90.0,16496
2019-10-16,90.35,32820
2019-10-17,91.05,1104
2019-10-18,92.3,1981
2019-10-22,90.6,4318
2019-10-23,91.15,2281
2019-10-24,90.0,2913
2019-10-25,90.8,1325
2019-10-27,90.75,868
2019-10-29,90.45,1574
2019-10-30,90.8,1447
2019-10-31,92.25,11290
2019-11-01,90.4,2545
2019-11-04,87.75,3728
2019-11-05,91.2,3748
2019-11-06,90.7,2388
2019-11-07,88.4,3235
2019-11-08,85.75,4577
2019-11-11,82.55,3494
2019-11-13,81.95,3216
2019-11-14,84.95,5516
2019-11-15,84.6,3799
2019-11-18,80.6,6731
2019-11-19,84.1,4381
2019-11-20,83.85,6635
2019-11-21,84.0,4536
2019-11-22,84.95,1967
2019-11-25,83.5,3046
2019-11-26,84.0,9873
2019-11-27,84.2,4873
2019-11-28,84.4,751
2019-11-29,83.85,1213
2019-12-02,82.8,2010
2019-12-03,79.8,2660
2019-12-04,80.0,4097
2019-12-05,82.55,1092
2019-12-06,83.95,2867
2019-12-09,86.4,2866
2019-12-10,84.65,1282
2019-12-11,85.6,2186
2019-12-12,85.2,6101
2019-12-13,86.55,5735
2019-12-16,86.7,1202
2019-12-17,86.9,921
2019-12-18,85.0,1395
2019-12-19,85.05,1005
2019-12-20,83.75,5758
2019-12-23,84.6,1663
2019-12-24,82.25,1163
2019-12-26,82.9,5293
2019-12-27,84.5,3640
2019-12-30,85.1,2948
2019-12-31,85.95,4747
