Date,Close,Volume
2019-01-01,9.4,15722
2019-01-02,9.3,6589
2019-01-03,9.0,7453
2019-01-04,9.05,2228
2019-01-07,9.1,8484
2019-01-08,8.9,4365
2019-01-09,8.95,1733
2019-01-10,8.85,8210
2019-01-11,8.8,1647
2019-01-14,8.9,3222
2019-01-15,8.9,5702
2019-01-16,8.8,13829
2019-01-17,8.75,9594
2019-01-18,8.6,13813
2019-01-21,8.75,6289
2019-01-22,8.45,36720
2019-01-23,8.3,20180
2019-01-24,8.25,28356
2019-01-25,8.25,8270
2019-01-28,8.25,10915
2019-01-29,7.9,11129
2019-01-30,7.95,13945
2019-01-31,8.0,18989
2019-02-01,8.05,13027
2019-02-04,7.5,27253
2019-02-05,7.3,29847
2019-02-06,7.2,10766
2019-02-07,7.25,11454
2019-02-08,7.0,4609
2019-02-11,6.9,9600
2019-02-12,7.0,1395
2019-02-13,7.2,14427
2019-02-14,7.0,7806
2019-02-15,6.9,16179
2019-02-18,6.9,4838
2019-02-19,6.8,5982
2019-02-20,6.9,8395
2019-02-21,7.05,7773
2019-02-22,7.05,15493
2019-02-25,7.2,9456
2019-02-26,7.35,23535
2019-02-27,7.35,20558
2019-02-28,7.3,6366
2019-03-01,7.7,32734
2019-03-05,9.2,111687
2019-03-06,8.95,71803
2019-03-07,8.75,60273
2019-03-08,8.75,11806
2019-03-11,8.6,25796
2019-03-12,8.45,29885
2019-03-13,8.2,21698
2019-03-14,8.4,11031
2019-03-15,8.25,15319
2019-03-18,8.05,17703
2019-03-19,8.4,40142
2019-03-20,8.2,8873
2019-03-22,8.25,5237
2019-03-25,8.2,10413
2019-03-26,7.9,11162
2019-03-27,8.15,17427
2019-03-28,8.3,50478
2019-03-29,8.1,10773
2019-04-01,8.5,26204
2019-04-02,8.75,27436
2019-04-03,8.95,22757
2019-04-04,8.75,11987
2019-04-05,8.75,8215
2019-04-08,8.6,5310
2019-04-09,8.55,3165
2019-04-10,8.15,16839
2019-04-11,8.25,15089
2019-04-12,8.1,9455
2019-04-15,7.7,94868
2019-04-16,7.4,65599
2019-04-18,7.5,15319
2019-04-22,7.3,5731
2019-04-23,7.2,11428
2019-04-24,7.05,34145
2019-04-25,7.3,24423
2019-04-26,7.35,5929
2019-04-30,7.0,13815
2019-05-02,6.9,10842
2019-05-03,7.05,9145
2019-05-06,6.95,15739
2019-05-07,7.0,31090
2019-05-08,7.1,6670
2019-05-09,6.8,8062
2019-05-10,7.1,11146
2019-05-13,7.0,7545
2019-05-14,7.1,26926
2019-05-15,7.3,12802
2019-05-16,7.0,4774
2019-05-17,7.2,15896
2019-05-20,7.4,33074
2019-05-21,7.3,14927
2019-05-22,7.0,23236
2019-05-23,7.1,21383
2019-05-24,6.95,29968
2019-05-27,7.45,101597
2019-05-28,7.5,20566
2019-05-29,7.3,9072
2019-05-30,7.2,9928
2019-05-31,7.1,9587
2019-06-03,7.25,15518
2019-06-04,8.1,84583
2019-06-06,7.75,31082
2019-06-07,7.35,14043
2019-06-10,7.15,13569
2019-06-11,7.2,10163
2019-06-12,7.25,12784
2019-06-13,7.45,4970
2019-06-14,7.15,7582
2019-06-17,6.8,20296
2019-06-18,6.6,24204
2019-06-19,6.8,12509
2019-06-20,6.85,9994
2019-06-21,6.75,34535
2019-06-24,6.6,11784
2019-06-25,6.6,10948
2019-06-26,6.65,6508
2019-06-27,6.7,9992
2019-06-28,6.85,6499
2019-07-01,6.8,22063
2019-07-02,6.65,8147
2019-07-03,6.7,12033
2019-07-04,6.7,13165
2019-07-05,6.55,14696
2019-07-08,6.45,6167
2019-07-09,6.65,3533
2019-07-10,6.6,22136
2019-07-11,6.6,19608
2019-07-12,6.55,13495
2019-07-15,6.3,22274
2019-07-16,6.4,13939
2019-07-17,6.2,12113
2019-07-18,6.0,25882
2019-07-19,5.85,17699
2019-07-22,5.55,21348
2019-07-23,6.05,35148
2019-07-24,6.0,24511
2019-07-25,6.35,36360
2019-07-26,6.45,26388
2019-07-29,6.35,11742
2019-07-30,6.35,34433
2019-07-31,6.5,27628
2019-08-01,6.8,40928
2019-08-02,6.75,30756
2019-08-05,6.8,13346
2019-08-06,7.15,23704
2019-08-07,7.2,9247
2019-08-08,7.5,54958
2019-08-09,7.7,62831
2019-08-13,7.95,40506
2019-08-14,7.65,50863
2019-08-16,7.6,3120
2019-08-19,7.5,20712
2019-08-20,7.2,8284
2019-08-21,7.2,7629
2019-08-22,6.9,20449
2019-08-23,6.75,5593
2019-08-26,7.05,22067
