Date,Close,Volume
2019-01-01,128.05,8083
2019-01-02,126.25,10514
2019-01-03,126.15,28193
2019-01-04,124.25,20145
2019-01-07,125.15,10846
2019-01-08,128.2,10786
2019-01-09,132.15,19699
2019-01-10,127.35,7209
2019-01-11,127.95,2594
2019-01-14,125.65,4201
2019-01-15,122.95,12516
2019-01-16,121.3,28385
2019-01-17,125.75,34856
2019-01-18,124.3,6306
2019-01-21,124.15,13491
2019-01-22,121.95,9032
2019-01-23,125.15,21357
2019-01-24,121.45,9966
2019-01-25,120.1,22963
2019-01-28,115.15,8790
2019-01-29,114.7,12177
2019-01-30,111.65,10802
2019-01-31,109.55,18753
2019-02-01,111.8,21581
2019-02-04,110.85,19124
2019-02-05,107.85,8403
2019-02-06,107.5,20753
2019-02-07,107.7,14563
2019-02-08,105.8,13903
2019-02-11,103.7,22260
2019-02-12,99.75,51366
2019-02-13,97.65,25855
2019-02-14,98.4,14481
2019-02-15,97.8,7487
2019-02-18,92.65,31446
2019-02-19,92.6,22011
2019-02-20,93.4,12191
2019-02-21,94.25,11911
2019-02-22,99.55,44055
2019-02-25,101.7,57999
2019-02-26,105.3,25342
2019-02-27,109.5,40217
2019-02-28,110.6,12858
2019-03-01,117.7,17988
2019-03-05,127.75,55775
2019-03-06,131.55,49108
2019-03-07,131.9,24581
2019-03-08,130.1,21431
2019-03-11,130.05,22408
2019-03-12,131.05,25764
2019-03-13,133.6,126489
2019-03-14,128.95,21600
2019-03-15,128.15,35248
2019-03-18,126.4,14752
2019-03-19,125.15,13437
2019-03-20,125.35,5510
2019-03-22,122.9,14532
2019-03-25,118.05,19235
2019-03-26,123.2,39126
2019-03-27,121.8,16485
2019-03-28,124.15,8767
2019-03-29,129.3,14589
2019-04-01,131.9,15915
2019-04-02,130.95,14207
2019-04-03,127.05,4424
2019-04-04,127.4,5179
2019-04-05,126.15,4069
2019-04-08,128.4,10959
2019-04-09,129.2,13347
2019-04-10,128.6,5504
2019-04-11,127.85,59450
2019-04-12,130.35,36969
2019-04-15,127.95,7258
2019-04-16,130.35,9982
2019-04-18,127.75,86433
2019-04-22,124.35,17933
2019-04-23,120.65,8285
2019-04-24,122.15,4917
2019-04-25,124.55,6806
2019-04-26,125.45,6639
2019-04-30,122.85,8137
2019-05-02,125.0,19868
2019-05-03,125.0,2384
2019-05-06,121.55,31004
2019-05-07,120.35,11119
2019-05-08,126.4,27314
2019-05-09,125.0,9968
2019-05-10,123.6,11482
2019-05-13,122.65,20484
2019-05-14,120.5,4543
2019-05-15,119.9,3937
2019-05-16,123.45,18495
2019-05-17,123.5,13558
2019-05-20,125.85,8071
2019-05-21,121.55,9522
2019-05-22,123.15,5526
2019-05-23,120.6,6685
2019-05-24,124.0,27166
2019-05-27,126.45,7667
2019-05-28,122.1,5968
2019-05-29,118.15,12400
2019-05-30,116.4,7751
2019-05-31,111.6,24212
2019-06-03,108.9,13097
2019-06-04,110.85,5916
2019-06-06,109.0,29255
2019-06-07,104.95,31517
2019-06-10,101.9,33408
2019-06-11,101.7,13971
2019-06-12,101.65,34926
2019-06-13,102.15,31520
2019-06-14,102.1,36383
2019-06-17,102.6,27365
2019-06-18,98.8,35386
2019-06-19,98.45,34336
2019-06-20,97.8,29637
2019-06-21,96.75,28568
2019-06-24,95.8,5048
2019-06-25,95.35,7606
2019-06-26,99.65,14588
2019-06-27,100.8,5112
2019-06-28,96.6,8197
2019-07-01,96.15,11414
2019-07-02,94.0,11411
2019-07-03,94.4,4884
2019-07-04,92.8,13571
2019-07-05,91.4,8800
2019-07-08,90.45,4195
2019-07-09,89.05,5293
2019-07-10,88.45,2572
2019-07-11,90.1,5555
2019-07-12,91.1,3385
2019-07-15,88.5,5683
2019-07-16,85.35,11994
2019-07-17,89.9,16102
2019-07-18,87.3,10803
2019-07-19,88.05,7201
2019-07-22,85.5,5388
2019-07-23,86.35,5177
2019-07-24,86.05,7499
2019-07-25,84.35,4798
2019-07-26,83.4,15400
2019-07-29,82.9,7283
2019-07-30,78.05,8452
2019-07-31,74.45,24474
2019-08-01,74.85,16935
2019-08-02,71.9,29942
2019-08-05,68.4,13476
2019-08-06,72.2,10931
2019-08-07,74.75,39842
2019-08-08,73.85,3344
2019-08-09,74.0,12273
2019-08-13,75.0,27163
2019-08-14,73.15,6600
2019-08-16,71.75,8713
2019-08-19,70.9,33609
2019-08-20,66.85,14742
2019-08-21,67.7,40808
2019-08-22,64.45,10941
2019-08-23,66.85,12457
2019-08-26,68.95,5907
2019-08-27,72.75,47079
2019-08-28,70.3,4130
2019-08-29,70.1,53519
2019-08-30,67.95,14860
2019-09-03,66.7,51608
2019-09-04,67.55,5099
2019-09-05,65.55,110846
