Date,Close,Volume
2010-07-01,64.85,10830205
2010-07-02,61.1,2380676
2010-07-05,61.25,750319
2010-07-06,61.8,831241
2010-07-07,61.35,668847
2010-07-08,60.9,487213
2010-07-09,60.15,212550
2010-07-12,61.4,539534
2010-07-13,60.5,141752
2010-07-14,60.15,123190
2010-07-15,59.5,133953
2010-07-16,59.95,472562
2010-07-19,59.4,366117
2010-07-20,60.0,568581
2010-07-21,61.7,625816
2010-07-22,60.8,187229
2010-07-23,59.85,142554
2010-07-26,59.4,109756
2010-07-27,59.0,87939
2010-07-28,57.45,105509
2010-07-29,56.8,110917
2010-07-30,54.4,153993
2010-08-02,54.25,122393
2010-08-03,53.5,86669
2010-08-04,53.85,146977
2010-08-05,53.7,74208
2010-08-06,53.05,71565
2010-08-09,58.7,537649
2010-08-10,61.4,369023
2010-08-11,58.8,205984
2010-08-12,59.55,143244
2010-08-13,59.95,121910
2010-08-16,59.45,62381
2010-08-17,58.4,68142
2010-08-18,57.95,54888
2010-08-19,58.65,69530
2010-08-20,57.3,82009
2010-08-23,57.65,40634
2010-08-24,56.15,51719
2010-08-25,55.95,34642
2010-08-26,55.1,46890
2010-08-27,55.25,59995
2010-08-30,54.35,70018
2010-08-31,52.45,85193
2010-09-01,57.35,359724
2010-09-02,57.4,248970
2010-09-03,56.45,61568
2010-09-06,57.05,45316
2010-09-07,58.0,96861
2010-09-08,57.55,42988
2010-09-09,56.65,51091
2010-09-13,55.65,49034
2010-09-14,54.8,76847
2010-09-15,56.15,201644
2010-09-16,55.0,111488
2010-09-17,56.1,112304
2010-09-20,64.0,2348012
2010-09-21,59.4,546147
2010-09-22,59.3,239193
2010-09-23,58.45,62666
2010-09-24,57.9,119116
2010-09-27,58.5,101210
2010-09-28,58.35,139652
2010-09-29,58.15,257551
2010-09-30,57.45,59934
2010-10-01,57.55,88543
2010-10-04,57.35,157955
2010-10-05,57.25,163384
2010-10-06,56.35,123801
2010-10-07,56.2,61827
2010-10-08,56.9,116147
2010-10-11,56.6,113445
2010-10-12,56.75,211096
2010-10-13,56.55,76713
2010-10-14,55.6,70486
2010-10-15,58.0,202630
2010-10-18,56.2,60631
2010-10-19,55.9,54704
2010-10-20,55.0,137139
2010-10-21,55.5,116021
2010-10-22,55.25,50445
2010-10-25,57.1,252712
