Date,Close,Volume
2019-01-01,700.45,261923
2019-01-02,710.15,210318
2019-01-03,719.75,136826
2019-01-04,726.15,180036
2019-01-07,733.3,277273
2019-01-08,731.55,142323
2019-01-09,716.9,59392
2019-01-10,730.8,93548
2019-01-11,723.3,453337
2019-01-14,720.3,168069
2019-01-15,696.0,112734
2019-01-16,683.4,742946
2019-01-17,683.15,34372
2019-01-18,677.6,26753
2019-01-21,651.3,74861
2019-01-22,653.4,125325
2019-01-23,645.15,218182
2019-01-24,646.15,79820
2019-01-25,642.3,92847
2019-01-28,641.95,63816
2019-01-29,639.75,62719
2019-01-30,644.35,66828
2019-01-31,627.75,445860
2019-02-01,631.0,75457
2019-02-04,630.9,51259
2019-02-05,630.4,95130
2019-02-06,633.85,26811
2019-02-07,643.85,51651
2019-02-08,647.5,67554
2019-02-11,636.95,19775
2019-02-12,663.8,50414
2019-02-13,658.1,20277
2019-02-14,649.75,46019
2019-02-15,645.3,36923
2019-02-18,631.75,107593
2019-02-19,640.2,62908
2019-02-20,662.2,63896
2019-02-21,680.35,92931
2019-02-22,683.6,47291
2019-02-25,686.8,53006
2019-02-26,695.0,52648
2019-02-27,705.25,64474
2019-02-28,716.0,207645
2019-03-01,718.6,59685
2019-03-05,737.75,667577
2019-03-06,759.9,413878
2019-03-07,763.45,75696
2019-03-08,766.5,123849
2019-03-11,780.65,338266
2019-03-12,790.25,140623
2019-03-13,782.95,22839
2019-03-14,780.5,32490
2019-03-15,795.25,137858
2019-03-18,804.7,106576
2019-03-19,805.8,57051
2019-03-20,783.8,75205
2019-03-22,797.3,55582
2019-03-25,798.45,34680
2019-03-26,785.05,43470
2019-03-27,756.15,106407
2019-03-28,746.55,154874
2019-03-29,746.75,38298
2019-04-01,745.6,34554
2019-04-02,739.0,56922
2019-04-03,717.15,43712
2019-04-04,712.45,40981
2019-04-05,710.25,37474
2019-04-08,722.9,40835
2019-04-09,720.85,37491
2019-04-10,713.0,26997
2019-04-11,707.65,21510
2019-04-12,705.45,23158
2019-04-15,722.05,101377
2019-04-16,721.1,19129
2019-04-18,713.75,73576
2019-04-22,694.2,41491
2019-04-23,682.8,53571
2019-04-24,690.95,91216
2019-04-25,704.05,176431
2019-04-26,713.25,19226
2019-04-30,698.9,29256
2019-05-02,699.35,77716
2019-05-03,676.75,36008
2019-05-06,679.75,39777
2019-05-07,661.25,140212
2019-05-08,654.65,40867
2019-05-09,660.35,161813
2019-05-10,656.8,22134
2019-05-13,651.85,13709
2019-05-14,658.35,52922
2019-05-15,647.8,29379
2019-05-16,654.85,28196
2019-05-17,671.25,39758
2019-05-20,717.8,76263
2019-05-21,690.0,244107
2019-05-22,670.1,57612
2019-05-23,657.35,283726
2019-05-24,657.45,92446
2019-05-27,667.9,69460
2019-05-28,674.75,256474
2019-05-29,664.5,94796
2019-05-30,663.55,33100
2019-05-31,650.15,98325
2019-06-03,652.45,52408
2019-06-04,649.75,390614
2019-06-06,624.1,46379
2019-06-07,584.55,281799
2019-06-10,579.3,365228
2019-06-11,606.7,137708
2019-06-12,615.1,87807
2019-06-13,621.95,63285
2019-06-14,613.85,459399
2019-06-17,591.4,57942
2019-06-18,587.25,48952
2019-06-19,573.95,33234
2019-06-20,599.15,51863
2019-06-21,604.0,42791
2019-06-24,589.8,33859
2019-06-25,560.45,116419
2019-06-26,564.15,140626
2019-06-27,569.25,59312
2019-06-28,578.5,145802
2019-07-01,554.35,203545
2019-07-02,517.0,323872
2019-07-03,518.65,188185
2019-07-04,450.8,4152391
2019-07-05,444.65,2997675
2019-07-08,425.05,490265
2019-07-09,428.4,506081
2019-07-10,428.7,230842
2019-07-11,440.0,694002
2019-07-12,481.0,5251110
2019-07-15,503.85,1896098
2019-07-16,481.55,479769
2019-07-17,472.2,406862
2019-07-18,476.55,371383
2019-07-19,460.3,620481
2019-07-22,446.75,230405
2019-07-23,456.4,242637
2019-07-24,452.7,192571
2019-07-25,445.8,198181
2019-07-26,449.2,104404
2019-07-29,429.95,105022
2019-07-30,400.55,368385
2019-07-31,438.75,1024003
2019-08-01,454.65,711536
2019-08-02,430.0,341067
2019-08-05,418.55,241808
2019-08-06,440.5,212037
2019-08-07,461.85,329418
2019-08-08,461.15,332816
2019-08-09,465.15,196563
2019-08-13,458.55,102489
2019-08-14,456.35,145217
2019-08-16,450.5,89252
2019-08-19,460.15,114431
2019-08-20,459.2,63594
2019-08-21,448.65,70494
2019-08-22,449.9,120969
2019-08-23,450.75,112958
2019-08-26,445.9,73127
2019-08-27,468.45,108127
2019-08-28,464.0,69947
2019-08-29,462.7,46196
2019-08-30,475.05,75800
2019-09-03,469.55,69442
2019-09-04,469.55,251434
2019-09-05,458.55,59152
2019-09-06,452.0,137412
2019-09-09,455.05,427659
2019-09-11,460.25,168928
2019-09-12,463.2,210313
2019-09-13,459.6,106190
2019-09-16,463.2,121194
2019-09-17,463.3,162275
2019-09-18,458.3,95377
2019-09-19,447.05,73086
2019-09-20,484.0,397254
2019-09-23,466.65,208605
2019-09-24,448.65,153305
2019-09-25,453.3,200364
2019-09-26,455.75,65809
2019-09-27,464.15,308447
2019-09-30,469.55,318855
2019-10-01,455.05,633906
2019-10-03,465.0,124063
2019-10-04,469.65,225262
2019-10-07,466.45,60593
2019-10-09,470.05,293511
2019-10-10,472.75,30780
2019-10-11,468.9,154050
2019-10-14,470.2,282667
2019-10-15,470.05,134049
2019-10-16,465.55,32067
2019-10-17,462.4,47276
2019-10-18,471.4,56204
2019-10-22,472.75,40038
2019-10-23,466.2,42090
2019-10-24,462.9,64823
2019-10-25,471.2,50015
2019-10-27,470.65,4740
2019-10-29,468.65,130151
2019-10-30,474.05,170560
2019-10-31,518.8,2653346
2019-11-01,498.7,221104
2019-11-04,495.25,206828
2019-11-05,510.55,404850
2019-11-06,510.15,144413
2019-11-07,516.75,241280
2019-11-08,526.95,156171
2019-11-11,529.9,176610
2019-11-13,544.85,288449
2019-11-14,567.55,350188
2019-11-15,550.75,308471
2019-11-18,555.25,139140
2019-11-19,543.5,79383
2019-11-20,528.1,131435
2019-11-21,520.5,69811
2019-11-22,529.8,111417
2019-11-25,531.8,72361
2019-11-26,535.15,128582
2019-11-27,527.2,62890
2019-11-28,525.55,50240
2019-11-29,520.0,139783
2019-12-02,519.9,103854
2019-12-03,520.35,47011
2019-12-04,504.05,63102
2019-12-05,487.3,239367
2019-12-06,477.2,91783
2019-12-09,450.5,207260
2019-12-10,456.45,189504
2019-12-11,459.65,86755
2019-12-12,478.45,85363
2019-12-13,477.15,79639
2019-12-16,479.95,88048
2019-12-17,493.05,148416
2019-12-18,506.8,389939
2019-12-19,508.25,113813
2019-12-20,511.4,89052
2019-12-23,515.95,76346
2019-12-24,500.25,81037
2019-12-26,480.5,256549
2019-12-27,469.7,341622
2019-12-30,481.25,252807
2019-12-31,484.65,316176
