Date,Close,Volume
2019-01-01,402.5,332521
2019-01-02,400.3,285054
2019-01-03,400.15,245031
2019-01-04,394.3,282443
2019-01-07,395.45,206736
2019-01-08,401.1,307744
2019-01-09,409.3,845409
2019-01-10,410.1,266744
2019-01-11,414.95,495381
2019-01-14,418.9,593624
2019-01-15,418.6,577202
2019-01-16,414.95,312427
2019-01-17,413.25,155250
2019-01-18,407.25,228589
2019-01-21,398.25,307944
2019-01-22,413.25,461696
2019-01-23,421.5,2652760
2019-01-24,427.95,827349
2019-01-25,420.8,1045999
2019-01-28,417.6,402779
2019-01-29,406.5,528952
2019-01-30,417.1,1047858
2019-01-31,409.65,215650
2019-02-01,427.65,647799
2019-02-04,437.2,500642
2019-02-05,439.9,428076
2019-02-06,441.75,292893
2019-02-07,441.3,254852
2019-02-08,438.1,495253
2019-02-11,418.25,416774
2019-02-12,417.1,235232
2019-02-13,413.7,719614
2019-02-14,405.55,351224
2019-02-15,397.4,266101
2019-02-18,372.3,581755
2019-02-19,369.35,508279
2019-02-20,368.15,344746
2019-02-21,369.05,1243774
2019-02-22,371.25,624599
2019-02-25,369.3,630812
2019-02-26,367.95,532254
2019-02-27,364.25,630694
2019-02-28,362.5,386004
2019-03-01,381.8,1185220
2019-03-05,399.7,1039951
2019-03-06,396.5,936136
2019-03-07,391.25,338858
2019-03-08,390.8,1120785
2019-03-11,393.1,480957
2019-03-12,402.9,993718
2019-03-13,399.55,367354
2019-03-14,397.25,251146
2019-03-15,392.35,325779
2019-03-18,389.55,291513
2019-03-19,399.75,1064438
2019-03-20,409.95,886385
2019-03-22,404.55,478776
2019-03-25,394.5,286259
2019-03-26,395.0,383737
2019-03-27,393.2,391413
2019-03-28,401.2,545589
2019-03-29,395.1,309883
2019-04-01,394.55,433960
2019-04-02,393.2,318761
2019-04-03,396.7,286971
2019-04-04,392.2,178894
2019-04-05,392.25,236030
2019-04-08,388.5,222583
2019-04-09,381.85,272205
2019-04-10,380.55,290063
2019-04-11,369.65,775500
2019-04-12,357.95,1161828
2019-04-15,360.25,451289
2019-04-16,352.0,660956
2019-04-18,333.55,1182423
2019-04-22,340.35,994615
2019-04-23,349.15,1117414
2019-04-24,371.0,1191325
2019-04-25,365.1,902291
2019-04-26,364.65,420137
2019-04-30,353.85,454504
2019-05-02,355.9,762699
2019-05-03,362.35,481299
2019-05-06,353.3,606776
2019-05-07,347.45,423543
2019-05-08,339.7,492968
2019-05-09,337.6,380354
2019-05-10,345.5,339141
2019-05-13,339.3,396672
2019-05-14,340.45,290702
2019-05-15,335.55,206799
2019-05-16,341.25,461642
2019-05-17,350.0,568001
2019-05-20,351.95,488660
2019-05-21,346.9,325601
2019-05-22,340.65,313233
2019-05-23,340.8,289515
2019-05-24,360.5,821983
2019-05-27,351.25,396535
2019-05-28,347.55,401858
2019-05-29,339.9,312383
2019-05-30,340.2,228640
2019-05-31,336.55,277835
2019-06-03,333.8,210272
2019-06-04,329.1,496943
2019-06-06,309.1,1256314
2019-06-07,300.4,1371058
2019-06-10,297.25,445698
2019-06-11,293.55,1109100
2019-06-12,284.7,759388
2019-06-13,279.7,1202240
2019-06-14,273.8,509477
2019-06-17,275.4,552630
2019-06-18,272.85,368680
2019-06-19,268.95,342970
2019-06-20,273.35,431023
2019-06-21,278.2,472007
2019-06-24,283.65,722848
2019-06-25,295.4,352585
2019-06-26,311.3,738111
2019-06-27,325.7,767206
2019-06-28,315.6,762304
2019-07-01,306.75,412877
2019-07-02,304.5,268880
2019-07-03,304.3,183795
2019-07-04,305.4,187516
2019-07-05,296.45,299817
2019-07-08,283.05,406782
2019-07-09,286.5,273690
2019-07-10,285.8,224474
2019-07-11,287.6,317153
2019-07-12,285.35,215547
2019-07-15,282.85,134209
2019-07-16,283.45,93316
2019-07-17,290.8,425275
2019-07-18,282.65,227533
2019-07-19,287.4,287967
2019-07-22,294.9,512778
2019-07-23,304.25,577678
2019-07-24,305.45,330120
2019-07-25,303.75,407959
2019-07-26,303.15,289576
2019-07-29,305.95,343973
2019-07-30,299.15,512786
2019-07-31,298.05,300475
2019-08-01,299.55,253085
2019-08-02,297.6,389930
2019-08-05,294.1,212268
2019-08-06,304.6,237530
2019-08-07,318.0,427955
2019-08-08,322.45,588110
2019-08-09,318.15,400767
2019-08-13,316.05,248497
2019-08-14,322.3,192554
2019-08-16,331.0,464736
2019-08-19,325.5,219258
2019-08-20,313.9,313887
2019-08-21,306.35,304276
2019-08-22,291.6,406432
2019-08-23,294.25,297609
2019-08-26,318.75,715451
2019-08-27,316.1,382869
2019-08-28,304.75,206559
2019-08-29,302.9,490992
2019-08-30,309.0,902364
2019-09-03,295.9,301420
2019-09-04,299.75,268129
2019-09-05,301.75,110321
2019-09-06,298.5,146321
2019-09-09,300.4,100885
2019-09-11,297.25,643487
2019-09-12,298.8,335330
2019-09-13,304.85,286524
2019-09-16,318.65,554477
2019-09-17,301.35,509846
2019-09-18,300.9,349619
2019-09-19,305.9,362825
2019-09-20,319.8,681127
2019-09-23,328.95,707002
2019-09-24,327.2,275982
2019-09-25,317.7,154698
2019-09-26,321.4,353517
2019-09-27,322.35,1058823
2019-09-30,315.0,324652
2019-10-01,302.8,356394
2019-10-03,303.95,220332
2019-10-04,299.35,202409
2019-10-07,295.25,188334
2019-10-09,293.5,170144
2019-10-10,295.65,90188
2019-10-11,295.0,140292
2019-10-14,296.4,116452
2019-10-15,293.2,111274
2019-10-16,299.3,288111
2019-10-17,304.5,148972
2019-10-18,316.05,374150
2019-10-22,305.75,219938
2019-10-23,314.55,412996
2019-10-24,311.65,182756
2019-10-25,314.85,382681
2019-10-27,314.55,25723
2019-10-29,319.15,353983
2019-10-30,311.65,231336
2019-10-31,316.55,244289
2019-11-01,324.85,437121
2019-11-04,334.1,565349
2019-11-05,327.65,271513
2019-11-06,313.75,1174434
2019-11-07,323.9,594880
2019-11-08,330.4,1319733
2019-11-11,324.8,249161
2019-11-13,320.85,236362
2019-11-14,314.35,193493
2019-11-15,306.8,362895
2019-11-18,304.05,244290
2019-11-19,301.15,563836
2019-11-20,306.25,398991
2019-11-21,307.2,253667
2019-11-22,307.95,215198
2019-11-25,308.95,141690
2019-11-26,318.0,1422713
2019-11-27,312.7,193956
2019-11-28,317.3,215025
2019-11-29,312.7,166532
2019-12-02,319.85,260446
2019-12-03,312.55,153617
2019-12-04,307.1,156270
2019-12-05,303.4,213175
2019-12-06,301.95,194851
2019-12-09,299.8,166608
2019-12-10,299.95,185474
2019-12-11,303.35,237632
2019-12-12,303.55,136114
2019-12-13,299.4,186777
2019-12-16,300.6,224933
2019-12-17,298.25,145455
2019-12-18,300.65,260019
2019-12-19,296.0,196276
2019-12-20,299.05,267776
2019-12-23,298.75,147813
2019-12-24,314.15,1560539
2019-12-26,318.85,741085
2019-12-27,312.75,227142
2019-12-30,314.3,191014
2019-12-31,313.5,332374
