Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-30,27.972921681450394,29.906901867980064,27.075715005696917,29.41842269897461,99000,0.0,0
2020-12-01,29.20907319780421,30.345536754003255,28.581029099492042,29.119352340698242,94900,0.0,0
2020-12-02,29.029633495242983,29.05953918010545,26.95608838139917,27.53428840637207,74500,0.0,0
2020-12-03,27.614042050237778,28.830255458625324,27.614042050237778,28.31186866760254,28200,0.0,0
2020-12-04,28.461402591819517,28.511248572173663,27.564195861171935,28.381650924682617,47700,0.0,0
2020-12-07,28.54115151517406,28.54115151517406,26.776645811720822,27.923076629638672,56700,0.0,0
2020-12-08,27.91310743452622,28.89006573839155,27.63397567566632,27.923076629638672,36400,0.0,0
2020-12-09,28.062642917532262,28.800346278717203,27.18537462087249,27.653915405273438,53300,0.0,0
2020-12-10,27.624007542484144,28.511246927304054,27.215280034309092,28.20220947265625,44500,0.0,0
2020-12-11,27.8233848991911,29.38851231013794,27.71372566100801,29.06950569152832,35400,0.0,0
2020-12-14,29.448851109338133,29.448851109338133,27.711868255441818,28.041296005249023,75500,0.04,0
2020-12-15,28.949717250553277,31.824722815588583,28.949717250553277,31.744861602783203,173500,0.0,0
2020-12-16,31.944517825374973,32.89287145993245,31.625072951767887,31.98444938659668,73100,0.0,0
2020-12-17,32.303893739164465,36.696262584457706,32.24399639829801,34.829505920410156,216600,0.0,0
2020-12-18,35.468394278565945,36.686280172258805,34.160668089190565,34.42021560668945,147200,0.0,0
2020-12-21,33.392001026881374,35.628114906139515,33.28219114915227,34.54000473022461,95100,0.0,0
2020-12-22,34.57993594627137,35.51830848628014,34.420213527899236,34.520042419433594,90400,0.0,0
2020-12-23,35.28870691100971,40.41979812541509,35.28870691100971,39.880733489990234,202400,0.0,0
2020-12-24,40.389841216210165,40.389841216210165,39.1619745001676,39.631160736083984,32300,0.0,0
2020-12-28,39.93064117134255,41.25833681816938,39.501386474104,39.820831298828125,88300,0.0,0
2020-12-29,39.93064429066337,40.499655667158684,37.684545549313555,40.00052261352539,95000,0.0,0
2020-12-30,40.14028105601961,40.749224018003176,38.92239894013564,39.44149398803711,106600,0.0,0
2020-12-31,39.45147566254915,40.47968849916877,38.50312213156769,39.371612548828125,72700,0.0,0
2021-01-04,39.13203052697763,39.14201151207561,34.93931229050095,36.93584442138672,190500,0.0,0
