Date,Close,Volume
2019-01-01,129.75,23375
2019-01-02,125.5,21547
2019-01-03,124.9,11232
2019-01-04,125.8,14475
2019-01-07,126.8,4796
2019-01-08,127.3,9939
2019-01-09,128.75,39809
2019-01-10,129.3,17271
2019-01-11,127.4,5352
2019-01-14,128.5,16373
2019-01-15,128.1,6035
2019-01-16,127.1,4337
2019-01-17,123.8,20788
2019-01-18,124.4,48232
2019-01-21,119.9,12092
2019-01-22,117.2,5693
2019-01-23,118.25,71406
2019-01-24,116.45,9309
2019-01-25,112.45,12777
2019-01-28,106.7,36144
2019-01-29,105.6,21575
2019-01-30,109.4,11831
2019-01-31,115.1,50708
2019-02-01,111.95,7638
2019-02-04,106.85,25799
2019-02-05,104.25,11578
2019-02-06,102.85,10521
2019-02-07,106.8,42019
2019-02-08,103.0,9742
2019-02-11,100.15,16507
2019-02-12,96.9,18582
2019-02-13,96.65,10425
2019-02-14,94.25,15320
2019-02-15,94.5,84774
2019-02-18,91.95,10374
2019-02-19,92.65,16023
2019-02-20,93.05,23303
2019-02-21,94.35,17670
2019-02-22,97.4,18359
2019-02-25,96.8,15038
2019-02-26,100.6,31177
2019-02-27,104.15,28268
2019-02-28,106.9,15837
2019-03-01,114.95,29825
2019-03-05,120.3,24843
2019-03-06,119.0,32082
2019-03-07,116.35,13259
2019-03-08,121.9,165694
2019-03-11,120.1,36903
2019-03-12,118.85,44632
2019-03-13,122.9,186971
2019-03-14,126.35,72670
2019-03-15,126.85,40769
2019-03-18,129.6,156645
2019-03-19,127.45,26210
2019-03-20,123.2,18124
2019-03-22,123.0,21132
2019-03-25,114.25,47165
2019-03-26,118.6,28079
2019-03-27,118.85,46386
2019-03-28,116.6,17626
2019-03-29,115.3,42293
2019-04-01,119.2,20829
2019-04-02,126.0,293257
2019-04-03,125.1,45710
2019-04-04,120.85,12343
2019-04-05,123.05,26598
2019-04-08,120.95,12633
2019-04-09,119.65,8031
2019-04-10,124.6,115850
2019-04-11,124.9,16525
2019-04-12,128.5,76572
2019-04-15,131.35,167642
2019-04-16,129.45,73179
2019-04-18,123.85,20811
2019-04-22,120.7,20553
2019-04-23,121.0,11863
2019-04-24,122.15,8627
2019-04-25,126.1,54590
2019-04-26,125.35,40510
2019-04-30,119.75,15138
2019-05-02,120.5,10577
2019-05-03,119.3,11229
2019-05-06,118.8,3588
2019-05-07,115.45,9534
2019-05-08,111.25,13641
2019-05-09,110.0,8185
2019-05-10,110.75,9528
2019-05-13,106.95,28286
2019-05-14,107.3,15428
2019-05-15,102.45,13824
2019-05-16,103.8,9917
2019-05-17,104.45,13381
2019-05-20,109.7,29067
2019-05-21,108.0,7730
2019-05-22,107.95,3297
2019-05-23,109.6,14834
2019-05-24,117.0,23233
2019-05-27,123.65,28330
2019-05-28,122.6,7454
2019-05-29,120.95,73653
2019-05-30,117.75,10559
2019-05-31,118.35,13118
2019-06-03,118.05,7501
2019-06-04,118.75,6545
2019-06-06,115.5,12084
2019-06-07,114.4,5086
2019-06-10,112.45,11538
2019-06-11,111.2,6907
2019-06-12,110.7,3625
2019-06-13,109.8,3507
2019-06-14,106.45,8001
2019-06-17,107.0,6730
2019-06-18,107.15,2831
2019-06-19,103.85,7391
2019-06-20,104.7,15440
2019-06-21,105.55,27722
2019-06-24,103.05,5002
2019-06-25,104.85,7529
2019-06-26,107.05,31238
2019-06-27,106.5,6105
2019-06-28,106.6,6058
2019-07-01,108.05,20570
2019-07-02,105.35,17364
2019-07-03,109.2,25412
2019-07-04,106.95,23207
2019-07-05,104.05,10446
2019-07-08,97.6,25147
2019-07-09,97.9,10803
2019-07-10,93.5,19696
2019-07-11,91.25,31482
2019-07-12,88.9,34514
2019-07-15,88.25,10987
2019-07-16,87.95,9841
2019-07-17,86.5,67910
2019-07-18,82.2,31961
2019-07-19,76.35,74093
2019-07-22,75.9,29911
2019-07-23,75.25,12735
2019-07-24,72.0,18203
2019-07-25,69.8,28468
2019-07-26,72.4,14154
2019-07-29,73.95,12753
2019-07-30,66.4,37878
2019-07-31,65.9,22963
2019-08-01,65.2,17002
2019-08-02,64.05,14323
2019-08-05,63.95,9966
2019-08-06,66.15,15087
2019-08-07,65.25,6672
2019-08-08,64.8,22354
2019-08-09,64.5,23990
2019-08-13,61.6,37139
2019-08-14,61.4,10855
2019-08-16,65.25,30435
2019-08-19,63.65,12285
2019-08-20,64.85,4436
2019-08-21,59.9,22282
2019-08-22,56.65,17409
2019-08-23,56.25,31114
2019-08-26,56.75,36120
2019-08-27,62.55,38241
2019-08-28,65.5,26876
2019-08-29,64.75,16849
2019-08-30,62.05,26061
2019-09-03,61.0,18664
2019-09-04,62.0,3316
2019-09-05,62.6,13554
2019-09-06,69.4,51465
2019-09-09,73.9,73241
2019-09-11,78.2,43514
2019-09-12,74.75,25995
2019-09-13,74.2,48804
2019-09-16,80.25,109013
2019-09-17,74.5,21826
2019-09-18,78.35,165173
2019-09-19,77.4,47606
2019-09-20,82.0,256804
2019-09-23,95.65,598661
2019-09-24,92.5,186843
2019-09-25,88.5,34041
2019-09-26,89.85,24828
2019-09-27,85.45,35344
2019-09-30,88.75,142740
2019-10-01,83.65,96373
2019-10-03,85.6,24704
2019-10-04,85.4,55635
2019-10-07,80.45,23666
2019-10-09,78.1,26139
2019-10-10,77.8,35401
2019-10-11,74.5,30399
2019-10-14,76.45,20532
2019-10-15,76.85,40072
2019-10-16,76.55,7383
2019-10-17,77.55,8513
2019-10-18,78.65,17587
2019-10-22,76.7,21959
2019-10-23,77.6,16971
2019-10-24,77.55,28297
2019-10-25,75.9,9693
2019-10-27,77.5,15085
2019-10-29,79.3,25067
2019-10-30,80.6,18522
2019-10-31,79.95,11125
2019-11-01,80.85,15930
2019-11-04,82.15,23143
2019-11-05,83.55,43828
2019-11-06,82.3,23153
2019-11-07,82.1,4532
2019-11-08,77.0,73657
2019-11-11,77.9,9492
2019-11-13,75.05,18221
2019-11-14,72.5,31695
2019-11-15,71.95,8103
2019-11-18,69.6,29747
2019-11-19,71.25,11124
2019-11-20,69.85,12937
2019-11-21,69.1,6484
2019-11-22,69.4,6883
2019-11-25,68.65,10987
2019-11-26,67.4,39197
2019-11-27,72.9,313898
2019-11-28,69.1,99928
2019-11-29,68.7,62712
2019-12-02,67.95,17142
2019-12-03,66.4,34219
2019-12-04,66.95,42319
2019-12-05,69.25,133169
2019-12-06,66.6,21441
2019-12-09,66.25,12879
2019-12-10,65.45,16450
2019-12-11,62.85,39744
2019-12-12,64.15,6581
2019-12-13,64.65,17335
2019-12-16,68.05,49452
2019-12-17,73.2,138696
2019-12-18,78.1,697507
2019-12-19,73.75,41814
2019-12-20,70.65,34939
2019-12-23,70.4,15402
2019-12-24,71.15,41256
2019-12-26,69.05,23686
2019-12-27,71.15,64320
2019-12-30,69.75,32914
2019-12-31,70.55,33629
