Date,Close,Volume
2019-01-01,293.75,13877
2019-01-02,285.1,6039
2019-01-03,280.85,25778
2019-01-04,280.8,3031
2019-01-07,285.7,8449
2019-01-08,292.5,26439
2019-01-09,289.7,9104
2019-01-10,282.35,1802
2019-01-11,283.35,3969
2019-01-14,283.8,15241
2019-01-15,284.75,6762
2019-01-16,285.05,8343
2019-01-17,287.75,43363
2019-01-18,285.0,4107
2019-01-21,285.05,3613
2019-01-22,279.0,8720
2019-01-23,282.6,3684
2019-01-24,280.0,3787
2019-01-25,277.85,2373
2019-01-28,273.9,9376
2019-01-29,266.75,4592
2019-01-30,266.5,1559
2019-01-31,279.8,4250
2019-02-01,267.65,3311
2019-02-04,250.4,18266
2019-02-05,273.85,50074
2019-02-06,273.2,61678
2019-02-07,274.05,20491
2019-02-08,285.05,56069
2019-02-11,243.5,101605
2019-02-12,245.05,48110
2019-02-13,239.95,19703
2019-02-14,236.85,48288
2019-02-15,232.0,44102
2019-02-18,229.1,7215
2019-02-19,238.15,22952
2019-02-20,233.8,20119
2019-02-21,232.0,16708
2019-02-22,230.05,4955
2019-02-25,229.25,5637
2019-02-26,225.1,3281
2019-02-27,226.5,8305
2019-02-28,225.8,4993
2019-03-01,226.2,18251
2019-03-05,231.3,20127
2019-03-06,231.5,19196
2019-03-07,231.05,7440
2019-03-08,228.75,8249
2019-03-11,228.65,11943
2019-03-12,229.2,10700
2019-03-13,226.4,4645
2019-03-14,225.0,12911
2019-03-15,224.9,5075
2019-03-18,228.85,60820
2019-03-19,228.05,30277
2019-03-20,198.5,229787
2019-03-22,212.45,111408
2019-03-25,214.3,16867
2019-03-26,220.7,22692
2019-03-27,213.8,70576
2019-03-28,220.6,19732
2019-03-29,226.5,30955
2019-04-01,225.55,7665
2019-04-02,218.6,12498
2019-04-03,213.75,15636
2019-04-04,209.35,21668
2019-04-05,208.75,8424
2019-04-08,205.35,16270
2019-04-09,209.8,28247
2019-04-10,210.25,39832
2019-04-11,217.95,14836
2019-04-12,221.2,38665
2019-04-15,222.5,6537
2019-04-16,228.4,43442
2019-04-18,217.85,48001
2019-04-22,212.9,32135
2019-04-23,214.15,26321
2019-04-24,213.2,28829
2019-04-25,210.3,53237
2019-04-26,211.6,33929
2019-04-30,215.6,34128
2019-05-02,214.5,30265
2019-05-03,203.55,62620
2019-05-06,203.0,59766
2019-05-07,197.7,61110
2019-05-08,198.25,50324
2019-05-09,189.65,53281
2019-05-10,196.1,38754
2019-05-13,186.7,74232
2019-05-14,185.6,37066
2019-05-15,189.3,103238
2019-05-16,187.35,30670
2019-05-17,186.8,25561
2019-05-20,189.7,44672
2019-05-21,190.35,50283
2019-05-22,190.1,29219
2019-05-23,176.55,84393
2019-05-24,184.85,42045
2019-05-27,185.5,161443
2019-05-28,177.8,130944
2019-05-29,194.85,519508
2019-05-30,194.1,143085
2019-05-31,188.7,41889
2019-06-03,193.9,66103
2019-06-04,194.2,47397
2019-06-06,189.15,36716
2019-06-07,188.8,30020
2019-06-10,185.05,38506
2019-06-11,181.1,49707
2019-06-12,178.9,17417
2019-06-13,176.55,27986
2019-06-14,174.4,16815
2019-06-17,172.05,5208
2019-06-18,167.95,15973
2019-06-19,157.35,17596
2019-06-20,150.95,19700
2019-06-21,148.45,9530
2019-06-24,146.0,8131
2019-06-25,145.75,6530
2019-06-26,143.9,5594
2019-06-27,172.65,48394
2019-06-28,188.3,240745
