Date,Close,Volume
2019-01-01,315.05,12930
2019-01-02,310.85,3198
2019-01-03,309.7,1287
2019-01-04,304.2,8480
2019-01-07,300.3,11669
2019-01-08,298.25,9522
2019-01-09,286.15,329658
2019-01-10,284.6,9427
2019-01-11,278.45,5898
2019-01-14,272.4,3678
2019-01-15,273.7,6710
2019-01-16,269.35,11544
2019-01-17,259.05,10948
2019-01-18,258.95,63612
2019-01-21,257.5,11633
2019-01-22,252.6,10445
2019-01-23,249.9,10885
2019-01-24,243.85,6958
2019-01-25,241.7,18279
2019-01-28,235.15,14153
2019-01-29,233.0,4119
2019-01-30,239.0,21810
2019-01-31,278.3,289631
2019-02-01,287.25,42492
2019-02-04,285.25,33103
2019-02-05,279.5,54777
2019-02-06,283.3,35553
2019-02-07,290.9,40805
2019-02-08,285.25,24948
2019-02-11,272.1,4595
2019-02-12,265.6,5897
2019-02-13,256.95,1781
2019-02-14,268.75,4747
2019-02-15,268.6,7987
2019-02-18,270.45,5677
2019-02-19,272.5,3758
2019-02-20,267.3,3577
2019-02-21,267.05,3161
2019-02-22,267.0,3998
2019-02-25,274.35,5636
2019-02-26,268.15,99353
2019-02-27,267.6,5857
2019-02-28,274.1,7134
2019-03-01,287.1,8107
2019-03-05,298.6,11616
2019-03-06,294.1,10279
2019-03-07,297.3,5436
2019-03-08,294.85,10108
2019-03-11,300.6,8951
2019-03-12,295.05,15769
2019-03-13,286.6,2705
2019-03-14,281.9,13765
2019-03-15,279.5,30231
2019-03-18,271.7,47962
2019-03-19,275.6,13455
2019-03-20,279.95,308554
2019-03-22,276.7,99241
2019-03-25,274.45,7526
2019-03-26,267.75,151282
2019-03-27,264.7,10946
2019-03-28,263.65,63924
2019-03-29,263.05,245270
2019-04-01,263.05,29599
2019-04-02,263.5,8934
2019-04-03,260.55,6054
2019-04-04,259.55,7346
2019-04-05,260.35,22417
2019-04-08,259.45,5632
2019-04-09,253.75,303008
2019-04-10,255.5,6614
2019-04-11,255.85,17107
2019-04-12,252.3,552400
2019-04-15,259.9,67891
2019-04-16,263.2,171584
2019-04-18,263.1,17431
2019-04-22,270.0,125897
2019-04-23,270.9,24553
2019-04-24,270.15,60653
2019-04-25,270.45,9761
2019-04-26,270.25,13985
2019-04-30,268.4,15881
2019-05-02,277.8,69448
2019-05-03,280.0,198222
2019-05-06,274.85,3599
2019-05-07,270.1,8215
2019-05-08,266.9,7530
2019-05-09,269.8,5827
2019-05-10,274.9,7706
2019-05-13,277.05,9314
2019-05-14,280.65,14361
2019-05-15,284.85,13717
2019-05-16,288.75,38520
2019-05-17,285.1,5412
2019-05-20,295.6,8133
2019-05-21,289.15,7140
2019-05-22,284.95,1437
2019-05-23,287.75,10897
2019-05-24,291.05,4116
2019-05-27,304.9,72381
2019-05-28,297.55,11305
2019-05-29,298.45,8698
2019-05-30,295.65,2361
2019-05-31,298.55,17542
2019-06-03,300.3,7297
2019-06-04,298.4,2988
2019-06-06,298.05,7024
2019-06-07,289.5,4083
2019-06-10,286.55,3886
2019-06-11,280.75,7398
2019-06-12,279.25,5985
2019-06-13,280.6,6793
2019-06-14,281.1,4547
2019-06-17,279.35,14892
2019-06-18,280.65,4576
2019-06-19,278.05,13331
2019-06-20,278.55,6379
2019-06-21,278.25,2138
2019-06-24,281.7,14724
2019-06-25,281.55,4111
2019-06-26,277.95,3590
2019-06-27,280.7,96815
2019-06-28,281.75,3648
2019-07-01,282.7,2618
2019-07-02,285.45,5651
2019-07-03,288.9,21304
2019-07-04,290.6,4776
2019-07-05,289.8,15566
2019-07-08,284.7,8952
2019-07-09,284.05,10955
2019-07-10,284.2,4313
2019-07-11,280.95,6709
2019-07-12,284.4,2324
2019-07-15,286.85,1460
2019-07-16,285.05,4193
2019-07-17,285.0,6177
2019-07-18,282.2,11272
2019-07-19,275.15,41102
2019-07-22,280.05,13262
2019-07-23,275.0,10976
2019-07-24,269.4,2591
2019-07-25,269.7,12169
2019-07-26,268.45,1713
2019-07-29,262.0,30880
2019-07-30,267.0,4995
2019-07-31,264.65,15388
2019-08-01,260.45,5976
2019-08-02,261.8,9954
2019-08-05,245.4,37048
2019-08-06,251.7,5605
2019-08-07,248.2,6056
2019-08-08,249.55,12136
2019-08-09,250.6,2814
2019-08-13,239.0,8259
2019-08-14,236.45,3285
2019-08-16,233.0,1157
2019-08-19,236.15,951
2019-08-20,239.25,1249
2019-08-21,238.5,8892
2019-08-22,235.55,5065
2019-08-23,233.65,5233
2019-08-26,242.55,2117
2019-08-27,239.05,3665
2019-08-28,239.0,4190
2019-08-29,244.8,2825
2019-08-30,248.55,9329
2019-09-03,246.55,4337
2019-09-04,257.55,7630
2019-09-05,256.95,4949
2019-09-06,258.4,2805
2019-09-09,258.6,4448
2019-09-11,258.2,1567
2019-09-12,253.55,4746
2019-09-13,257.65,769
2019-09-16,269.65,5379
2019-09-17,254.8,66048
2019-09-18,246.0,4260
2019-09-19,245.95,2543
2019-09-20,253.5,11826
2019-09-23,264.25,15074
2019-09-24,262.75,3174
2019-09-25,258.15,204211
2019-09-26,255.6,20494
2019-09-27,246.55,5719
2019-09-30,241.9,7114
2019-10-01,230.25,19841
2019-10-03,233.55,53056
2019-10-04,233.7,26403
2019-10-07,230.3,3202
2019-10-09,236.0,22402
2019-10-10,226.2,1141
2019-10-11,228.15,1560
2019-10-14,230.75,3028
2019-10-15,229.95,1472
2019-10-16,230.05,1948
2019-10-17,230.25,2051
2019-10-18,235.5,3618
2019-10-22,233.0,9200
2019-10-23,237.4,7017
2019-10-24,234.65,1634
2019-10-25,234.45,1152
2019-10-27,236.7,917
