Date,Close,Volume
2019-01-01,111.95,7024
2019-01-02,110.9,6276
2019-01-03,111.85,9180
2019-01-04,108.55,11249
2019-01-07,110.35,31816
2019-01-08,107.2,65248
2019-01-09,108.75,11636
2019-01-10,106.05,9038
2019-01-11,106.1,6398
2019-01-14,106.95,3408
2019-01-15,104.75,14124
2019-01-16,105.0,13114
2019-01-17,104.9,5663
2019-01-18,105.0,16845
2019-01-21,104.35,25052
2019-01-22,102.15,40873
2019-01-23,98.05,17840
2019-01-24,98.85,21110
2019-01-25,97.5,9212
2019-01-28,95.35,33303
2019-01-29,94.7,16142
2019-01-30,95.65,16046
2019-01-31,94.25,22531
2019-02-01,97.55,8175
2019-02-04,99.75,25812
2019-02-05,95.0,28478
2019-02-06,93.2,24246
2019-02-07,90.6,34117
2019-02-08,87.85,35319
2019-02-11,87.55,60443
2019-02-12,85.35,13594
2019-02-13,86.5,11690
2019-02-14,86.35,11060
2019-02-15,84.95,17783
2019-02-18,83.35,53478
2019-02-19,84.3,7852
2019-02-20,84.2,6232
2019-02-21,94.5,13075
2019-02-22,92.9,28456
2019-02-25,94.0,7175
2019-02-26,94.8,8828
2019-02-27,92.65,10883
2019-02-28,93.0,5649
2019-03-01,94.4,78906
2019-03-05,98.05,274054
2019-03-06,98.95,125613
2019-03-07,98.0,362965
2019-03-08,104.65,123619
2019-03-11,111.6,108699
2019-03-12,113.3,53266
2019-03-13,110.65,59544
2019-03-14,107.6,33810
2019-03-15,104.45,20210
2019-03-18,103.95,38427
2019-03-19,101.85,29333
2019-03-20,102.75,18537
2019-03-22,100.05,117747
2019-03-25,100.35,18976
2019-03-26,100.4,54732
2019-03-27,102.95,37823
2019-03-28,106.1,132166
2019-03-29,111.15,32269
2019-04-01,115.85,52172
2019-04-02,121.25,116887
2019-04-03,115.4,22109
2019-04-04,116.1,13634
2019-04-05,117.45,7240
2019-04-08,116.7,12861
2019-04-09,120.05,65711
2019-04-10,116.55,8919
2019-04-11,114.25,19817
2019-04-12,120.0,31284
2019-04-15,131.75,216918
2019-04-16,134.8,78370
2019-04-18,129.1,16391
2019-04-22,125.0,18262
2019-04-23,125.65,7278
2019-04-24,128.25,236768
2019-04-25,130.3,12189
2019-04-26,130.6,10024
2019-04-30,130.35,62779
2019-05-02,127.45,16563
2019-05-03,127.0,4600
2019-05-06,121.45,5825
2019-05-07,119.8,13694
2019-05-08,120.3,2712
2019-05-09,124.55,4468
2019-05-10,121.25,5447
2019-05-13,117.95,10448
2019-05-14,113.45,19287
2019-05-15,114.95,7039
2019-05-16,116.85,8512
2019-05-17,116.1,7436
2019-05-20,120.45,11095
2019-05-21,118.6,6720
2019-05-22,117.55,10275
2019-05-23,118.7,17601
2019-05-24,117.5,19562
2019-05-27,126.5,49865
2019-05-28,130.75,19251
2019-05-29,129.1,11909
2019-05-30,126.05,20563
2019-05-31,123.6,3370
2019-06-03,126.85,13161
2019-06-04,128.35,4331
2019-06-06,123.05,5385
2019-06-07,123.65,7096
2019-06-10,118.35,5948
2019-06-11,117.75,3840
2019-06-12,118.7,11861
2019-06-13,116.45,8639
2019-06-14,114.65,38062
2019-06-17,108.75,26247
2019-06-18,110.5,13385
2019-06-19,108.75,13591
2019-06-20,106.15,19464
2019-06-21,110.6,10732
2019-06-24,105.55,11633
2019-06-25,108.15,8443
2019-06-26,113.45,6755
2019-06-27,115.8,9369
2019-06-28,118.7,16555
2019-07-01,114.55,6240
2019-07-02,113.35,6699
2019-07-03,112.15,11090
2019-07-04,111.3,14827
2019-07-05,111.55,11726
2019-07-08,110.85,20174
2019-07-09,109.55,6654
2019-07-10,108.75,8493
2019-07-11,108.65,7371
2019-07-12,109.85,3638
2019-07-15,109.1,16960
2019-07-16,117.2,11027
2019-07-17,112.35,12385
2019-07-18,110.5,6211
2019-07-19,107.55,12009
2019-07-22,108.6,17396
2019-07-23,108.95,12898
2019-07-24,105.6,9314
2019-07-25,111.7,28931
2019-07-26,109.55,6368
2019-07-29,106.15,13035
2019-07-30,99.4,23198
2019-07-31,98.45,13428
2019-08-01,98.95,13667
2019-08-02,98.0,17268
2019-08-05,92.3,26923
2019-08-06,94.05,4889
2019-08-07,94.45,11908
2019-08-08,93.9,12377
2019-08-09,94.6,122548
2019-08-13,93.2,14296
2019-08-14,95.0,11743
2019-08-16,97.25,40093
2019-08-19,94.55,15375
2019-08-20,94.2,9974
2019-08-21,93.85,16725
2019-08-22,90.6,28866
2019-08-23,87.35,20131
2019-08-26,89.05,12047
2019-08-27,92.8,16438
2019-08-28,89.7,18257
2019-08-29,89.1,8683
2019-08-30,88.1,5982
2019-09-03,87.65,10105
2019-09-04,87.2,22041
2019-09-05,88.45,6177
2019-09-06,87.6,13070
2019-09-09,92.9,28113
2019-09-11,93.85,29919
2019-09-12,92.8,18834
2019-09-13,93.8,33460
2019-09-16,90.95,34028
2019-09-17,89.85,14498
2019-09-18,88.45,4904
2019-09-19,87.95,15317
2019-09-20,87.95,108032
2019-09-23,96.25,88776
2019-09-24,96.8,50862
2019-09-25,96.3,82647
2019-09-26,96.95,18401
2019-09-27,93.25,10566
2019-09-30,90.65,33061
2019-10-01,88.35,13795
2019-10-03,84.1,23477
2019-10-04,80.7,56651
2019-10-07,79.95,38433
2019-10-09,78.25,52886
2019-10-10,79.1,21499
2019-10-11,74.95,31374
2019-10-14,70.95,55196
2019-10-15,70.6,28383
2019-10-16,72.85,33812
2019-10-17,70.05,35483
2019-10-18,74.75,18330
2019-10-22,76.95,43957
2019-10-23,75.0,22641
2019-10-24,76.55,53049
2019-10-25,74.7,5649
2019-10-27,79.0,8291
2019-10-29,79.55,8959
2019-10-30,78.8,28537
2019-10-31,77.95,17857
2019-11-01,77.7,17320
2019-11-04,78.4,34101
2019-11-05,74.0,52517
2019-11-06,73.5,17107
2019-11-07,74.05,20897
2019-11-08,73.4,10448
2019-11-11,72.6,31586
2019-11-13,76.85,215194
2019-11-14,79.85,68486
2019-11-15,85.1,75951
2019-11-18,83.75,23996
2019-11-19,81.4,9533
2019-11-20,84.9,26231
2019-11-21,84.8,62595
2019-11-22,83.55,35849
2019-11-25,83.25,34815
2019-11-26,82.0,29064
2019-11-27,83.0,33846
2019-11-28,82.9,56786
2019-11-29,80.9,17422
2019-12-02,82.9,23189
2019-12-03,77.6,42818
2019-12-04,75.05,50682
2019-12-05,77.4,11881
2019-12-06,76.2,45787
2019-12-09,77.2,15775
2019-12-10,76.3,7513
2019-12-11,74.85,24177
2019-12-12,74.45,24695
2019-12-13,74.95,59577
2019-12-16,76.0,13743
2019-12-17,76.6,4995
2019-12-18,78.0,16138
2019-12-19,74.95,56480
2019-12-20,76.2,2722
2019-12-23,75.95,11897
2019-12-24,76.7,10409
2019-12-26,75.1,50157
2019-12-27,81.05,47600
