Date,Close,Volume
2019-01-01,101.2,33168
2019-01-02,100.3,54449
2019-01-03,99.5,38349
2019-01-04,100.25,40821
2019-01-07,100.05,39676
2019-01-08,99.35,28074
2019-01-09,99.1,47267
2019-01-10,98.75,27711
2019-01-11,99.05,22966
2019-01-14,97.45,31530
2019-01-15,97.3,41144
2019-01-16,97.65,24714
2019-01-17,97.1,19124
2019-01-18,96.3,19432
2019-01-21,95.25,32580
2019-01-22,93.65,34055
2019-01-23,92.9,22801
2019-01-24,92.35,37279
2019-01-25,90.85,29543
2019-01-28,88.6,31396
2019-01-29,88.75,22801
2019-01-30,92.35,81948
2019-01-31,92.1,12978
2019-02-01,91.55,15831
2019-02-04,88.65,31114
2019-02-05,85.65,34406
2019-02-06,84.65,25036
2019-02-07,88.75,44756
2019-02-08,92.0,101968
2019-02-11,88.1,41734
2019-02-12,88.05,16020
2019-02-13,87.35,19220
2019-02-14,85.25,55729
2019-02-15,83.25,27565
2019-02-18,82.3,31358
2019-02-19,86.95,71459
2019-02-20,84.35,46337
2019-02-21,85.9,26999
2019-02-22,89.3,126196
2019-02-25,88.95,29776
2019-02-26,88.95,38393
2019-02-27,88.85,46734
2019-02-28,96.55,272243
2019-03-01,97.7,55272
2019-03-05,105.05,193281
2019-03-06,105.1,115654
2019-03-07,104.85,142680
2019-03-08,101.65,32168
2019-03-11,102.55,69518
2019-03-12,106.0,115433
2019-03-13,103.6,27869
2019-03-14,108.05,194855
2019-03-15,112.05,306748
2019-03-18,108.4,79747
2019-03-19,106.45,43097
2019-03-20,107.45,53064
2019-03-22,104.8,71187
2019-03-25,101.65,57213
2019-03-26,103.1,41356
2019-03-27,101.85,104314
2019-03-28,102.05,73882
2019-03-29,112.3,903689
2019-04-01,111.5,166136
2019-04-02,111.3,111235
2019-04-03,107.15,142007
2019-04-04,105.4,67415
2019-04-05,106.55,60151
2019-04-08,104.4,56088
2019-04-09,103.7,113781
2019-04-10,103.5,47773
2019-04-11,103.4,38443
2019-04-12,104.8,106289
2019-04-15,103.35,59533
2019-04-16,105.0,172396
2019-04-18,103.95,55766
2019-04-22,103.75,89685
2019-04-23,103.75,34870
2019-04-24,103.5,71552
2019-04-25,101.75,53374
2019-04-26,101.1,47495
2019-04-30,100.15,64296
2019-05-02,97.95,55238
2019-05-03,95.75,48681
2019-05-06,94.85,28268
2019-05-07,93.05,33928
2019-05-08,96.55,109940
2019-05-09,93.9,23399
2019-05-10,92.4,32288
2019-05-13,92.0,122248
2019-05-14,93.3,63005
2019-05-15,90.5,25694
2019-05-16,92.15,62109
2019-05-17,90.8,38320
2019-05-20,103.8,211540
2019-05-21,101.95,92222
2019-05-22,102.4,76009
2019-05-23,102.95,127970
2019-05-24,102.9,42333
2019-05-27,105.05,150987
2019-05-28,104.9,45129
2019-05-29,103.1,24488
2019-05-30,101.25,34245
2019-05-31,99.3,59613
2019-06-03,99.3,40839
2019-06-04,99.1,34978
2019-06-06,97.05,40417
2019-06-07,97.3,62111
2019-06-10,97.3,48433
2019-06-11,100.25,182609
2019-06-12,99.5,422189
2019-06-13,97.75,34061
2019-06-14,96.4,36524
2019-06-17,92.6,70246
2019-06-18,89.4,98264
2019-06-19,88.35,81518
2019-06-20,91.95,58359
2019-06-21,90.4,24559
2019-06-24,90.05,36114
2019-06-25,90.15,33311
2019-06-26,90.3,35237
2019-06-27,90.0,26300
2019-06-28,95.65,130956
2019-07-01,95.45,56576
2019-07-02,95.2,30695
2019-07-03,97.25,105641
2019-07-04,95.25,29914
2019-07-05,94.25,56474
2019-07-08,91.1,39470
2019-07-09,91.1,34849
2019-07-10,91.9,48257
2019-07-11,91.4,20980
2019-07-12,90.8,42512
2019-07-15,89.8,33957
2019-07-16,88.85,62207
2019-07-17,89.9,41295
2019-07-18,88.85,27880
2019-07-19,86.85,26937
2019-07-22,85.95,20583
2019-07-23,83.8,77136
2019-07-24,80.85,69996
2019-07-25,81.35,26956
2019-07-26,82.15,50337
2019-07-29,80.55,36585
2019-07-30,78.1,39930
2019-07-31,77.7,46443
2019-08-01,76.0,35025
2019-08-02,75.1,32534
2019-08-05,73.8,39314
2019-08-06,75.85,40108
2019-08-07,77.0,30770
2019-08-08,75.15,33594
2019-08-09,75.9,33010
2019-08-13,76.2,28204
2019-08-14,74.55,23662
2019-08-16,75.05,29778
2019-08-19,75.75,48615
2019-08-20,75.45,23570
2019-08-21,74.85,34805
2019-08-22,72.2,31120
2019-08-23,71.3,48567
2019-08-26,71.25,49958
2019-08-27,77.45,75736
2019-08-28,77.85,47168
2019-08-29,75.6,32723
2019-08-30,76.85,17264
2019-09-03,74.3,19498
2019-09-04,74.25,11356
2019-09-05,74.95,14118
2019-09-06,76.35,21122
2019-09-09,77.25,25107
2019-09-11,80.65,49174
2019-09-12,81.0,31490
2019-09-13,81.75,14033
2019-09-16,82.6,27955
2019-09-17,79.8,15991
2019-09-18,78.6,18439
2019-09-19,76.3,15033
2019-09-20,81.45,51593
2019-09-23,85.7,113044
2019-09-24,83.65,122834
2019-09-25,83.9,148578
2019-09-26,82.4,38996
2019-09-27,79.95,65886
2019-09-30,78.65,29599
2019-10-01,74.6,76480
2019-10-03,75.05,19157
2019-10-04,74.1,13990
2019-10-07,70.95,47781
2019-10-09,69.9,82142
2019-10-10,68.9,41228
2019-10-11,69.15,26336
2019-10-14,69.95,16648
2019-10-15,67.8,58785
2019-10-16,69.3,50746
2019-10-17,71.55,69287
2019-10-18,73.25,29528
2019-10-22,71.4,59176
2019-10-23,71.75,30937
2019-10-24,70.75,27564
2019-10-25,70.65,30468
2019-10-27,71.4,7536
2019-10-29,72.3,45632
