Date,Close,Volume
2019-01-08,4.9,1100
2019-01-09,4.7,1182
2019-01-10,4.5,1523
2019-01-11,4.45,4709
2019-01-14,4.35,504
2019-01-15,4.55,517
2019-01-16,4.55,3056
2019-01-17,4.55,308
2019-01-18,4.7,3397
2019-01-21,4.5,2778
2019-01-22,4.4,955
2019-01-23,4.3,1880
2019-01-24,4.5,2470
2019-01-25,4.3,1035
2019-01-28,4.5,700
2019-01-29,4.3,715
2019-01-31,4.45,2106
2019-02-01,4.5,796
2019-02-04,4.35,3004
2019-02-05,4.15,903
2019-02-06,4.1,3005
2019-02-07,4.0,795
2019-02-08,4.0,954
2019-02-11,3.65,7500
2019-02-12,3.45,635
2019-02-13,3.5,4251
2019-02-15,3.85,3348
2019-02-18,3.65,1835
2019-02-20,3.55,810
2019-02-21,3.6,123
2019-02-25,3.65,742
2019-02-26,3.5,3550
2019-02-27,3.55,932
2019-02-28,3.55,850
2019-03-01,3.8,102
2019-03-05,3.95,303
2019-03-06,4.1,152
2019-03-07,3.95,203
2019-03-08,4.1,334
2019-03-11,4.25,2417
2019-03-12,4.45,3563
2019-03-13,4.65,3841
2019-03-14,4.55,1531
2019-03-15,4.55,1365
2019-03-18,4.55,174
2019-03-19,4.35,4277
2019-03-20,4.45,637
2019-03-22,4.25,443
2019-03-25,4.1,3110
2019-03-26,4.25,1502
2019-03-27,4.05,1729
2019-03-28,4.1,2304
2019-03-29,3.95,2930
2019-04-01,3.95,2598
2019-04-02,4.1,3000
2019-04-03,4.3,721
2019-04-04,4.2,2592
2019-04-05,4.2,1021
2019-04-08,4.2,805
2019-04-09,4.3,692
2019-04-11,4.1,20
2019-04-12,4.1,271
2019-04-15,3.95,122
2019-04-16,3.85,253
2019-04-18,4.0,1
2019-04-22,4.0,282
2019-04-23,4.15,1640
2019-04-24,4.0,1455
2019-04-25,4.05,150
2019-04-26,3.85,9106
2019-04-30,4.0,801
2019-05-02,3.8,5872
2019-05-03,3.65,3950
2019-05-07,3.5,6074
2019-05-08,3.6,2295
2019-05-09,3.5,301
2019-05-10,3.55,162
2019-05-13,3.45,460
2019-05-14,3.3,677
2019-05-15,3.45,7870
2019-05-16,3.4,6351
2019-05-17,3.55,3655
2019-05-21,3.7,159
2019-05-22,3.75,1023
2019-05-23,3.75,120
2019-05-24,3.6,3306
2019-05-27,3.45,3717
2019-05-28,3.3,5502
