Date,Close,Volume
2019-01-01,147.25,14773
2019-01-02,145.55,8304
2019-01-03,144.4,5188
2019-01-04,145.0,5969
2019-01-07,142.85,8388
2019-01-08,144.85,7636
2019-01-09,145.4,13046
2019-01-10,142.8,8741
2019-01-11,141.9,7453
2019-01-14,142.35,13392
2019-01-15,141.8,21720
2019-01-16,142.9,13721
2019-01-17,141.5,7684
2019-01-18,140.0,4049
2019-01-21,137.5,9213
2019-01-22,132.3,15049
2019-01-23,132.25,4354
2019-01-24,128.0,20380
2019-01-25,124.7,9590
2019-01-28,120.35,26224
2019-01-29,118.65,14592
2019-01-30,118.25,14413
2019-01-31,123.35,29922
2019-02-01,120.9,18045
2019-02-04,118.5,3781
2019-02-05,117.8,17458
2019-02-06,116.0,21207
2019-02-07,137.4,60692
2019-02-08,141.15,128758
2019-02-11,135.25,21344
2019-02-12,131.6,14034
2019-02-13,130.55,12836
2019-02-14,126.15,16609
2019-02-15,120.45,35684
2019-02-18,116.45,35388
2019-02-19,120.65,17364
2019-02-20,123.8,15406
2019-02-21,124.9,6522
2019-02-22,129.8,12797
2019-02-25,131.3,10944
2019-02-26,124.9,17253
2019-02-27,123.6,20189
2019-02-28,125.75,6116
2019-03-01,150.3,167102
2019-03-05,152.75,126037
2019-03-06,155.6,43040
2019-03-07,152.2,26291
2019-03-08,150.05,11657
2019-03-11,157.35,56698
2019-03-12,161.15,46977
2019-03-13,157.3,28174
2019-03-14,155.8,14534
2019-03-15,155.9,12113
2019-03-18,151.3,15331
2019-03-19,158.75,62959
2019-03-20,154.5,26343
2019-03-22,152.35,10308
2019-03-25,147.95,19628
2019-03-26,148.4,7631
2019-03-27,151.1,26488
2019-03-28,151.0,24138
2019-03-29,149.4,12923
2019-04-01,155.2,21073
2019-04-02,154.85,16323
2019-04-03,154.2,16015
2019-04-04,151.85,8788
2019-04-05,154.35,12894
2019-04-08,156.0,19056
2019-04-09,159.2,30724
2019-04-10,155.2,14304
2019-04-11,153.85,15079
2019-04-12,152.8,4639
2019-04-15,153.35,7628
2019-04-16,154.75,13601
2019-04-18,150.15,22871
2019-04-22,148.85,18183
2019-04-23,149.75,17004
2019-04-24,149.25,13200
2019-04-25,145.3,14903
2019-04-26,144.85,14815
2019-04-30,144.35,18278
2019-05-02,146.45,6580
2019-05-03,149.45,13729
2019-05-06,148.0,11633
2019-05-07,142.5,24983
2019-05-08,139.85,15851
2019-05-09,137.6,18162
2019-05-10,137.2,15791
2019-05-13,138.45,54789
2019-05-14,144.55,468403
2019-05-15,140.95,44223
2019-05-16,139.0,14326
2019-05-17,139.4,30011
2019-05-20,148.6,43007
2019-05-21,144.65,17560
2019-05-22,150.6,76349
2019-05-23,154.4,52561
2019-05-24,159.55,32584
2019-05-27,171.15,93359
2019-05-28,167.15,23928
2019-05-29,163.0,13607
2019-05-30,162.4,32839
2019-05-31,158.15,17669
2019-06-03,155.9,15656
2019-06-04,155.95,11781
2019-06-06,151.95,13149
2019-06-07,150.8,8246
2019-06-10,148.15,5770
2019-06-11,145.15,10636
2019-06-12,147.1,7406
2019-06-13,145.25,4605
2019-06-14,144.05,5726
2019-06-17,139.6,11387
2019-06-18,142.45,15988
2019-06-19,138.85,18735
2019-06-20,144.15,14209
2019-06-21,142.1,5215
2019-06-24,141.0,8848
2019-06-25,142.95,8776
2019-06-26,143.2,8028
2019-06-27,147.0,11814
