Date,Close,Volume
2019-01-01,42.9,5579
2019-01-02,43.5,5401
2019-01-03,43.55,11206
2019-01-04,42.8,2562
2019-01-07,42.65,1898
2019-01-08,41.95,826
2019-01-09,41.7,2731
2019-01-10,41.7,6102
2019-01-11,42.7,9510
2019-01-14,42.4,5312
2019-01-15,41.95,1248
2019-01-16,42.5,2378
2019-01-17,41.9,8998
2019-01-18,42.45,3890
2019-01-21,46.35,99097
2019-01-22,46.75,18229
2019-01-23,46.5,5129
2019-01-24,45.45,8767
2019-01-25,48.25,263127
2019-01-28,48.4,35293
2019-01-29,47.8,12068
2019-01-30,47.2,10619
2019-01-31,46.8,5891
2019-02-01,45.5,14275
2019-02-04,44.1,8615
2019-02-05,42.4,6536
2019-02-06,40.45,9221
2019-02-07,41.8,4317
2019-02-08,40.3,5161
2019-02-11,40.0,3691
2019-02-12,39.6,3887
2019-02-13,40.9,4879
2019-02-14,39.7,5460
2019-02-15,38.9,4468
2019-02-18,38.85,4495
2019-02-19,40.65,11879
2019-02-20,40.65,11160
2019-02-21,39.7,17842
2019-02-22,39.8,7688
2019-02-25,39.6,7620
2019-02-26,38.15,17685
2019-02-27,37.3,4869
2019-02-28,37.1,4883
2019-03-01,38.0,21067
2019-03-05,38.2,42909
2019-03-06,41.55,28780
2019-03-07,41.2,11913
2019-03-08,40.85,6414
2019-03-11,41.25,78425
2019-03-12,41.45,9557
2019-03-13,40.9,4219
2019-03-14,40.8,2565
2019-03-15,40.65,2567
2019-03-18,40.8,1815
2019-03-19,40.3,6824
2019-03-20,39.9,4701
2019-03-22,40.05,2383
2019-03-25,41.2,15745
2019-03-26,40.35,4808
2019-03-27,37.2,86764
2019-03-28,37.95,11009
2019-03-29,37.95,2883
2019-04-01,38.3,5215
2019-04-02,38.1,11808
2019-04-03,38.3,6438
2019-04-04,38.05,2499
2019-04-05,37.75,8144
2019-04-08,37.3,17906
2019-04-09,36.9,2493
2019-04-10,36.75,8061
2019-04-11,36.45,5157
2019-04-12,37.15,2179
2019-04-15,36.6,1576
2019-04-16,36.4,7484
2019-04-18,36.75,8292
2019-04-22,35.05,9024
2019-04-23,35.15,5008
2019-04-24,35.2,4841
2019-04-25,35.3,1938
2019-04-26,35.85,9156
2019-04-30,43.0,222177
2019-05-02,40.15,132934
2019-05-03,39.75,36772
2019-05-06,38.4,22735
2019-05-07,37.8,14825
2019-05-08,37.5,9099
2019-05-09,36.85,5395
2019-05-10,37.4,13230
2019-05-13,37.15,12187
2019-05-14,36.45,10676
2019-05-15,36.55,15333
2019-05-16,36.15,2957
2019-05-17,35.85,6324
2019-05-20,37.75,21746
2019-05-21,36.9,2691
2019-05-22,36.95,6679
2019-05-23,36.3,7869
2019-05-24,37.35,4401
2019-05-27,38.2,8137
2019-05-28,38.3,6168
2019-05-29,38.0,4336
2019-05-30,37.3,7642
2019-05-31,36.15,17335
2019-06-03,34.25,33339
2019-06-04,34.5,7347
2019-06-06,34.1,7175
2019-06-07,34.05,2664
2019-06-10,34.4,385
2019-06-11,33.5,4601
2019-06-12,33.2,4415
2019-06-13,33.45,5154
2019-06-14,32.7,2228
2019-06-17,31.95,6268
2019-06-18,30.8,7721
2019-06-19,29.55,38863
2019-06-20,28.85,6079
2019-06-21,28.6,2180
2019-06-24,28.5,3218
2019-06-25,28.6,5991
2019-06-26,29.95,39383
2019-06-27,35.75,221491
2019-06-28,33.85,39902
2019-07-01,30.75,15325
2019-07-02,30.3,15159
2019-07-03,30.25,3987
2019-07-04,31.75,6950
2019-07-05,30.6,4209
2019-07-08,28.8,12293
2019-07-09,28.35,36274
2019-07-10,27.75,9798
2019-07-11,28.05,7893
2019-07-12,27.6,2843
2019-07-15,27.7,17648
2019-07-16,27.7,1024
2019-07-17,27.4,1749
2019-07-18,26.75,2237
2019-07-19,24.0,27815
2019-07-22,23.4,5382
2019-07-23,23.45,2944
2019-07-24,21.6,26846
2019-07-25,22.2,13597
2019-07-26,26.6,36970
2019-07-29,25.2,39865
