Date,Close,Volume
2019-01-01,25.6,380029
2019-01-02,25.75,692721
2019-01-03,25.6,738031
2019-01-04,25.5,315306
2019-01-07,25.5,1851530
2019-01-08,25.55,534193
2019-01-09,25.1,2485015
2019-01-10,24.8,1985789
2019-01-11,25.35,2021000
2019-01-14,25.6,946243
2019-01-15,25.65,476010
2019-01-16,25.65,269942
2019-01-17,25.75,722620
2019-01-18,25.35,309014
2019-01-21,25.8,553394
2019-01-22,25.8,437422
2019-01-23,25.8,244484
2019-01-24,25.8,150205
2019-01-25,25.8,311349
2019-01-28,25.85,483879
2019-01-29,25.7,509902
2019-01-30,25.4,1008114
2019-01-31,24.2,3532394
2019-02-01,24.95,903485
2019-02-04,25.5,849619
2019-02-05,25.5,884764
2019-02-06,25.5,644612
2019-02-07,25.8,512077
2019-02-08,25.7,292484
2019-02-11,25.65,1503188
2019-02-12,25.65,373541
2019-02-13,25.7,369331
2019-02-14,25.55,733805
2019-02-15,25.25,1495467
2019-02-18,24.8,1771179
2019-02-19,24.5,658147
2019-02-20,25.1,847008
2019-02-21,24.65,493551
2019-02-22,24.45,1091997
2019-02-25,24.05,2974028
2019-02-26,23.7,1787055
2019-02-27,23.6,1204092
2019-02-28,22.5,5552095
2019-03-01,23.85,6206826
2019-03-05,24.0,925988
2019-03-06,24.1,908086
2019-03-07,24.7,24384506
2019-03-08,24.65,4041805
2019-03-11,24.4,1022334
2019-03-12,24.35,1099210
2019-03-13,24.2,596893
2019-03-14,24.15,617370
2019-03-15,24.45,1566525
2019-03-18,24.4,589498
2019-03-19,24.35,517621
2019-03-20,24.05,853919
2019-03-22,23.95,660831
2019-03-25,24.15,881103
2019-03-26,23.9,572916
2019-03-27,24.0,835743
2019-03-28,24.1,2109576
2019-03-29,24.2,2669263
2019-04-01,24.0,3112328
2019-04-02,24.05,1424774
2019-04-03,24.0,1403842
2019-04-04,24.05,1454561
2019-04-05,24.15,727227
2019-04-08,24.15,726027
2019-04-09,24.15,864345
2019-04-10,24.15,521597
2019-04-11,24.15,690367
2019-04-12,24.2,1826777
2019-04-15,24.25,604110
2019-04-16,24.35,1304306
2019-04-18,24.4,712197
2019-04-22,24.4,567176
2019-04-23,24.25,664070
2019-04-24,24.25,1858385
2019-04-25,23.35,3822348
2019-04-26,24.2,1243664
2019-04-30,24.05,605536
2019-05-02,24.0,1314449
2019-05-03,24.35,1453384
2019-05-06,23.9,461013
2019-05-07,24.0,658150
2019-05-08,24.0,823777
2019-05-09,24.05,445243
2019-05-10,24.0,348735
2019-05-13,24.0,611165
2019-05-14,24.0,488134
2019-05-15,24.0,487748
2019-05-16,24.2,1327850
2019-05-17,24.05,710228
2019-05-20,24.3,572542
2019-05-21,24.3,404035
2019-05-22,24.1,577259
2019-05-23,24.05,562790
2019-05-24,24.05,419582
2019-05-27,24.3,533656
2019-05-28,25.6,2029134
2019-05-29,25.35,748187
2019-05-30,25.55,8260418
2019-05-31,25.4,1462935
2019-06-03,25.25,729720
2019-06-04,25.4,913385
2019-06-06,25.5,2595807
2019-06-07,25.5,832894
2019-06-10,25.15,573287
2019-06-11,25.2,571581
2019-06-12,25.1,439674
2019-06-13,25.0,580014
2019-06-14,24.95,288252
2019-06-17,24.6,429095
2019-06-18,24.65,389221
2019-06-19,24.55,709376
2019-06-20,24.55,515705
2019-06-21,24.65,737050
2019-06-24,24.9,616819
2019-06-25,24.7,546876
2019-06-26,25.05,1969871
2019-06-27,24.6,4200629
2019-06-28,24.9,1119428
2019-07-01,24.15,1636383
2019-07-02,24.45,1606162
2019-07-03,24.35,973050
2019-07-04,24.6,628719
2019-07-05,24.65,2061271
2019-07-08,24.2,640991
2019-07-09,25.7,4381628
2019-07-10,25.95,2774234
2019-07-11,26.65,2012610
2019-07-12,26.9,10980842
2019-07-15,26.25,1184082
2019-07-16,26.15,444464
2019-07-17,25.85,399476
2019-07-18,25.4,522609
2019-07-19,24.65,1277232
2019-07-22,24.45,527780
2019-07-23,24.7,376360
2019-07-24,24.55,538662
2019-07-25,24.0,3353846
2019-07-26,24.05,1291464
2019-07-29,24.0,3214669
2019-07-30,24.05,3504839
2019-07-31,24.6,5042168
2019-08-01,24.5,1778433
2019-08-02,24.2,3568681
2019-08-05,24.05,2580072
2019-08-06,24.1,1720619
2019-08-07,24.4,2251899
2019-08-08,24.45,732692
2019-08-09,24.3,2050584
2019-08-13,24.4,1285223
2019-08-14,24.5,646484
2019-08-16,24.25,1043997
2019-08-19,24.25,929003
2019-08-20,24.4,1050186
2019-08-21,24.35,2109335
2019-08-22,24.2,1738843
2019-08-23,24.15,2162193
2019-08-26,24.2,1555186
2019-08-27,24.3,3193722
2019-08-28,24.1,2282692
2019-08-29,24.0,9371784
2019-08-30,24.6,2015352
2019-09-03,24.3,520761
2019-09-04,24.2,1008093
2019-09-05,24.8,1012138
2019-09-06,25.35,1838423
2019-09-09,25.2,732194
2019-09-11,25.3,834390
2019-09-12,25.6,2819057
2019-09-13,26.0,3486962
2019-09-16,26.0,1480102
2019-09-17,26.0,1317415
2019-09-18,26.0,757216
2019-09-19,25.1,693081
2019-09-20,26.25,3173779
2019-09-23,26.0,2583676
2019-09-24,24.7,2737684
2019-09-25,24.35,945744
2019-09-26,24.5,1088718
2019-09-27,24.5,718223
2019-09-30,24.25,2387949
2019-10-01,24.3,1035203
2019-10-03,23.9,1118380
2019-10-04,23.8,1881526
2019-10-07,23.95,754831
2019-10-09,24.05,736606
2019-10-10,24.0,507944
2019-10-11,23.95,632769
2019-10-14,24.25,2139555
2019-10-15,24.8,1068754
2019-10-16,24.55,753586
2019-10-17,24.2,906979
2019-10-18,25.65,5806433
2019-10-22,24.6,1614588
2019-10-23,24.95,618246
2019-10-24,24.85,964876
2019-10-25,24.9,301168
2019-10-27,25.15,149785
2019-10-29,24.85,755328
2019-10-30,24.85,1206426
2019-10-31,24.5,2080475
2019-11-01,24.7,720464
2019-11-04,24.5,3820653
2019-11-05,24.5,3328210
2019-11-06,24.5,1705368
2019-11-07,24.5,2746741
2019-11-08,24.5,1294274
2019-11-11,24.5,1730718
2019-11-13,24.55,5579424
2019-11-14,24.55,1246942
2019-11-15,24.5,2362237
2019-11-18,24.55,8628408
2019-11-19,24.55,688549
2019-11-20,24.65,1308128
2019-11-21,24.65,1006722
2019-11-22,24.65,506781
2019-11-25,24.8,1779296
2019-11-26,24.7,565474
2019-11-27,24.75,381696
2019-11-28,24.6,773523
2019-11-29,24.7,495714
2019-12-02,24.7,461094
2019-12-03,24.85,3553040
2019-12-04,24.85,1031923
2019-12-05,24.8,333481
2019-12-06,24.8,1164292
2019-12-09,24.7,347550
2019-12-10,24.55,471483
2019-12-11,24.6,580444
2019-12-12,24.9,3153057
2019-12-13,24.9,482461
2019-12-16,24.75,420349
2019-12-17,24.95,1007403
2019-12-18,24.8,1190667
2019-12-19,24.85,335908
2019-12-20,25.3,1183102
2019-12-23,24.7,1775423
2019-12-24,25.0,758497
2019-12-26,24.95,254370
2019-12-27,24.95,325508
2019-12-30,25.1,465451
2019-12-31,25.45,675788
