Date,Close,Volume
2019-01-01,544.6,74793
2019-01-02,533.9,45227
2019-01-03,526.3,24727
2019-01-04,529.95,36929
2019-01-07,525.5,51108
2019-01-08,522.7,24507
2019-01-09,522.35,83098
2019-01-10,517.05,38582
2019-01-11,513.0,35919
2019-01-14,515.65,85293
2019-01-15,528.55,84194
2019-01-16,534.05,53979
2019-01-17,534.95,191198
2019-01-18,519.95,109439
2019-01-21,521.6,43731
2019-01-22,521.1,416109
2019-01-23,522.25,60249
2019-01-24,524.55,53963
2019-01-25,520.05,34054
2019-01-28,510.5,74087
2019-01-29,503.65,240780
2019-01-30,530.65,58635
2019-01-31,527.9,45394
2019-02-01,526.9,68587
2019-02-04,522.15,29657
2019-02-05,518.8,25681
2019-02-06,524.6,37709
2019-02-07,533.15,48161
2019-02-08,533.6,380954
2019-02-11,519.1,59627
2019-02-12,512.7,48415
2019-02-13,511.1,23241
2019-02-14,505.25,100105
2019-02-15,517.0,107493
2019-02-18,500.45,67504
2019-02-19,500.05,86982
2019-02-20,509.2,31710
2019-02-21,510.15,29721
2019-02-22,509.55,24596
2019-02-25,510.65,40024
2019-02-26,510.0,46799
2019-02-27,511.85,45804
2019-02-28,518.95,113642
2019-03-01,523.2,49628
2019-03-05,529.0,157576
2019-03-06,527.9,44055
2019-03-07,519.35,52347
2019-03-08,517.65,47516
2019-03-11,524.85,31488
2019-03-12,526.55,73159
2019-03-13,523.6,70919
2019-03-14,530.3,127425
2019-03-15,547.35,278337
2019-03-18,570.05,381286
2019-03-19,569.85,71449
2019-03-20,559.5,44905
2019-03-22,550.15,41501
2019-03-25,552.25,70884
2019-03-26,550.45,67027
2019-03-27,551.1,31698
2019-03-28,551.7,30578
2019-03-29,566.45,121124
2019-04-01,575.15,57301
2019-04-02,574.9,98528
2019-04-03,581.3,133645
2019-04-04,576.75,34834
2019-04-05,580.2,26402
2019-04-08,575.7,39975
2019-04-09,568.1,22056
2019-04-10,574.75,34213
2019-04-11,562.65,33331
2019-04-12,555.25,71868
2019-04-15,558.05,40872
2019-04-16,557.6,33289
2019-04-18,548.5,60073
2019-04-22,550.45,26943
2019-04-23,551.9,18583
2019-04-24,563.45,60090
2019-04-25,556.1,30883
2019-04-26,545.2,31466
2019-04-30,551.95,66324
2019-05-02,542.25,37640
2019-05-03,543.6,56111
2019-05-06,542.7,26605
2019-05-07,540.1,30680
2019-05-08,536.85,41183
2019-05-09,528.35,43780
2019-05-10,525.7,52089
2019-05-13,522.9,20484
2019-05-14,511.45,72025
2019-05-15,505.65,40498
2019-05-16,520.95,53520
2019-05-17,520.4,60009
2019-05-20,531.4,43135
2019-05-21,520.3,71381
2019-05-22,520.35,86551
2019-05-23,515.05,68819
2019-05-24,524.25,34191
2019-05-27,536.8,89030
2019-05-28,554.75,128781
2019-05-29,540.9,36373
2019-05-30,539.65,36994
2019-05-31,544.1,33960
2019-06-03,540.45,43579
2019-06-04,542.05,24177
2019-06-06,543.45,62119
2019-06-07,532.7,31984
2019-06-10,529.85,41549
2019-06-11,541.65,90095
2019-06-12,532.65,48373
2019-06-13,531.65,12956
2019-06-14,526.45,13139
2019-06-17,525.9,29653
2019-06-18,533.6,28471
2019-06-19,536.45,29228
2019-06-20,529.55,79762
2019-06-21,527.4,23993
2019-06-24,524.2,43629
2019-06-25,516.35,36580
2019-06-26,515.05,39900
2019-06-27,508.65,45687
2019-06-28,510.9,28676
2019-07-01,506.55,21922
2019-07-02,507.9,19207
2019-07-03,509.95,20648
2019-07-04,509.85,27326
2019-07-05,509.95,31292
2019-07-08,491.2,78186
2019-07-09,475.9,263011
2019-07-10,462.7,247058
2019-07-11,465.0,32189
2019-07-12,476.1,36972
2019-07-15,472.0,456127
2019-07-16,459.25,192908
2019-07-17,454.65,195113
2019-07-18,450.45,43696
2019-07-19,449.95,96547
2019-07-22,444.65,30670
2019-07-23,460.05,90280
2019-07-24,445.75,72547
2019-07-25,440.7,72855
2019-07-26,440.35,34544
2019-07-29,448.4,66025
2019-07-30,440.05,55207
2019-07-31,438.8,42888
2019-08-01,431.7,39323
2019-08-02,431.2,51738
2019-08-05,423.05,95173
2019-08-06,423.8,36118
2019-08-07,422.5,25224
2019-08-08,426.8,28241
2019-08-09,421.0,184861
2019-08-13,414.05,24536
2019-08-14,407.35,145656
2019-08-16,407.2,36845
2019-08-19,402.15,40280
2019-08-20,410.65,53829
2019-08-21,405.15,50720
2019-08-22,405.1,276803
2019-08-23,402.2,43795
2019-08-26,408.75,40586
