Date,Close,Volume
2019-01-01,515.75,4128173
2019-01-02,493.65,11747350
2019-01-03,481.25,13532944
2019-01-04,487.65,10480072
2019-01-07,485.5,8406787
2019-01-08,491.35,6269706
2019-01-09,479.2,12696660
2019-01-10,480.4,7081000
2019-01-11,474.2,7540824
2019-01-14,470.85,5889917
2019-01-15,475.05,7603181
2019-01-16,474.55,5280293
2019-01-17,473.15,4281935
2019-01-18,470.65,4914849
2019-01-21,471.7,4613690
2019-01-22,456.55,8957766
2019-01-23,464.6,7259386
2019-01-24,460.75,4790846
2019-01-25,452.9,4157967
2019-01-28,445.7,4335147
2019-01-29,443.8,5225724
2019-01-30,467.45,10857925
2019-01-31,476.7,9243729
2019-02-01,474.7,5015994
2019-02-04,476.05,10972029
2019-02-05,464.7,7281927
2019-02-06,485.1,10999265
2019-02-07,489.05,7857338
2019-02-08,468.75,8414514
2019-02-11,480.7,23262314
2019-02-12,487.4,18836111
2019-02-13,484.0,8403265
2019-02-14,482.55,6185042
2019-02-15,467.5,7499240
2019-02-18,465.55,6253514
2019-02-19,470.95,8224545
2019-02-20,491.15,15487251
2019-02-21,498.85,11782714
2019-02-22,502.3,10005723
2019-02-25,505.1,10357604
2019-02-26,503.6,9856299
2019-02-27,507.1,9444346
2019-02-28,500.45,7485418
2019-03-01,507.6,6672569
2019-03-05,521.75,9118037
2019-03-06,520.85,6311227
2019-03-07,521.15,6153631
2019-03-08,507.85,6504847
2019-03-11,520.65,5908275
2019-03-12,525.15,8298275
2019-03-13,513.75,6409153
2019-03-14,517.65,4496642
2019-03-15,515.45,4233938
2019-03-18,525.2,6317605
2019-03-19,527.5,6329840
2019-03-20,513.6,8702307
2019-03-22,518.4,5233446
2019-03-25,515.15,5036887
2019-03-26,519.35,3329825
2019-03-27,515.8,5239158
2019-03-28,506.3,8965093
2019-03-29,521.0,11965611
2019-04-01,535.15,13523554
2019-04-02,530.65,5086818
2019-04-03,535.45,11489680
2019-04-04,530.65,5259917
2019-04-05,549.3,10037713
2019-04-08,549.05,10600901
2019-04-09,553.05,6618936
2019-04-10,544.4,7889153
2019-04-11,535.7,6082398
2019-04-12,533.65,6274016
2019-04-15,553.15,10390317
2019-04-16,553.25,6323654
2019-04-18,543.1,6660522
2019-04-22,534.2,3697686
2019-04-23,523.35,5119376
2019-04-24,525.25,8376835
2019-04-25,510.75,8359418
2019-04-26,545.25,38181011
2019-04-30,557.2,14258161
2019-05-02,554.95,9010030
2019-05-03,547.8,5879636
2019-05-06,535.95,9964839
2019-05-07,530.6,6541498
2019-05-08,522.65,6478432
2019-05-09,519.15,5105597
2019-05-10,486.8,37240921
2019-05-13,472.3,15956920
2019-05-14,469.55,21128606
2019-05-15,462.95,12665057
2019-05-16,469.25,11254731
2019-05-17,469.45,7088486
2019-05-20,483.8,8457583
2019-05-21,472.55,6337058
2019-05-22,473.0,8364224
2019-05-23,464.7,9340376
2019-05-24,484.15,10882481
2019-05-27,512.55,18207705
2019-05-28,507.05,9960613
2019-05-29,493.3,8523687
2019-05-30,487.95,7204363
2019-05-31,488.3,10276991
2019-06-03,497.65,8505392
2019-06-04,497.65,6212566
2019-06-06,484.6,7222799
2019-06-07,482.1,6811104
2019-06-10,486.05,6850917
2019-06-11,492.5,6534548
2019-06-12,505.85,12755525
2019-06-13,502.55,7224857
2019-06-14,501.8,6605896
2019-06-17,473.1,11938286
2019-06-18,472.3,10639454
2019-06-19,494.1,18837523
2019-06-20,501.0,7826356
2019-06-21,497.65,6126246
2019-06-24,486.25,7262000
2019-06-25,498.0,13649119
2019-06-26,510.6,12960084
2019-06-27,510.7,11946714
2019-06-28,504.4,8760034
2019-07-01,506.95,8544375
2019-07-02,508.8,5724004
2019-07-03,510.3,6946409
2019-07-04,495.3,7263059
2019-07-05,478.35,7616348
2019-07-08,468.05,8082591
2019-07-09,468.45,6858580
2019-07-10,454.8,13481344
2019-07-11,462.0,9987038
2019-07-12,472.9,13244118
2019-07-15,468.3,7806079
2019-07-16,476.7,6435210
2019-07-17,475.7,5479322
2019-07-18,466.6,5233173
2019-07-19,458.05,7284885
2019-07-22,465.55,6954452
2019-07-23,459.85,5529284
2019-07-24,446.0,8342001
2019-07-25,440.35,7528091
2019-07-26,445.5,6585786
2019-07-29,433.45,7872723
2019-07-30,415.05,9462921
2019-07-31,432.05,11541800
2019-08-01,420.0,9421985
2019-08-02,409.1,13485952
2019-08-05,399.25,11288854
2019-08-06,401.6,10197585
2019-08-07,381.9,13301609
2019-08-08,367.4,22826394
2019-08-09,362.35,13352761
2019-08-13,348.7,14782051
2019-08-14,364.65,18738769
2019-08-16,363.05,11920211
2019-08-19,359.55,9884966
2019-08-20,358.25,9363734
2019-08-21,343.0,11423378
2019-08-22,333.7,15459800
2019-08-23,345.25,11210134
2019-08-26,338.05,23764999
2019-08-27,350.9,17375296
2019-08-28,336.95,12641716
2019-08-29,335.55,13481310
2019-08-30,344.9,17972207
2019-09-03,331.4,9220653
