Date,Close,Volume
2019-01-01,261.65,81585
2019-01-02,247.7,99617
2019-01-03,241.85,15318
2019-01-04,240.0,51454
2019-01-07,248.1,45525
2019-01-08,245.0,6674
2019-01-09,245.0,8169
2019-01-10,245.0,4051
2019-01-11,241.75,5149
2019-01-14,243.55,19059
2019-01-15,244.0,25730
2019-01-16,253.3,14398
2019-01-17,247.1,67942
2019-01-18,245.5,14431
2019-01-21,246.6,8357
2019-01-22,246.55,9447
2019-01-23,249.95,7949
2019-01-24,251.95,6860
2019-01-25,249.95,105061
2019-01-28,243.65,12448
2019-01-29,243.05,4063
2019-01-30,237.7,5155
2019-01-31,240.9,256928
2019-02-01,237.3,7399
2019-02-04,235.2,4704
2019-02-05,235.1,9423
2019-02-06,228.5,37410
2019-02-07,227.95,4186
2019-02-08,232.15,7768
2019-02-11,226.25,19510
2019-02-12,221.15,32648
2019-02-13,221.65,9084
2019-02-14,229.0,10217
2019-02-15,236.9,33770
2019-02-18,250.9,337524
2019-02-19,246.85,15467
2019-02-20,253.7,9532
2019-02-21,262.6,224502
2019-02-22,267.75,26275
2019-02-25,265.65,343363
2019-02-26,249.8,19997
2019-02-27,245.35,46760
2019-02-28,233.95,16834
2019-03-01,232.8,4051900
2019-03-05,230.5,39588
2019-03-06,235.15,41129
2019-03-07,233.65,69047
2019-03-08,233.8,7944
2019-03-11,236.0,196221
2019-03-12,236.95,215777
2019-03-13,243.1,12347
2019-03-14,257.45,28500
2019-03-15,247.75,13453
2019-03-18,250.55,7273
2019-03-19,262.8,39700
2019-03-20,256.8,10879
2019-03-22,258.2,22185
2019-03-25,250.55,44832
2019-03-26,252.9,62172
2019-03-27,249.95,104579
2019-03-28,255.85,22465
2019-03-29,274.5,194532
2019-04-01,264.6,14741
2019-04-02,260.4,12513
2019-04-03,258.85,52849
2019-04-04,257.35,8101
2019-04-05,263.6,19850
2019-04-08,263.75,20647
2019-04-09,263.65,16350
2019-04-10,263.45,10109
2019-04-11,265.9,24673
2019-04-12,263.8,26844
2019-04-15,265.0,2763
2019-04-16,264.5,7784
2019-04-18,264.05,36375
2019-04-22,249.95,69462
2019-04-23,245.75,36893
2019-04-24,242.05,153606
2019-04-25,234.9,58614
2019-04-26,239.5,57828
2019-04-30,236.95,14254
2019-05-02,235.55,27861
2019-05-03,235.0,15323
2019-05-06,233.05,9448
2019-05-07,236.75,12729
2019-05-08,231.25,155806
2019-05-09,231.5,11675
2019-05-10,234.0,9315
2019-05-13,229.7,15623
2019-05-14,233.95,327437
2019-05-15,229.0,8564
2019-05-16,230.85,6729
2019-05-17,230.05,3192
2019-05-20,237.7,6569
2019-05-21,236.0,5591
2019-05-22,231.2,43866
2019-05-23,233.7,33566
2019-05-24,233.0,3375
2019-05-27,245.2,56472
2019-05-28,249.8,15788
2019-05-29,247.05,3397
2019-05-30,245.2,3322
2019-05-31,249.4,26787
2019-06-03,267.8,58059
2019-06-04,271.2,127416
2019-06-06,263.75,130796
2019-06-07,253.65,5165
2019-06-10,253.5,154077
2019-06-11,255.5,24996
2019-06-12,251.1,3789
2019-06-13,247.5,1384
2019-06-14,241.05,3571
2019-06-17,246.4,17438
2019-06-18,237.15,10502
2019-06-19,238.0,2987
2019-06-20,240.0,9130
2019-06-21,234.35,312062
2019-06-24,235.05,5230
2019-06-25,248.6,5731
2019-06-26,259.0,247975
2019-06-27,260.0,356545
2019-06-28,269.1,100775
2019-07-01,265.25,5346
2019-07-02,268.3,2491
2019-07-03,266.5,15913
2019-07-04,269.2,10968
2019-07-05,271.25,10317
2019-07-08,260.0,13893
2019-07-09,260.1,21488
2019-07-10,260.05,3308
2019-07-11,263.35,11806
2019-07-12,260.65,3292
2019-07-15,260.0,6329
2019-07-16,265.05,244864
2019-07-17,269.5,3031
2019-07-18,268.75,40183
2019-07-19,259.8,10044
2019-07-22,263.75,6337
2019-07-23,260.0,3448
2019-07-24,259.85,2879
2019-07-25,255.0,14412
2019-07-26,257.25,10305
2019-07-29,255.2,4572
2019-07-30,250.2,1617
2019-07-31,254.15,11531
2019-08-01,255.75,2232
2019-08-02,249.05,1160
2019-08-05,250.0,87248
2019-08-06,250.15,12882
2019-08-07,246.5,470
2019-08-08,253.1,3433
2019-08-09,251.0,951
2019-08-13,248.55,6677
2019-08-14,246.45,1851
2019-08-16,250.0,22545
2019-08-19,246.35,1338
2019-08-20,250.0,11848
2019-08-21,250.65,2238
2019-08-22,249.75,10511
2019-08-23,250.3,5521
2019-08-26,253.35,2420
2019-08-27,249.85,5685
2019-08-28,250.8,2026
2019-08-29,245.55,72913
2019-08-30,252.35,4574
2019-09-03,254.85,6469
2019-09-04,253.35,8234
2019-09-05,254.0,1458
2019-09-06,254.4,658
2019-09-09,246.85,2200
2019-09-11,255.7,3480
2019-09-12,257.7,84959
2019-09-13,258.4,95589
2019-09-16,263.55,135129
2019-09-17,258.0,6075
2019-09-18,260.1,67840
2019-09-19,259.25,2104
2019-09-20,265.95,14426
2019-09-23,267.2,10046
2019-09-24,270.65,5791
2019-09-25,270.0,956813
2019-09-26,269.45,5623
2019-09-27,264.9,332701
2019-09-30,265.0,4447
2019-10-01,270.1,27517
2019-10-03,274.9,78293
2019-10-04,274.3,2121
2019-10-07,269.05,30897
2019-10-09,269.15,7110
2019-10-10,269.65,1468
2019-10-11,268.9,214006
2019-10-14,269.05,5191
2019-10-15,271.4,11084
2019-10-16,267.65,4336
2019-10-17,264.95,873
2019-10-18,266.2,2622
2019-10-22,265.7,6044
2019-10-23,264.9,11195
2019-10-24,266.3,5871
2019-10-25,270.65,5979
2019-10-27,265.8,354
2019-10-29,262.4,2618
2019-10-30,268.0,6040
2019-10-31,269.6,2880
2019-11-01,268.8,6348
2019-11-04,288.9,232350
2019-11-05,278.05,12613
2019-11-06,277.3,6202
2019-11-07,270.55,3506
2019-11-08,263.05,43977
2019-11-11,264.85,12947
2019-11-13,265.6,23534
2019-11-14,270.15,24037
2019-11-15,266.75,10140
2019-11-18,266.1,16467
2019-11-19,268.1,59189
2019-11-20,267.6,2837
2019-11-21,260.8,4344
2019-11-22,259.5,3513
2019-11-25,259.05,7340
2019-11-26,260.8,12330
2019-11-27,261.45,11204
2019-11-28,262.55,6433
2019-11-29,268.95,9099
2019-12-02,272.05,10203
2019-12-03,268.55,8928
2019-12-04,269.2,2172
2019-12-05,272.45,12692
2019-12-06,271.3,2739
2019-12-09,270.75,2157
2019-12-10,272.55,8536
2019-12-11,274.15,3773
2019-12-12,274.55,2659
2019-12-13,275.95,3138
2019-12-16,274.75,20539
2019-12-17,273.1,472
2019-12-18,272.3,2970
2019-12-19,282.35,19702
2019-12-20,281.9,308358
2019-12-23,276.6,3851
2019-12-24,278.55,3768
2019-12-26,278.65,4270
2019-12-27,282.25,6048
2019-12-30,282.8,2028
2019-12-31,282.3,2546
