Date,Close,Volume
1996-01-04,88.0,200
1996-01-05,90.0,300
1996-01-09,82.0,300
1996-01-11,85.0,200
1996-01-12,90.0,100
1996-01-17,83.0,700
1996-01-18,81.0,300
1996-01-19,81.75,500
1996-01-23,82.0,200
1996-01-24,82.0,200
1996-01-25,82.0,200
1996-01-29,81.0,100
1996-01-30,82.0,900
1996-01-31,82.0,100
1996-02-01,85.0,1200
1996-02-02,84.0,100
1996-02-05,84.0,100
1996-02-06,89.7,900
1996-02-12,91.0,100
1996-02-27,100.05,100
1996-03-04,105.0,200
1996-03-06,116.05,300
1996-03-07,124.5,2300
1996-03-08,123.9,700
1996-03-12,121.15,300
1996-03-13,126.0,200
1996-03-14,123.0,200
1996-03-15,126.0,100
1996-03-19,119.0,1000
1996-03-22,120.25,500
1996-03-25,114.5,900
1996-03-26,120.0,500
1996-03-27,118.0,300
1996-03-29,120.0,100
1996-04-01,132.0,200
1996-04-02,137.85,1900
1996-04-03,141.0,700
1996-04-04,135.0,1000
1996-04-08,133.0,400
1996-04-09,133.65,600
1996-04-10,136.05,600
1996-04-11,129.0,300
1996-04-12,125.0,500
1996-04-15,125.5,600
1996-04-16,130.0,600
1996-04-17,135.5,1400
1996-04-18,141.45,2400
1996-04-19,145.0,1700
1996-04-22,134.5,1600
1996-04-23,133.5,1800
1996-04-24,136.0,400
1996-04-26,132.0,900
1996-04-30,133.0,200
1996-05-01,132.0,100
1996-05-02,131.05,400
1996-05-03,125.0,500
1996-05-06,125.0,200
1996-05-07,135.0,100
1996-05-08,135.0,400
1996-05-10,125.5,1000
1996-05-13,127.0,100
1996-05-15,127.0,100
1996-05-16,132.0,400
1996-05-17,133.0,500
1996-05-20,125.0,200
1996-05-21,124.9,200
1996-05-22,126.5,300
1996-05-23,125.5,100
1996-05-24,123.0,200
1996-05-27,123.0,100
1996-05-28,118.0,400
1996-05-30,126.75,400
1996-05-31,127.0,200
1996-06-03,126.0,1400
1996-06-04,129.0,700
1996-06-05,130.0,300
1996-06-06,132.0,700
1996-06-07,130.0,1700
1996-06-10,127.5,1200
1996-06-11,130.4,3900
1996-06-12,131.95,2900
1996-06-13,131.1,5100
1996-06-14,132.0,1200
1996-06-17,133.0,5000
1996-06-18,130.75,1400
1996-06-19,140.0,4600
1996-06-20,133.15,1800
1996-06-21,133.65,8000
1996-06-24,128.0,800
1996-06-25,127.95,10100
1996-06-26,127.2,500
1996-06-27,130.0,400
1996-06-28,135.0,1400
1996-07-01,130.0,700
1996-07-02,132.0,2600
1996-07-03,128.5,500
1996-07-04,125.65,700
1996-07-05,130.0,200
1996-07-08,130.0,1000
1996-07-09,131.0,600
1996-07-11,128.0,25400
1996-07-12,130.0,2600
1996-07-15,136.0,51400
1996-07-16,129.95,45100
1996-07-17,128.5,1100
1996-07-18,131.0,1600
1996-07-19,129.25,600
1996-07-22,130.0,200
1996-07-23,133.5,31400
1996-07-24,131.95,2500
1996-07-25,131.2,1300
1996-07-26,131.0,1400
1996-07-29,134.1,11500
1996-07-30,134.1,20000
1996-07-31,131.0,100
1996-08-01,131.5,600
1996-08-02,130.25,1300
1996-08-05,131.75,77400
1996-08-06,133.0,800
1996-08-07,129.05,600
1996-08-08,124.0,1600
1996-08-09,124.0,100
1996-08-13,114.0,600
1996-08-14,110.0,100
1996-08-16,99.0,600
1996-08-19,93.5,400
1996-08-20,90.0,100
1996-08-21,85.0,900
1996-08-22,84.0,500
1996-08-23,84.15,400
1996-08-26,91.0,300
1996-08-27,88.9,2500
1996-08-28,89.0,1200
1996-08-29,92.55,1800
1996-08-30,91.0,900
1996-09-02,92.35,1400
1996-09-03,88.5,2200
1996-09-04,91.0,300
1996-09-05,88.8,500
1996-09-06,86.8,500
1996-09-09,88.7,500
1996-09-10,83.25,1100
1996-09-12,78.0,900
1996-09-13,78.5,600
1996-09-16,78.3,600
1996-09-17,79.05,800
1996-09-23,76.0,2000
1996-09-24,72.05,1000
1996-09-25,71.0,1300
1996-09-27,69.5,500
1996-09-30,68.15,200
1996-10-01,71.25,900
1996-10-04,72.9,100
1996-10-07,68.75,300
1996-10-08,67.9,200
1996-10-09,65.0,300
1996-10-10,67.0,500
1996-10-11,63.15,300
1996-10-14,65.0,100
1996-10-15,64.0,500
1996-10-18,64.1,100
1996-10-22,61.5,900
1996-10-23,65.75,100
1996-10-24,70.3,100
1996-10-25,73.0,200
1996-10-28,71.95,1400
1996-10-29,69.1,1100
1996-10-31,73.5,300
1996-11-01,73.65,1800
1996-11-04,78.55,1000
1996-11-05,82.25,500
1996-11-06,81.0,1200
1996-11-07,83.0,3000
1996-11-08,83.35,1300
1996-11-10,83.35,600
1996-11-11,82.5,500
1996-11-13,81.0,400
1996-11-14,79.2,1600
1996-11-15,78.85,200
1996-11-18,81.8,900
1996-11-19,86.5,1600
1996-11-21,81.0,400
1996-11-22,85.9,200
1996-11-26,80.4,700
1996-11-27,76.0,300
1996-11-28,76.0,100
1996-11-29,79.5,100
1996-12-02,79.5,200
1996-12-03,79.5,300
1996-12-04,75.0,500
1996-12-05,77.0,300
1996-12-06,82.0,200
1996-12-09,77.35,700
1996-12-10,76.0,600
1996-12-11,76.0,100
1996-12-12,77.0,200
1996-12-13,79.75,800
1996-12-16,78.35,200
1996-12-17,80.0,100
1996-12-18,81.0,100
1996-12-19,83.0,100
1996-12-20,80.0,300
1996-12-23,79.15,500
1996-12-24,78.0,200
1996-12-26,83.0,100
1996-12-31,85.0,100
1997-01-01,85.0,300
1997-01-02,80.15,400
1997-01-03,82.5,200
1997-01-06,85.0,1500
1997-01-07,81.5,800
1997-01-08,80.9,1000
1997-01-09,78.25,800
1997-01-10,83.75,900
1997-01-13,81.15,1200
1997-01-14,80.6,1500
1997-01-15,84.9,1600
1997-01-16,85.55,3500
1997-01-17,83.0,600
1997-01-20,83.0,2200
1997-01-21,81.0,3300
1997-01-22,85.0,900
1997-01-24,85.0,600
1997-01-27,87.0,900
1997-01-28,85.1,700
1997-01-29,87.6,1200
1997-01-30,85.3,400
1997-01-31,83.85,500
1997-02-04,80.75,700
1997-02-05,82.0,200
1997-02-06,81.3,100
1997-02-07,81.1,100
1997-02-10,83.0,200
1997-02-11,82.1,400
1997-02-12,84.0,600
1997-02-13,83.05,200
1997-02-17,80.1,400
1997-02-18,82.0,2200
1997-02-19,79.0,100
1997-02-25,79.8,300
1997-02-26,80.0,300
1997-02-27,78.0,100
1997-03-01,79.95,200
1997-03-04,78.9,300
1997-03-05,76.0,2000
1997-03-06,78.0,300
1997-03-11,76.0,400
1997-03-13,75.0,400
1997-03-14,75.0,100
1997-03-17,77.0,1000
1997-03-18,75.0,300
1997-03-19,76.0,200
1997-03-21,75.0,200
1997-03-25,72.6,800
1997-03-26,71.0,200
1997-03-27,70.0,100
1997-03-31,66.0,100
1997-04-01,66.0,300
1997-04-02,65.0,500
1997-04-03,65.0,100
1997-04-07,68.2,600
1997-04-09,68.5,1300
1997-04-10,65.0,200
1997-04-11,65.9,200
1997-04-15,65.0,200
1997-04-17,66.55,400
1997-04-21,65.0,300
1997-04-22,67.5,900
1997-04-23,65.25,700
1997-04-25,65.3,100
1997-04-28,66.0,100
1997-04-30,70.0,100
1997-05-02,74.0,200
1997-05-06,77.05,200
1997-05-07,82.25,900
1997-05-08,86.0,700
1997-05-09,91.95,600
1997-05-12,91.8,1200
1997-05-13,92.0,300
1997-05-14,98.0,800
1997-05-15,96.25,1100
1997-05-16,95.65,700
1997-05-19,99.5,500
1997-05-20,96.1,1800
1997-05-21,96.0,200
1997-05-22,90.1,400
1997-05-23,85.0,10500
1997-05-26,81.0,600
1997-05-27,83.9,400
1997-05-28,78.05,500
1997-05-30,82.7,400
1997-06-02,80.0,700
1997-06-03,78.0,800
1997-06-05,79.95,200
1997-06-09,82.55,200
1997-06-10,83.55,800
1997-06-11,85.0,300
1997-06-12,87.75,10400
1997-06-16,84.05,300
1997-06-17,88.0,11400
1997-06-18,85.0,300
1997-06-19,83.5,100
1997-06-20,86.0,500
1997-06-23,80.1,300
1997-06-24,79.55,200
1997-06-27,84.3,600
1997-06-30,80.1,100
1997-07-01,80.0,200
1997-07-03,76.0,400
1997-07-07,76.0,700
1997-07-08,74.5,200
1997-07-09,70.5,100
1997-07-10,75.0,200
1997-07-14,80.0,1100
1997-07-15,80.0,500
1997-07-16,81.0,100
1997-07-17,80.0,1200
1997-07-21,79.25,300
1997-07-22,80.0,300
1997-07-23,80.0,200
1997-07-24,85.45,1600
1997-07-25,82.55,200
1997-07-28,85.0,500
1997-07-29,89.75,700
1997-07-30,90.95,200
1997-07-31,95.0,900
1997-08-01,92.75,1300
1997-08-04,93.75,700
1997-08-05,91.0,500
1997-08-06,90.35,300
1997-08-07,90.0,400
1997-08-08,89.0,1200
1997-08-11,92.0,900
1997-08-12,88.0,700
1997-08-14,86.0,400
1997-08-18,84.95,200
1997-08-19,83.35,600
1997-08-22,80.7,300
1997-08-25,77.1,100
1997-08-26,81.9,1700
1997-08-27,80.25,600
1997-08-28,81.0,1100
1997-08-29,79.6,600
1997-09-01,80.0,1000
1997-09-02,80.0,600
1997-09-03,81.35,500
1997-09-04,81.5,400
1997-09-05,80.25,300
1997-09-08,80.0,3300
1997-09-09,81.1,600
1997-09-10,80.75,200
1997-09-11,84.55,2200
1997-09-12,83.0,800
1997-09-15,83.35,100
1997-09-16,82.3,700
1997-09-17,80.0,200
1997-09-18,79.0,1300
1997-09-19,78.7,900
1997-09-22,79.0,2100
1997-09-23,82.75,800
1997-09-24,79.1,200
1997-09-25,80.0,400
1997-09-30,79.0,100
1997-10-01,79.0,4400
1997-10-09,79.0,2100
1997-10-10,81.0,400
1997-10-13,78.0,700
1997-10-14,78.9,200
1997-10-15,76.0,300
1997-10-16,72.75,1100
1997-10-17,75.0,1000
1997-10-20,76.75,700
1997-10-21,75.5,800
1997-10-22,76.0,800
1997-10-23,75.3,100
1997-10-24,73.05,200
1997-10-27,73.4,100
1997-10-28,73.1,2800
1997-11-03,76.8,300
1997-11-04,80.65,200
