Date,Close,Volume
2019-01-01,103.45,99094
2019-01-02,103.85,230367
2019-01-03,101.75,98162
2019-01-04,103.35,146536
2019-01-07,101.55,72294
2019-01-08,100.4,83573
2019-01-09,100.2,165612
2019-01-10,100.75,130272
2019-01-11,99.75,55877
2019-01-14,100.45,71305
2019-01-15,101.0,66456
2019-01-16,102.8,167373
2019-01-17,101.4,36222
2019-01-18,100.4,60151
2019-01-21,104.85,656651
2019-01-22,105.65,149689
2019-01-23,102.05,91972
2019-01-24,99.05,191311
2019-01-25,97.75,89222
2019-01-28,94.75,92250
2019-01-29,95.7,115028
2019-01-30,95.95,90766
2019-01-31,96.65,51622
2019-02-01,96.4,57069
2019-02-04,94.25,47249
2019-02-05,90.4,112743
2019-02-06,85.15,115451
2019-02-07,87.15,112495
2019-02-08,81.9,503153
2019-02-11,76.7,154442
2019-02-12,77.9,117830
2019-02-13,80.65,112591
2019-02-14,84.35,548364
2019-02-15,88.3,206006
2019-02-18,83.45,106237
2019-02-19,84.45,194246
2019-02-20,86.5,123164
2019-02-21,86.85,43619
2019-02-22,88.1,77153
2019-02-25,88.85,79908
2019-02-26,86.6,100663
2019-02-27,88.75,625252
2019-02-28,88.35,195742
2019-03-01,89.65,194111
2019-03-05,97.15,585676
2019-03-06,105.05,717237
2019-03-07,104.9,359426
2019-03-08,102.9,135599
2019-03-11,102.7,167998
2019-03-12,104.55,266966
2019-03-13,102.8,143223
2019-03-14,102.05,75446
2019-03-15,101.4,111658
2019-03-18,102.4,104279
2019-03-19,102.95,163614
2019-03-20,101.9,130264
2019-03-22,99.8,132073
2019-03-25,99.4,403409
2019-03-26,99.85,95766
2019-03-27,105.5,420270
2019-03-28,103.75,188745
2019-03-29,102.6,189452
2019-04-01,106.35,364181
2019-04-02,103.35,215605
2019-04-03,99.75,200378
2019-04-04,98.75,106776
2019-04-05,99.1,106346
2019-04-08,96.2,161673
2019-04-09,95.85,130782
2019-04-10,95.15,90293
2019-04-11,95.85,46584
2019-04-12,97.6,115508
2019-04-15,98.7,80143
2019-04-16,101.25,222172
2019-04-18,97.05,112732
2019-04-22,94.65,77771
2019-04-23,95.05,115474
2019-04-24,94.75,61316
2019-04-25,93.2,78084
2019-04-26,93.75,48455
2019-04-30,90.55,54981
2019-05-02,90.15,103660
2019-05-03,87.4,135693
2019-05-06,87.65,80690
2019-05-07,85.05,108278
2019-05-08,81.9,87957
2019-05-09,80.5,68120
2019-05-10,80.0,93364
2019-05-13,76.95,119562
2019-05-14,74.45,164935
2019-05-15,79.7,1352151
2019-05-16,79.75,220574
2019-05-17,77.8,111570
2019-05-20,88.85,1355109
2019-05-21,85.8,214899
2019-05-22,85.55,111125
2019-05-23,85.8,214367
2019-05-24,87.45,139221
2019-05-27,93.55,304005
2019-05-28,102.25,1203514
2019-05-29,98.45,220727
2019-05-30,97.95,98958
2019-05-31,100.2,292226
2019-06-03,98.8,114236
2019-06-04,97.65,104027
2019-06-06,96.7,72633
2019-06-07,96.35,157350
2019-06-10,96.15,68762
2019-06-11,96.3,85481
2019-06-12,95.55,36016
2019-06-13,95.1,132590
2019-06-14,94.75,103212
2019-06-17,95.8,101795
2019-06-18,95.9,71566
2019-06-19,93.3,127025
2019-06-20,94.45,77592
2019-06-21,94.2,79873
2019-06-24,95.05,66437
2019-06-25,93.85,70983
2019-06-26,95.6,61304
2019-06-27,94.35,79721
2019-06-28,94.6,51042
2019-07-01,95.4,84907
2019-07-02,92.2,57413
2019-07-03,93.75,130659
2019-07-04,94.05,137912
2019-07-05,94.0,45194
2019-07-08,90.75,98626
2019-07-09,91.2,66757
2019-07-10,90.45,63809
2019-07-11,90.7,35484
2019-07-12,91.45,154313
2019-07-15,89.3,112458
2019-07-16,86.65,210462
2019-07-17,84.75,175734
2019-07-18,81.55,81536
2019-07-19,79.0,132901
2019-07-22,78.25,113565
2019-07-23,80.45,124185
2019-07-24,79.0,42483
2019-07-25,79.05,50615
2019-07-26,79.75,126564
2019-07-29,77.4,66531
2019-07-30,78.8,120856
2019-07-31,79.15,49219
2019-08-01,78.5,116045
2019-08-02,78.1,48193
2019-08-05,77.05,129124
2019-08-06,76.05,203540
2019-08-07,69.95,273763
2019-08-08,67.9,122918
2019-08-09,63.65,304045
2019-08-13,69.2,457211
2019-08-14,65.85,313689
2019-08-16,65.0,70720
2019-08-19,62.6,84206
2019-08-20,61.7,59373
2019-08-21,60.0,74587
2019-08-22,56.45,60119
2019-08-23,57.5,63422
2019-08-26,62.35,94496
2019-08-27,64.45,161380
2019-08-28,64.85,3491253
2019-08-29,61.4,159703
2019-08-30,60.75,136140
2019-09-03,59.45,73915
2019-09-04,58.15,136086
2019-09-05,59.2,71680
2019-09-06,62.45,230584
2019-09-09,64.5,234341
2019-09-11,68.35,843544
2019-09-12,68.45,446197
2019-09-13,67.6,456579
2019-09-16,67.35,710443
2019-09-17,64.5,499420
2019-09-18,66.65,532494
2019-09-19,62.85,155246
2019-09-20,63.9,315313
2019-09-23,66.15,495879
2019-09-24,67.6,1115394
2019-09-25,64.3,211033
2019-09-26,63.45,169739
2019-09-27,62.4,89547
2019-09-30,59.8,195845
2019-10-01,58.35,158271
2019-10-03,57.6,286446
2019-10-04,55.9,137525
2019-10-07,56.65,125603
2019-10-09,56.4,215996
2019-10-10,57.0,213960
