Date,Close,Volume
2019-01-01,8.2,80653
2019-01-02,8.05,190276
2019-01-03,8.0,107770
2019-01-04,7.95,131285
2019-01-07,7.9,173941
2019-01-08,7.65,367384
2019-01-09,7.65,104682
2019-01-10,7.7,117148
2019-01-11,7.65,54613
2019-01-14,7.5,168442
2019-01-15,7.5,118423
2019-01-16,7.4,135574
2019-01-17,7.3,151075
2019-01-18,7.25,199310
2019-01-21,7.05,285253
2019-01-22,6.9,340091
2019-01-23,6.9,118569
2019-01-24,6.8,103937
2019-01-25,6.55,252478
2019-01-28,6.1,224599
2019-01-29,5.9,268847
2019-01-30,6.0,176612
2019-01-31,5.85,156759
2019-02-01,5.9,207318
2019-02-04,5.45,182476
2019-02-05,5.0,431036
2019-02-06,5.0,187333
2019-02-07,6.0,346297
2019-02-08,5.6,445248
2019-02-11,5.65,132074
2019-02-12,5.55,143500
2019-02-13,5.45,125519
2019-02-14,5.75,107330
2019-02-15,5.45,123037
2019-02-18,6.5,549069
2019-02-19,7.5,1399413
2019-02-20,7.8,1212517
2019-02-21,7.6,327034
2019-02-22,7.0,558486
2019-02-25,7.05,413313
2019-02-26,7.2,267033
2019-02-27,7.05,82711
2019-02-28,7.15,88523
2019-03-01,7.25,128298
2019-03-05,7.5,354994
2019-03-06,7.6,215132
2019-03-07,7.25,241321
2019-03-08,7.45,600330
2019-03-11,7.55,118728
2019-03-12,7.45,175746
2019-03-13,7.3,133898
2019-03-14,7.25,114449
2019-03-15,7.2,97357
2019-03-18,7.25,102074
2019-03-19,7.2,126065
2019-03-20,7.1,126425
2019-03-22,6.8,276014
2019-03-25,6.7,149304
2019-03-26,6.75,97886
2019-03-27,6.4,239667
2019-03-28,6.55,111570
2019-03-29,6.3,270630
2019-04-01,6.6,155848
2019-04-02,6.65,175117
2019-04-03,6.55,146198
2019-04-04,6.55,86607
2019-04-05,6.7,92053
2019-04-08,6.75,83601
2019-04-09,6.75,55405
2019-04-10,6.6,71420
2019-04-11,6.65,95740
2019-04-12,6.7,78454
2019-04-15,6.7,78284
2019-04-16,8.0,1491774
2019-04-18,7.8,958182
2019-04-22,7.4,135702
2019-04-23,7.35,157978
2019-04-24,7.15,109773
2019-04-25,7.05,144242
2019-04-26,7.15,181307
2019-04-30,6.75,177478
2019-05-02,6.6,99229
2019-05-03,6.7,90061
2019-05-06,6.75,76122
2019-05-07,6.55,50727
2019-05-08,6.4,84291
2019-05-09,6.35,92808
2019-05-10,6.85,112898
2019-05-13,6.35,106458
2019-05-14,6.4,149254
2019-05-15,6.55,91369
2019-05-16,6.4,225284
2019-05-17,6.35,76346
2019-05-20,6.65,147753
2019-05-21,6.8,156440
2019-05-22,6.6,101385
2019-05-23,6.9,277648
2019-05-24,6.85,191015
2019-05-27,7.05,253485
2019-05-28,7.15,181318
2019-05-29,7.0,84575
2019-05-30,6.85,126818
2019-05-31,6.55,96867
2019-06-03,6.35,107037
2019-06-04,6.3,108274
2019-06-06,6.9,1226183
2019-06-07,6.45,333811
2019-06-10,6.4,133104
2019-06-11,6.3,92803
2019-06-12,6.2,159029
2019-06-13,6.25,150811
2019-06-14,6.1,117294
2019-06-17,5.9,58692
2019-06-18,5.8,131864
2019-06-19,5.55,101751
2019-06-20,5.55,190718
2019-06-21,5.7,85876
2019-06-24,5.65,73638
2019-06-25,6.35,199042
2019-06-26,6.15,108957
2019-06-27,6.0,69881
2019-06-28,5.9,59503
2019-07-01,5.75,112428
2019-07-02,5.7,60478
2019-07-03,5.8,71877
2019-07-04,6.0,223916
2019-07-05,5.9,193184
2019-07-08,5.75,101690
2019-07-09,5.65,59261
2019-07-10,5.75,79258
2019-07-11,5.55,202613
2019-07-12,5.35,170030
2019-07-15,5.15,81554
2019-07-16,5.25,151358
2019-07-17,5.2,148803
2019-07-18,5.2,114304
2019-07-19,5.05,151518
2019-07-22,5.05,53800
2019-07-23,5.05,47929
2019-07-24,5.05,84450
2019-07-25,5.05,73995
2019-07-26,5.05,73149
2019-07-29,5.0,84020
2019-07-30,4.8,127758
2019-07-31,4.9,108591
2019-08-01,4.65,80875
2019-08-02,4.5,184352
2019-08-05,4.35,97067
2019-08-06,5.2,239436
2019-08-07,4.7,435411
2019-08-08,4.65,99846
2019-08-09,4.75,104059
2019-08-13,4.55,80616
2019-08-14,4.55,40724
2019-08-16,4.45,97778
2019-08-19,4.3,112650
2019-08-20,4.3,113612
2019-08-21,4.05,169249
2019-08-22,3.7,344662
2019-08-23,3.85,117541
2019-08-26,3.95,125291
2019-08-27,3.85,210561
2019-08-28,3.8,76383
2019-08-29,3.65,214657
2019-08-30,3.45,370543
2019-09-03,3.5,117953
2019-09-04,3.5,73424
2019-09-05,3.8,413489
2019-09-06,3.85,103995
2019-09-09,3.8,126029
2019-09-11,4.05,292360
2019-09-12,3.95,288532
2019-09-13,4.0,65042
2019-09-16,4.0,100959
2019-09-17,3.85,315900
2019-09-18,3.95,107453
2019-09-19,3.75,104600
2019-09-20,3.9,216982
2019-09-23,4.1,299795
2019-09-24,4.0,140457
2019-09-25,3.85,133192
2019-09-26,3.75,258782
2019-09-27,3.8,91056
