Date,Close,Volume
2019-01-01,61.45,20252
2019-01-02,59.45,3346
2019-01-03,58.55,5014
2019-01-04,59.5,101182
2019-01-07,58.55,13045
2019-01-08,58.05,7325
2019-01-09,58.45,3644
2019-01-10,58.4,3192
2019-01-11,57.5,4948
2019-01-14,57.0,2240
2019-01-15,59.6,22964
2019-01-16,63.2,78560
2019-01-17,61.6,109704
2019-01-18,59.7,3886
2019-01-21,57.8,13296
2019-01-22,58.65,73643
2019-01-23,58.1,13073
2019-01-24,57.7,3659
2019-01-25,54.25,24106
2019-01-28,51.8,24319
2019-01-29,52.2,6195
2019-01-30,52.2,4507
2019-01-31,56.5,21980
2019-02-01,52.4,33581
2019-02-04,52.15,5579
2019-02-05,52.1,5791
2019-02-06,50.95,4796
2019-02-07,52.35,27098
2019-02-08,51.65,2665
2019-02-11,50.2,7985
2019-02-12,49.9,5215
2019-02-13,48.7,4448
2019-02-14,47.35,6603
2019-02-15,46.75,3790
2019-02-18,45.9,2542
2019-02-19,44.9,5498
2019-02-20,45.3,2671
2019-02-21,45.8,6560
2019-02-22,46.4,4341
2019-02-25,48.25,15083
2019-02-26,48.25,5975
2019-02-27,47.0,5444
2019-02-28,46.3,12678
2019-03-01,47.55,10082
2019-03-05,51.85,19502
2019-03-06,52.95,11476
2019-03-07,53.2,8003
2019-03-08,51.8,3492
2019-03-11,55.35,38562
2019-03-12,57.4,81469
2019-03-13,57.7,25301
2019-03-14,56.65,18534
2019-03-15,56.3,3331
2019-03-18,55.0,6484
2019-03-19,56.4,12514
2019-03-20,57.9,41850
2019-03-22,56.6,2537
2019-03-25,55.35,2763
2019-03-26,56.35,7189
2019-03-27,56.75,27902
2019-03-28,54.5,15334
2019-03-29,54.0,4513
2019-04-01,55.7,9704
2019-04-02,58.55,55106
2019-04-03,58.35,116632
2019-04-04,57.25,11398
2019-04-05,55.85,16812
2019-04-08,55.2,5267
2019-04-09,57.45,63711
2019-04-10,55.3,42182
2019-04-11,55.45,6983
2019-04-12,55.95,9665
2019-04-15,56.55,5889
2019-04-16,56.55,3069
2019-04-18,55.15,6839
2019-04-22,53.85,5035
2019-04-23,53.5,1587
2019-04-24,53.1,5106
2019-04-25,54.0,6912
2019-04-26,53.7,3573
2019-04-30,54.2,6681
2019-05-02,53.95,1185
2019-05-03,53.1,4492
2019-05-06,53.2,1208
2019-05-07,52.3,2478
2019-05-08,51.0,3718
2019-05-09,50.95,3003
2019-05-10,49.75,7528
2019-05-13,49.0,2825
2019-05-14,47.75,4041
2019-05-15,50.15,6764
2019-05-16,46.85,11965
2019-05-17,46.65,7768
2019-05-20,48.95,15789
2019-05-21,50.05,36218
2019-05-22,49.55,5962
2019-05-23,49.05,10869
2019-05-24,51.25,27346
2019-05-27,53.55,72519
2019-05-28,53.5,5529
2019-05-29,53.15,3772
2019-05-30,50.55,9135
2019-05-31,49.4,7200
2019-06-03,49.0,5192
2019-06-04,50.5,5578
2019-06-06,50.9,3892
2019-06-07,50.05,1803
2019-06-10,49.05,1927
2019-06-11,48.3,3227
2019-06-12,50.4,7400
2019-06-13,48.35,1324
2019-06-14,47.75,8331
2019-06-17,48.6,4720
2019-06-18,47.6,2989
2019-06-19,47.4,9398
2019-06-20,46.2,2706
2019-06-21,48.05,5218
2019-06-24,47.55,4055
2019-06-25,46.95,15508
2019-06-26,48.25,1189
2019-06-27,49.55,3691
2019-06-28,49.35,1210
2019-07-01,51.25,21039
2019-07-02,50.0,3527
2019-07-03,50.25,2636
2019-07-04,50.2,7135
2019-07-05,49.85,4506
2019-07-08,49.5,3258
2019-07-09,49.3,3059
2019-07-10,50.05,9262
2019-07-11,49.15,4230
2019-07-12,49.0,6435
2019-07-15,48.7,23072
2019-07-16,48.95,25764
2019-07-17,49.5,9193
2019-07-18,49.0,2440
2019-07-19,47.3,6991
2019-07-22,46.5,2916
2019-07-23,46.75,8050
2019-07-24,47.05,11814
2019-07-25,46.75,11181
2019-07-26,47.45,20223
2019-07-29,47.0,7918
2019-07-30,46.9,13656
2019-07-31,48.6,5464
2019-08-01,46.95,4364
2019-08-02,46.6,2708
2019-08-05,44.5,4176
2019-08-06,45.85,2220
2019-08-07,45.75,5624
2019-08-08,45.8,32309
2019-08-09,45.0,74580
2019-08-13,44.9,17515
2019-08-14,45.0,60701
2019-08-16,45.0,5839
2019-08-19,44.75,13704
2019-08-20,44.95,6965
2019-08-21,44.0,4610
2019-08-22,43.0,5450
2019-08-23,42.75,6162
2019-08-26,44.55,4029
2019-08-27,45.0,16461
2019-08-28,44.85,3575
2019-08-29,44.1,1853
2019-08-30,44.0,420
2019-09-03,44.25,2587
2019-09-04,44.1,232
2019-09-05,45.5,4847
2019-09-06,44.1,110744
2019-09-09,44.55,76937
2019-09-11,45.05,48309
2019-09-12,45.1,91502
2019-09-13,45.2,5599
2019-09-16,44.65,7491
2019-09-17,43.35,5900
2019-09-18,43.65,9148
2019-09-19,42.95,3520
2019-09-20,43.1,6715
2019-09-23,44.45,28581
2019-09-24,43.0,12615
2019-09-25,41.95,8463
2019-09-26,41.35,2801
2019-09-27,40.0,8422
2019-09-30,37.95,6267
2019-10-01,37.25,12509
2019-10-03,37.85,2784
2019-10-04,37.65,22326
2019-10-07,35.5,11544
2019-10-09,33.9,22905
2019-10-10,33.25,3209
2019-10-11,34.45,1497
2019-10-14,34.55,4619
2019-10-15,37.1,16643
2019-10-16,37.6,4513
2019-10-17,37.05,3560
2019-10-18,39.9,11467
2019-10-22,39.8,4351
2019-10-23,37.9,9668
2019-10-24,37.8,2874
2019-10-25,38.6,6549
2019-10-27,39.45,4709
2019-10-29,39.25,2362
2019-10-30,39.55,4178
2019-10-31,39.05,2848
2019-11-01,39.75,3821
2019-11-04,39.6,2654
2019-11-05,38.65,5991
2019-11-06,39.0,4158
2019-11-07,38.5,1735
2019-11-08,38.2,2601
2019-11-11,38.0,1849
2019-11-13,38.45,7281
2019-11-14,40.5,19602
2019-11-15,43.35,60450
2019-11-18,40.7,79328
2019-11-19,38.15,14514
2019-11-20,38.55,3770
2019-11-21,37.2,12070
2019-11-22,37.5,5634
2019-11-25,38.9,5884
2019-11-26,38.15,7323
2019-11-27,38.75,8079
2019-11-28,37.6,14087
2019-11-29,37.85,1643
2019-12-02,37.2,2562
2019-12-03,36.25,3256
2019-12-04,36.45,1319
2019-12-05,35.35,2387
2019-12-06,34.55,7030
2019-12-09,34.2,3420
2019-12-10,34.25,1267
2019-12-11,33.95,1220
2019-12-12,32.75,7280
2019-12-13,33.5,4561
2019-12-16,34.05,5727
2019-12-17,34.6,1000
2019-12-18,38.55,14163
2019-12-19,39.6,16384
2019-12-20,40.05,7713
2019-12-23,40.15,6023
2019-12-24,41.4,11016
2019-12-26,41.7,7623
2019-12-27,41.35,5769
2019-12-30,41.15,4727
2019-12-31,41.5,1705
