Date,Close,Volume
2019-01-08,3.45,424659
2019-01-09,3.3,989787
2019-01-10,3.15,2045803
2019-01-11,3.0,2635394
2019-01-14,3.15,894105
2019-01-15,3.3,341851
2019-01-16,3.45,619414
2019-01-17,3.3,5401403
2019-01-18,3.35,1237659
2019-01-21,3.2,1385835
2019-01-22,3.15,1522672
2019-01-23,3.2,738714
2019-01-24,3.1,727914
2019-01-25,3.05,623480
2019-01-28,2.9,2559109
2019-01-29,3.0,641977
2019-01-30,3.15,789529
2019-01-31,3.3,1514340
2019-02-01,3.2,1531795
2019-02-04,3.1,942267
2019-02-05,2.95,1377824
2019-02-06,3.05,699900
2019-02-07,3.2,1519128
2019-02-08,3.15,1150580
2019-02-11,3.3,2004692
2019-02-12,3.2,3221016
2019-02-13,3.1,671380
2019-02-14,3.0,1978766
2019-02-15,3.0,1146111
2019-02-18,3.0,855614
2019-02-19,2.9,2008540
2019-02-20,2.8,2182466
2019-02-21,2.95,1204865
2019-02-22,2.9,976109
2019-02-25,2.95,761738
2019-02-26,2.85,1289297
2019-02-27,2.75,1645591
2019-02-28,2.75,1287337
2019-03-01,2.85,3306018
2019-03-05,2.85,1807672
2019-03-06,2.95,1325676
2019-03-07,2.95,1054698
2019-03-08,2.95,515624
2019-03-11,2.9,796213
2019-03-12,2.9,862124
2019-03-13,2.85,1474880
2019-03-14,2.75,2561195
2019-03-15,2.8,4723735
2019-03-18,2.8,1820656
2019-03-19,2.8,1165631
2019-03-20,2.8,651583
2019-03-22,2.7,2251534
2019-03-25,2.8,2175508
2019-03-26,2.8,901685
2019-03-27,2.75,849823
2019-03-28,2.8,810734
2019-03-29,2.75,833551
2019-04-01,2.75,1470539
2019-04-02,2.75,918639
2019-04-03,2.75,833565
2019-04-04,2.55,4991091
2019-04-05,2.8,3098299
2019-04-08,2.75,1538950
2019-04-09,2.75,954986
2019-04-10,2.75,966722
2019-04-11,2.75,1847908
2019-04-12,2.75,883888
2019-04-15,2.7,1496585
2019-04-16,2.75,3298197
2019-04-18,2.75,1941268
2019-04-22,2.7,1419254
2019-04-23,2.65,1738618
2019-04-24,2.65,2883943
2019-04-25,2.65,876195
2019-04-26,2.6,1608741
2019-04-30,2.55,894385
2019-05-02,2.55,1267236
2019-05-03,2.5,2214440
2019-05-06,2.5,1331117
2019-05-07,2.45,1462853
2019-05-08,2.3,1097169
2019-05-09,2.65,4472453
2019-05-10,2.65,1855430
2019-05-13,2.55,1063305
2019-05-14,2.5,796559
2019-05-15,2.45,1189740
2019-05-16,2.4,2581876
2019-05-17,2.45,1178395
2019-05-20,2.7,3315638
2019-05-21,2.8,2118037
2019-05-22,2.85,996956
2019-05-23,2.8,2511454
2019-05-24,2.85,1061198
2019-05-27,2.9,1463221
2019-05-28,2.85,1371748
2019-05-29,2.7,2992288
2019-05-30,2.65,2240012
2019-05-31,2.65,1143009
2019-06-03,2.55,3115823
2019-06-04,2.45,3021732
2019-06-06,2.4,2505098
2019-06-07,2.45,1220607
2019-06-10,2.35,1685120
2019-06-11,2.35,1207092
2019-06-12,2.4,821741
2019-06-13,2.35,1040268
2019-06-14,2.35,930842
2019-06-17,2.35,415632
2019-06-18,2.3,918835
2019-06-19,2.25,2230909
2019-06-20,2.05,3325820
2019-06-21,2.25,1830013
2019-06-24,2.45,1740916
2019-06-25,2.35,1269082
2019-06-26,2.2,2015648
2019-06-27,2.25,1798470
2019-06-28,2.15,1850815
2019-07-01,2.15,1790133
2019-07-02,2.2,813767
2019-07-03,2.15,762951
2019-07-04,2.25,1069960
2019-07-05,2.25,986357
2019-07-08,2.15,742134
2019-07-09,2.2,833414
2019-07-10,2.2,422718
2019-07-11,2.15,303860
2019-07-12,2.15,459990
2019-07-15,2.55,2771347
2019-07-16,3.05,14284261
2019-07-17,2.75,5442837
2019-07-18,2.8,3573766
2019-07-19,2.6,1273991
2019-07-22,2.4,1567247
2019-07-23,2.45,1974311
2019-07-24,2.4,812260
2019-07-25,2.55,2095382
2019-07-26,2.65,1975541
2019-07-29,2.55,1832355
2019-07-30,2.5,904641
2019-07-31,2.5,729975
2019-09-17,2.0,2834937
2019-09-18,1.9,2807734
2019-09-19,1.85,1026731
2019-09-20,1.8,2937413
2019-09-23,1.75,3232467
2019-09-24,1.7,2602088
2019-09-25,1.65,1361952
2019-09-26,1.7,1698233
2019-09-27,1.75,349074
2019-09-30,1.8,2503557
2019-10-01,1.85,248539
2019-10-03,1.9,236975
2019-10-04,1.85,3347489
2019-10-07,1.8,753990
2019-10-09,1.75,342409
2019-10-10,1.75,1417453
2019-10-11,1.7,827118
2019-10-14,1.7,684413
2019-10-15,1.7,828570
2019-10-16,1.7,1071819
2019-10-17,1.65,802953
2019-10-18,1.65,1161062
2019-10-22,1.65,1009071
2019-10-23,1.65,792354
2019-10-24,1.6,468306
2019-10-25,1.6,444349
2019-10-27,1.65,504007
2019-10-29,1.6,925131
2019-10-30,1.55,1122241
2019-10-31,1.5,1484175
2019-11-01,1.55,2006047
2019-11-04,1.6,266227
2019-11-05,1.65,339961
2019-11-06,1.7,191540
2019-11-07,1.75,1660309
2019-11-08,1.8,1153622
2019-11-11,1.75,648171
2019-11-13,1.7,799724
2019-11-14,1.65,770678
2019-11-15,1.6,906301
2019-11-18,1.65,1178338
2019-11-19,1.7,651605
2019-11-20,1.65,655570
2019-11-21,1.65,554976
2019-11-22,1.7,888597
2019-11-25,1.75,1379777
2019-11-26,1.75,2044814
2019-11-27,1.7,1945027
2019-11-28,1.65,716495
2019-11-29,1.6,1113977
2019-12-02,1.65,924491
2019-12-03,1.6,1137313
2019-12-04,1.55,1576803
2019-12-05,1.6,1023778
2019-12-06,1.6,365654
2019-12-09,1.75,2786243
2019-12-10,1.9,4189261
2019-12-11,2.05,4304903
2019-12-12,2.15,1452881
2019-12-13,2.25,621491
2019-12-16,2.15,6254392
2019-12-17,2.05,357342
2019-12-18,1.95,3147937
