Date,Close,Volume
2019-01-01,46.65,4248
2019-01-02,45.55,4513
2019-01-03,46.0,1042
2019-01-04,45.7,1588
2019-01-07,46.05,5286
2019-01-08,46.1,4578
2019-01-09,45.7,1396
2019-01-10,45.7,2148
2019-01-11,45.8,1579
2019-01-14,45.65,4039
2019-01-15,46.85,6392
2019-01-16,45.85,6119
2019-01-17,46.25,1514
2019-01-18,45.45,9028
2019-01-21,46.0,6998
2019-01-22,45.2,1803
2019-01-23,46.05,6699
2019-01-24,45.25,6947
2019-01-25,44.85,2188
2019-01-28,43.0,12520
2019-01-29,46.7,130465
2019-01-30,46.5,32791
2019-01-31,46.85,108542
2019-02-01,45.4,9330
2019-02-04,43.85,4630
2019-02-05,43.0,5502
2019-02-06,40.8,12256
2019-02-07,41.3,21513
2019-02-08,42.9,9661
2019-02-11,42.85,4078
2019-02-12,41.95,3274
2019-02-13,43.8,32458
2019-02-14,43.7,5911
2019-02-15,43.05,2356
2019-02-18,43.2,2150
2019-02-19,42.6,1031
2019-02-20,43.0,1026
2019-02-21,42.75,2393
2019-02-22,44.25,3849
2019-02-25,43.75,5217
2019-02-26,43.75,1961
2019-02-27,43.0,2304
2019-02-28,42.65,1117
2019-03-01,43.55,1644
2019-03-05,44.5,2280
2019-03-06,46.0,822
2019-03-07,46.2,2849
2019-03-08,45.55,949
2019-03-11,45.3,2837
2019-03-12,44.15,4873
2019-03-13,44.0,4163
2019-03-14,44.45,5625
2019-03-15,43.75,63696
2019-03-18,42.6,19720
2019-03-19,43.95,18532
2019-03-20,43.1,1034
2019-03-22,43.35,5701
2019-03-25,42.8,492
2019-03-26,42.6,2850
2019-03-27,42.9,15278
2019-03-28,43.15,6710
2019-03-29,44.3,34003
2019-04-01,44.6,29827
2019-04-02,45.35,10284
2019-04-03,45.25,26476
2019-04-04,45.0,1206
2019-04-05,44.35,5936
2019-04-08,44.55,2974
2019-04-09,44.6,1412
2019-04-10,44.25,1888
2019-04-11,44.25,3915
2019-04-12,44.85,2573
2019-04-15,45.9,19351
2019-04-16,45.9,7924
2019-04-18,45.9,5207
2019-04-22,45.95,15323
2019-04-23,46.4,9134
2019-04-24,47.0,15151
2019-04-25,47.8,2116
2019-04-26,46.6,928
2019-04-30,45.35,9128
2019-05-02,46.8,2824
2019-05-03,46.6,4423
2019-05-06,45.05,1661
2019-05-07,46.4,5681
2019-05-08,45.15,7549
2019-05-09,45.2,9071
2019-05-10,45.3,205
2019-05-13,45.2,4198
2019-05-14,44.45,2943
2019-05-15,44.2,867
2019-05-16,44.1,16494
2019-05-17,43.55,1241
2019-05-20,44.25,2274
2019-05-21,43.45,701
2019-05-22,45.75,4821
2019-05-23,45.25,6603
2019-05-24,45.25,10523
2019-05-27,47.5,15115
2019-05-28,45.95,2455
2019-05-29,46.35,2855
2019-05-30,46.4,13696
2019-05-31,47.35,4447
2019-06-03,47.95,4239
2019-06-04,47.45,27627
2019-06-06,47.05,6022
2019-06-07,47.85,1007
2019-06-10,45.45,835711
2019-06-11,45.55,784382
2019-06-12,45.5,95750
2019-06-13,45.55,22765
2019-06-14,49.05,181485
2019-06-17,50.05,45588
2019-06-18,49.8,15912
2019-06-19,50.25,17462
2019-06-20,51.55,111137
2019-06-21,53.85,172499
2019-06-24,53.2,52530
2019-06-25,52.1,11909
2019-06-26,52.65,19631
2019-06-27,53.85,36403
2019-06-28,52.15,15247
2019-07-01,51.55,36959
2019-07-02,52.85,14675
2019-07-03,52.65,5411
2019-07-04,54.25,52301
2019-07-05,52.65,8221
2019-07-08,51.8,5435
2019-07-09,52.1,8137
2019-07-10,52.05,9407
2019-07-11,52.25,8712
2019-07-12,51.9,1973
2019-07-15,52.35,4058
2019-07-16,53.1,2665
2019-07-17,53.85,12729
2019-07-18,53.55,13006
2019-07-19,52.65,3844
2019-07-22,52.55,4081
2019-07-23,52.25,4919
2019-07-24,51.6,15532
2019-07-25,51.5,5071
2019-07-26,51.0,3173
2019-07-29,49.5,6395
2019-07-30,50.05,19427
2019-07-31,51.3,8479
2019-08-01,50.05,9675
2019-08-02,50.5,20553
2019-08-05,49.0,46208
2019-08-06,49.15,29390
2019-08-07,49.5,2475
2019-08-08,48.5,4540
2019-08-09,49.3,1833
2019-08-13,49.95,10740
2019-08-14,48.95,6780
2019-08-16,49.4,23027
2019-08-19,49.25,9704
2019-08-20,49.35,2464
2019-08-21,50.05,9803
2019-08-22,50.0,19562
2019-08-23,50.3,2292
2019-08-26,50.85,6771
2019-08-27,51.15,5399
2019-08-28,51.55,17919
2019-08-29,51.8,1266
2019-08-30,52.8,16327
2019-09-03,52.0,3880
2019-09-04,52.5,4005
2019-09-05,52.85,1907
2019-09-06,52.25,4841
2019-09-09,52.55,2128
2019-09-11,54.0,8572
2019-09-12,54.35,6879
2019-09-13,53.35,4830
2019-09-16,54.8,20865
2019-09-17,54.45,17506
2019-09-18,54.85,10130
2019-09-19,54.35,89536
2019-09-20,54.85,26537
2019-09-23,55.0,22626
2019-09-24,55.1,21684
2019-09-25,54.25,4392
2019-09-26,54.95,11079
2019-09-27,53.25,62464
2019-09-30,53.3,2939
2019-10-01,52.8,4226
2019-10-03,53.1,4373
2019-10-04,53.15,1708
2019-10-07,53.25,3426
2019-10-09,54.45,6569
2019-10-10,53.75,6756
2019-10-11,53.7,1801
2019-10-14,53.1,48532
2019-10-15,52.4,11323
2019-10-16,52.1,3345
2019-10-17,52.25,37376
2019-10-18,51.45,11793
2019-10-22,52.45,9360
2019-10-23,53.75,26890
2019-10-24,52.15,9417
2019-10-25,52.0,18499
2019-10-27,53.7,22250
2019-10-29,53.75,4633
2019-10-30,53.6,3277
2019-10-31,54.7,69794
