Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-11-02,11697.349609375,11725.650390625,11557.400390625,11669.150390625,568400,0,0
2020-11-03,11734.4501953125,11836.2001953125,11723.2998046875,11813.5,674300,0,0
2020-11-04,11783.349609375,11929.650390625,11756.400390625,11908.5,667300,0,0
2020-11-05,12062.400390625,12131.099609375,12027.599609375,12120.2998046875,632500,0,0
2020-11-06,12156.650390625,12280.400390625,12131.849609375,12263.5498046875,576800,0,0
2020-11-09,12399.400390625,12474.0498046875,12367.349609375,12461.0498046875,553400,0,0
2020-11-10,12556.400390625,12643.900390625,12475.25,12631.099609375,847500,0,0
2020-11-11,12680.599609375,12769.75,12571.099609375,12749.150390625,880500,0,0
2020-11-12,12702.150390625,12741.150390625,12624.849609375,12690.7998046875,622000,0,0
2020-11-13,12659.7001953125,12735.9501953125,12607.7001953125,12719.9501953125,513900,0,0
2020-11-17,12932.5,12934.0498046875,12797.099609375,12874.2001953125,707700,0,0
2020-11-18,12860.099609375,12948.849609375,12819.349609375,12938.25,731300,0,0
2020-11-19,12839.5,12963.0,12745.75,12771.7001953125,768800,0,0
2020-11-20,12813.400390625,12892.4501953125,12730.25,12859.0498046875,664000,0,0
2020-11-23,12960.2998046875,12968.849609375,12825.7001953125,12926.4501953125,633100,0,0
2020-11-24,13002.599609375,13079.099609375,12978.0,13055.150390625,571900,0,0
2020-11-25,13130.0,13145.849609375,12833.650390625,12858.400390625,679000,0,0
2020-11-26,12906.4501953125,13018.0,12790.400390625,12987.0,549800,0,0
2020-11-27,13012.0498046875,13035.2998046875,12914.2998046875,12968.9501953125,1162400,0,0
2020-12-01,13062.2001953125,13128.400390625,12962.7998046875,13109.0498046875,583600,0,0
2020-12-02,13121.400390625,13128.5,12983.5498046875,13113.75,717700,0,0
2020-12-03,13215.2998046875,13216.599609375,13107.900390625,13133.900390625,713700,0,0
2020-12-04,13177.400390625,13280.0498046875,13152.849609375,13258.5498046875,640500,0,0
2020-12-07,13264.849609375,13366.650390625,13241.9501953125,13355.75,591700,0,0
2020-12-08,13393.849609375,13435.4501953125,13311.0498046875,13392.9501953125,543200,0,0
2020-12-09,13458.099609375,13548.900390625,13449.599609375,13529.099609375,502600,0,0
2020-12-10,13488.5,13503.5498046875,13399.2998046875,13478.2998046875,553400,0,0
2020-12-11,13512.2998046875,13579.349609375,13402.849609375,13513.849609375,787700,0,0
2020-12-14,13571.4501953125,13597.5,13472.4501953125,13558.150390625,558400,0,0
2020-12-15,13547.2001953125,13589.650390625,13447.0498046875,13567.849609375,497600,0,0
2020-12-16,13663.099609375,13692.349609375,13606.4501953125,13682.7001953125,462200,0,0
2020-12-17,13713.5498046875,13773.25,13673.5498046875,13740.7001953125,416000,0,0
2020-12-18,13764.400390625,13772.849609375,13658.599609375,13760.5498046875,519400,0,0
2020-12-21,13741.900390625,13777.5,13131.4501953125,13328.400390625,687300,0,0
2020-12-22,13373.650390625,13492.0498046875,13192.900390625,13466.2998046875,696200,0,0
2020-12-23,13473.5,13619.4501953125,13432.2001953125,13601.099609375,458700,0,0
2020-12-24,13672.150390625,13771.75,13626.900390625,13749.25,471400,0,0
2020-12-28,13815.150390625,13885.2998046875,13811.5498046875,13873.2001953125,403600,0,0
2020-12-29,13910.349609375,13967.599609375,13859.900390625,13932.599609375,439600,0,0
2020-12-30,13980.900390625,13997.0,13864.9501953125,13981.9501953125,380700,0,0
2020-12-31,13970.0,14024.849609375,13936.4501953125,13981.75,452400,0,0
2021-01-04,14104.349609375,14147.9501953125,13953.75,14132.900390625,495000,0,0
2021-01-05,14075.150390625,14215.599609375,14048.150390625,14199.5,492500,0,0
2021-01-06,14240.9501953125,14244.150390625,14039.900390625,14146.25,632300,0,0
2021-01-07,14253.75,14256.25,14123.099609375,14137.349609375,559200,0,0
