,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,0,0,0,0,0,0,0,0,0,416,2019-01-01,BHANDARI,EQ,2.0,2.0,2.1,2.0,2.1,2.1,2.06,118092,24327020000.0,95,90224,0.7640000000000001
1,1,1,1,1,1,1,1,1,1,417,2019-01-02,BHANDARI,EQ,2.1,2.1,2.1,2.0,2.0,2.0,2.04,94444,19294930000.0,91,79379,0.8405
2,2,2,2,2,2,2,2,2,2,418,2019-01-03,BHANDARI,EQ,2.0,2.05,2.1,2.0,2.05,2.05,2.05,63459,12989005000.0,73,53616,0.8449
3,3,3,3,3,3,3,3,3,3,419,2019-01-04,BHANDARI,EQ,2.05,2.05,2.1,2.0,2.05,2.05,2.04,140338,28566150000.0,58,81516,0.5809000000000001
4,4,4,4,4,4,4,4,4,4,420,2019-01-07,BHANDARI,EQ,2.05,2.05,2.1,2.0,2.05,2.05,2.05,40045,8209085000.000002,59,31880,0.7961
5,5,5,5,5,5,5,5,5,5,421,2019-01-08,BHANDARI,EQ,2.05,2.05,2.1,2.0,2.0,2.0,2.02,136726,27571015000.000004,63,86294,0.6311
6,6,6,6,6,6,6,6,6,6,422,2019-01-09,BHANDARI,EQ,2.0,2.05,2.2,2.0,2.1,2.05,2.12,461050,97643355000.0,234,245599,0.5327000000000001
7,7,7,7,7,7,7,7,7,7,423,2019-01-10,BHANDARI,EQ,2.05,2.05,2.1,2.0,2.1,2.1,2.08,93804,19473195000.0,70,61421,0.6548
8,8,8,8,8,8,8,8,8,8,424,2019-01-11,BHANDARI,EQ,2.1,2.05,2.1,2.05,2.05,2.05,2.06,30845,6363465000.0,46,24185,0.7841
9,9,9,9,9,9,9,9,9,9,425,2019-01-14,BHANDARI,EQ,2.05,2.1,2.1,2.0,2.05,2.05,2.06,37967,7805470000.0,76,27384,0.7212999999999999
10,10,10,10,10,10,10,10,10,10,426,2019-01-15,BHANDARI,EQ,2.05,2.05,2.1,2.0,2.0,2.0,2.04,73975,15078729999.999996,52,73066,0.9877
11,11,11,11,11,11,11,11,11,11,427,2019-01-16,BHANDARI,EQ,2.0,2.05,2.1,2.0,2.1,2.05,2.06,58490,12057265000.0,70,48561,0.8301999999999999
12,12,12,12,12,12,12,12,12,12,428,2019-01-17,BHANDARI,EQ,2.05,2.1,2.1,2.0,2.05,2.1,2.07,86062,17833950000.0,51,54020,0.6277
13,13,13,13,13,13,13,13,13,13,429,2019-01-18,BHANDARI,EQ,2.1,2.05,2.1,2.05,2.05,2.05,2.05,65800,13503429999.999998,48,64800,0.9848
14,14,14,14,14,14,14,14,14,14,430,2019-01-21,BHANDARI,EQ,2.05,2.05,2.05,2.0,2.05,2.05,2.01,57347,11511545000.0,48,49008,0.8545999999999999
15,15,15,15,15,15,15,15,15,15,431,2019-01-22,BHANDARI,EQ,2.05,2.0,2.05,2.0,2.05,2.0,2.0,53285,10666055000.0,51,52785,0.9906
16,16,16,16,16,16,16,16,16,16,432,2019-01-23,BHANDARI,EQ,2.0,2.05,2.05,2.0,2.0,2.0,2.01,46597,9346960000.0,52,45097,0.9678
17,17,17,17,17,17,17,17,17,17,433,2019-01-24,BHANDARI,EQ,2.0,2.0,2.0,1.95,2.0,2.0,1.96,62791,12333895000.0,33,44791,0.7133
18,18,18,18,18,18,18,18,18,18,434,2019-01-25,BHANDARI,EQ,2.0,1.95,2.05,1.95,2.0,2.0,1.97,87044,17172785000.0,45,54976,0.6315999999999999
19,19,19,19,19,19,19,19,19,19,435,2019-01-28,BHANDARI,EQ,2.0,1.95,2.0,1.8,1.9,1.9,1.91,205289,39260245000.0,131,158241,0.7708
20,20,20,20,20,20,20,20,20,20,436,2019-01-29,BHANDARI,EQ,1.9,1.95,1.95,1.85,1.9,1.85,1.9,57321,10902360000.0,73,43175,0.7532
21,21,21,21,21,21,21,21,21,21,437,2019-01-30,BHANDARI,EQ,1.85,1.9,2.0,1.85,1.95,1.95,1.96,192930,37768770000.0,127,163468,0.8473
22,22,22,22,22,22,22,22,22,22,438,2019-01-31,BHANDARI,EQ,1.95,1.95,2.0,1.85,1.95,1.9,1.91,131897,25203155000.0,147,58398,0.4428
23,23,23,23,23,23,23,23,23,23,439,2019-02-01,BHANDARI,EQ,1.9,1.9,1.95,1.85,1.9,1.9,1.91,74001,14140015000.0,65,58332,0.7883
24,24,24,24,24,24,24,24,24,24,440,2019-02-04,BHANDARI,EQ,1.9,1.9,1.95,1.85,1.85,1.9,1.87,147481,27511930000.0,98,111366,0.7551000000000001
25,25,25,25,25,25,25,25,25,25,441,2019-02-05,BHANDARI,EQ,1.9,1.95,1.95,1.8,1.8,1.8,1.82,76923,14035485000.0,73,46470,0.6041
26,26,26,26,26,26,26,26,26,26,442,2019-02-06,BHANDARI,EQ,1.8,1.85,1.9,1.75,1.9,1.9,1.79,193166,34578085000.0,111,130452,0.6753
27,27,27,27,27,27,27,27,27,27,443,2019-02-07,BHANDARI,EQ,1.9,1.9,1.95,1.85,1.9,1.85,1.88,50697,9552545000.0,47,28633,0.5648
28,28,28,28,28,28,28,28,28,28,444,2019-02-08,BHANDARI,EQ,1.85,1.85,1.9,1.8,1.8,1.8,1.81,98992,17922975000.0,53,87476,0.8837
29,29,29,29,29,29,29,29,29,29,445,2019-02-11,BHANDARI,EQ,1.8,1.8,1.85,1.8,1.8,1.8,1.81,40962,7415600000.0,41,40956,0.9999
30,30,30,30,30,30,30,30,30,30,446,2019-02-12,BHANDARI,EQ,1.8,1.85,1.9,1.65,1.7,1.7,1.75,238527,41817105000.0,120,221601,0.929
31,31,31,31,31,31,31,31,31,31,447,2019-02-13,BHANDARI,EQ,1.7,1.8,1.8,1.65,1.8,1.75,1.73,47060,8120410000.000002,49,46223,0.9822
32,32,32,32,32,32,32,32,32,32,448,2019-02-14,BHANDARI,EQ,1.75,1.7,2.05,1.7,2.0,1.95,1.87,269591,50532290000.0,152,223648,0.8296
33,33,33,33,33,33,33,33,33,33,449,2019-02-15,BHANDARI,EQ,1.95,2.15,2.15,1.85,1.9,1.9,2.02,273870,55258500000.0,162,240117,0.8768000000000001
